meet,date,rank,name,event,gender,nationality,result
Xiamen Diamond League,2025-04-26,1,Anavia Battle,200m,female,USA,22.41 MR SB
Xiamen Diamond League,2025-04-26,2,Shericka Jackson,200m,female,JAM,22.79 SB
Xiamen Diamond League,2025-04-26,3,Jenna Prandini,200m,female,USA,22.97 SB
Xiamen Diamond League,2025-04-26,4,Chen Yujie,200m,female,CHN,22.99 PB
Xiamen Diamond League,2025-04-26,5,Amy Hunt,200m,female,GBR,23.06 SB
Xiamen Diamond League,2025-04-26,6,Jessika Gbai,200m,female,CIV,23.14 SB
Xiamen Diamond League,2025-04-26,7,Li Yuting,200m,female,CHN,23.37
Xiamen Diamond League,2025-04-26,8,Twanisha Terry,200m,female,USA,23.50 SB
Xiamen Diamond League,2025-04-26,9,Mujinga Kambundji,200m,female,SUI,23.51 SB
Xiamen Diamond League,2025-04-26,1,Faith Kipyegon,1000m,female,KEN,2:29.21 MR WL
Xiamen Diamond League,2025-04-26,2,Abbey Caldwell,1000m,female,AUS,2:32.94 AR
Xiamen Diamond League,2025-04-26,3,Sarah Billings,1000m,female,AUS,2:33.45 PB
Xiamen Diamond League,2025-04-26,4,Sage Hurta-Klecker,1000m,female,USA,2:33.45 PB
Xiamen Diamond League,2025-04-26,5,Natoya Goule-Toppin,1000m,female,JAM,2:34.71 SB
Xiamen Diamond League,2025-04-26,6,Carley Thomas,1000m,female,AUS,2:35.06 PB
Xiamen Diamond League,2025-04-26,7,Habitam Alemu,1000m,female,ETH,2:37.01 SB
Xiamen Diamond League,2025-04-26,8,Noélie Yarigo,1000m,female,BEN,2:39.16 SB
Xiamen Diamond League,2025-04-26,9,Bendere Oboya,1000m,female,AUS,2:41.83 SB
Xiamen Diamond League,2025-04-26,1,Beatrice Chebet,5000m,female,KEN,14:27.12 MR WL
Xiamen Diamond League,2025-04-26,2,Gudaf Tsegay,5000m,female,ETH,14:28.18 SB
Xiamen Diamond League,2025-04-26,3,Birke Haylom,5000m,female,ETH,14:28.80 SB
Xiamen Diamond League,2025-04-26,4,Hirut Meshesha,5000m,female,ETH,14:29.29 PB
Xiamen Diamond League,2025-04-26,5,Likina Amebaw,5000m,female,ETH,14:30.54 PB
Xiamen Diamond League,2025-04-26,6,Asayech Ayichew,5000m,female,ETH,14:31.88 PB
Xiamen Diamond League,2025-04-26,7,Aynadis Mebratu,5000m,female,ETH,14:32.58 SB
Xiamen Diamond League,2025-04-26,8,Caroline Nyaga,5000m,female,KEN,14:33.24 SB
Xiamen Diamond League,2025-04-26,9,Rose Davies,5000m,female,AUS,14:40.83 NR
Xiamen Diamond League,2025-04-26,10,Sembo Almayew,5000m,female,ETH,14:41.75 SB
Xiamen Diamond League,2025-04-26,11,Yenawa Nbret,5000m,female,ETH,14:47.56 PB
Xiamen Diamond League,2025-04-26,12,Francine Niyomukunzi,5000m,female,BDI,14:53.44 SB
Xiamen Diamond League,2025-04-26,13,Mariana Machado,5000m,female,POR,14:53.91 PB
Xiamen Diamond League,2025-04-26,14,Maudie Skyring,5000m,female,AUS,14:55.93 PB
