rank,name,nationality,dob,points
1,Beatrice CHEBET,KEN,2000-03-05,1423
2,Nadia BATTOCLETTI,ITA,2000-04-12,1384
3,Margaret Chelimo KIPKEMBOI,KEN,1993-02-09,1345
4,Gudaf TSEGAY,ETH,1997-01-23,1340
5,Lilian Kasait RENGERUK,KEN,1997-05-03,1336
6,Fotyen TESFAY,ETH,1998-02-17,1314
7,Weini Kelati FREZGHI,USA,1996-12-01,1306
8,Tsigie GEBRESELAMA,ETH,2000-09-30,1300
9,Ririka HIRONAKA,JPN,2000-11-24,1263
10,Agnes Jebet NGETICH,KEN,2001-01-23,1263
11,Megan KEITH,GBR,2002-04-23,1258
11,Asayech AYICHEW,ETH,2005-04-03,1258
13,Yenawa NBRET,ETH,2007-05-18,1257
14,Daisy JEPKEMEI,KAZ,1996-02-13,1256
15,Karissa SCHWEIZER,USA,1996-05-04,1256
16,Miriam CHEBET,KEN,2002-09-18,1254
17,Diane VAN ES,NED,1999-03-22,1250
18,Lauren RYAN,AUS,1998-03-15,1250
19,Senayet GETACHEW,ETH,2005-10-01,1246
20,Parker VALBY,USA,2002-09-27,1244
21,Aynadis MEBRATU,ETH,2004-11-25,1243
22,Calli HAUGER-THACKERY,GBR,1993-01-09,1242
23,Mikuni YADA,JPN,1999-10-29,1241
24,Sarah CHELANGAT,UGA,2001-06-05,1240
25,Janeth CHEPNGETICH,KEN,1998-07-23,1239
26,Girmawit GEBRZIHAIR,ETH,2001-11-21,1235
27,Loice CHEMNUNG,KEN,1997-02-22,1234
28,Jana VAN LENT,BEL,2001-04-22,1232
29,Karoline Bjerkeli GRØVDAL,NOR,1990-06-14,1228
30,Klara LUKAN,SLO,2000-09-08,1226
31,Rose DAVIES,AUS,1999-12-21,1223
32,Isobel BATT-DOYLE,AUS,1995-09-14,1221
33,Francine NIYOMUKUNZI,BDI,1999-08-01,1219
34,Grace Loibach NAWOWUNA,KEN,2003-11-10,1219
35,Joy CHEPTOYEK,UGA,2002-05-15,1218
36,Pamela KOSGEI,KEN,2004-07-05,1213
37,Rino GOSHIMA,JPN,1997-10-29,1212
38,Jessica MCCLAIN,USA,1992-02-15,1212
39,Taylor ROE,USA,2000-10-13,1210
40,Wede KEFALE,ETH,2000-03-02,1210
41,Glenrose XABA,RSA,1994-12-31,1208
42,Eilish MCCOLGAN,GBR,1990-11-25,1207
43,Eva DIETERICH,GER,1999-03-29,1202
44,Cintia CHEPNGENO,KEN,2000-06-03,1200
45,Grace HARTMAN,USA,2004-01-30,1199
46,Amanda VESTRI,USA,1999-09-01,1198
47,Rebecca CHELANGAT,UGA,2002-01-01,1198
48,Elisa PALMERO,ITA,1999-07-10,1197
49,Federica DEL BUONO,ITA,1994-12-12,1196
50,Chaltu DIDA,ETH,1992-09-20,1195
51,Haruka KOKAI,JPN,2003-01-20,1193
52,Gladys KWAMBOKA,KEN,1996-03-14,1193
53,Janeth Nyiva MUTUNGI,KEN,2004-08-27,1193
54,Mekdes WOLDU,FRA,1992-10-20,1193
55,Sarah WANJIRU,KEN,2004-04-12,1192
56,Caroline KARIBA,KEN,2004-04-22,1192
57,Gela HAMBESE,ETH,2002-09-25,1191
58,Alessia ZARBO,FRA,2001-09-11,1188
59,Abbie DONNELLY,GBR,1996-09-02,1187
60,Bosena MULATIE,ETH,2001-11-21,1186
61,Konstanze KLOSTERHALFEN,GER,1997-02-18,1185
62,Bertukan WELDE,ETH,2004-05-10,1185
63,Wuga HE,CHN,1998-07-28,1184
64,Elena BURKARD,GER,1992-02-10,1181
65,Chloé HERBIET,BEL,1998-12-03,1179
66,Emily INFELD,USA,1990-03-21,1178
67,Annet Chemengich CHELANGAT,UGA,1993-07-29,1178
68,Miyaka SUGATA,JPN,2001-03-09,1178
69,Jessica WARNER-JUDD,GBR,1995-01-07,1177
70,Agnes Mwikali MUTUKU,KEN,2002-12-15,1177
71,Kazuna KANETOMO,JPN,2001-08-19,1176
72,Kaoutar FARKOUSSI,MAR,1996-03-19,1176
73,Dolphine Nyaboke OMARE,KEN,2001-07-26,1176
74,Lisa MERKEL,GER,2003-01-20,1175
75,Izzy FRY,GBR,2000-05-04,1174
76,Dominique SCOTT,RSA,1992-06-24,1173
77,Paityn NOE,USA,,1173
78,Florencia BORELLI,ARG,1992-10-30,1173
79,Rebecca MWANGI,KEN,2001-06-15,1172
80,Pauline KAMULU,KEN,1994-12-30,1170
81,Everlyn KEMBOI,USA,,1169
82,Rachel SMITH,USA,1991-07-18,1166
83,Joy NAUKOT,KEN,,1166
84,Carolina ROBLES,ESP,1991-12-04,1166
85,Keira D'AMATO,USA,1984-10-21,1164
86,Maggie MONTOYA,USA,1995-05-02,1164
87,Chloe SCRIMGEOUR,USA,2003-08-11,1163
88,Mariana MACHADO,POR,2000-11-12,1163
89,Laura GALVÁN,MEX,1991-10-05,1163
90,Alicia BERZOSA,ESP,2000-09-10,1162
91,Sarah LAHTI,SWE,1995-02-18,1162
92,Elly HENES,USA,1998-10-13,1161
93,Amy-Eloise NEALE,GBR,1995-08-05,1161
94,Cailie Logue HUGHES,USA,1999-01-04,1160
95,Nanaka IZAWA,JPN,1991-04-13,1160
96,Anna ARNAUDO,ITA,2000-10-18,1160
97,Leanne POMPEANI,AUS,1996-06-25,1158
98,Kellyn TAYLOR,USA,1986-07-22,1157
99,Diana CHEROTICH,KEN,2005-12-24,1155
100,Tabithanjeri KAMAU,KEN,2000-07-03,1154
101,Erika KEMP,USA,1995-01-26,1153
102,Verity OCKENDEN,GBR,1991-08-31,1151
103,Bahar YILDIRIM,TUR,1998-10-01,1150
104,Katrina COOGAN,USA,1993-11-15,1149
105,Sanjivani JADHAV,IND,1996-07-12,1149
106,Holly CAMPBELL,AUS,1996-06-27,1149
107,Isabel BARREIRO,ESP,1999-04-26,1147
108,Tekan BERHE,ETH,2003-01-20,1146
109,Sophie WALLIS,GBR,,1145
110,Clara EVANS-GRAHAM,GBR,1993-11-27,1145
111,Nina CHYDENIUS,FIN,1990-01-28,1145
112,Katie CAMARENA,USA,1997-09-09,1145
113,Jasmijn LAU,NED,1999-03-11,1144
114,Jennifer GULIKERS,NED,1994-08-18,1144
115,Lili Anna VINDICS-TÓTH,HUN,1998-09-17,1144
