rank,name,nationality,dob,points
1,Letsile TEBOGO,BOT,2003-06-07,1514
2,Kenneth BEDNAREK,USA,1998-10-14,1464
3,Erriyon KNIGHTON,USA,2004-01-29,1408
4,Alexander OGANDO,DOM,2000-05-03,1407
5,Courtney LINDSEY,USA,1998-11-18,1373
6,Joseph FAHNBULLEH,LBR,2001-09-11,1363
7,Fred KERLEY,USA,1995-05-07,1352
8,Tapiwanashe MAKARAWU,ZIM,2000-08-14,1346
9,Makanakaishe CHARAMBA,ZIM,2001-12-20,1330
10,Jereem RICHARDS,TTO,1994-01-13,1307
11,Reynier MENA,CUB,1996-11-21,1295
12,Kyree KING,USA,1994-07-09,1292
13,Timothé MUMENTHALER,SUI,2002-12-12,1291
14,Gout GOUT,AUS,2007-12-29,1288
15,Erik ERLANDSSON,SWE,2004-05-22,1286
16,Towa UZAWA,JPN,2002-11-25,1270
17,Eseosa Fostine DESALU,ITA,1994-02-19,1268
18,Andre DE GRASSE,CAN,1994-11-10,1265
19,Robert GREGORY,USA,2001-12-12,1260
20,Filippo TORTU,ITA,1998-06-15,1259
21,Xavi MO-AJOK,NED,2002-09-16,1251
22,Aaron BROWN,CAN,1992-05-27,1250
23,Shaun MASWANGANYI,RSA,2001-02-01,1249
24,Bryan LEVELL,JAM,2003-12-23,1248
25,Garrett KAALUND,USA,2004-01-25,1245
26,Benjamin RICHARDSON,RSA,2003-12-19,1244
27,Sinesipho DAMBILE,RSA,2002-03-02,1241
28,Mccallum T'MARS,USA,2004-05-20,1238
29,Abdulaziz Abdui ATAFI,KSA,2001-12-02,1229
30,Jordan ANTHONY,USA,2004-06-29,1227
31,William REAIS,SUI,1999-05-04,1226
32,Kobe VLEMINCKX,BEL,1998-05-31,1225
33,Tomáš NĚMEJC,CZE,2000-02-24,1219
34,Cameron MILLER,USA,2000-09-13,1219
35,Ryan ZEZE,FRA,1998-01-29,1218
36,Jaiden REID,CAY,2005-04-10,1218
37,Joshua HARTMANN,GER,1999-06-09,1218
38,Blessing Akwasi AFRIFAH,ISR,2003-10-26,1216
39,Animesh KUJUR,IND,2003-06-02,1210
40,Max THOMAS,USA,2004-02-24,1210
41,Shota IIZUKA,JPN,1991-06-25,1208
42,Abdul-Rasheed SAMINU,GHA,1997-10-06,1206
43,Calab LAW,AUS,2003-12-31,1205
44,Naeem JACK,RSA,2007-07-31,1205
45,Busang Collen KEBINATSHIPI,BOT,2004-02-13,1204
46,José FIGUEROA,PUR,2004-09-14,1203
47,Abduraqhman KARRIEM,RSA,2004-09-25,1202
48,Jamarion STUBBS,USA,2004-09-05,1202
49,Ibrahim FUSEINI,GHA,2002-11-24,1200
50,Xavier BUTLER,USA,,1197
51,Christopher TAYLOR,JAM,1999-10-01,1193
52,Aidan MURPHY,AUS,2003-10-14,1193
53,Seunghwan KO,KOR,1997-11-14,1190
54,Cesar ALMIRÓN,PAR,2001-08-06,1189
55,Demarius SMITH,USA,1998-12-25,1188
56,Denzel SIMUSIALELA,ZIM,2004-02-22,1186
57,Simon VERHERSTRAETEN,BEL,1999-01-14,1184
58,Javonte' HARDING,USA,2001-08-29,1184
59,Bayanda WALAZA,RSA,2006-02-09,1183
60,Alaba Olukunle AKINTOLA,NGR,2001-09-14,1182
61,Emmanuel ESEME,CMR,1993-08-17,1181
62,Jaleel CROAL,IVB,2003-03-13,1181
63,Dapriest HOGANS,USA,,1181
64,Dario MATAU,RSA,2002-02-19,1181
65,Yudai NISHI,JPN,2000-07-02,1180
66,Kashii CROCKETT,USA,,1180
67,Guy Maganga GORRA,GAB,1993-03-18,1179
68,Gediminas TRUSKAUSKAS,LTU,1998-01-02,1179
69,Brody BUFFINGTON,USA,,1177
70,Jelani WATKINS,USA,,1177
71,Tyson WILLIAMS,USA,,1174
72,Zablon Ekhal EKWAM,KEN,1997-08-04,1172
73,Brendon RODNEY,CAN,1992-04-09,1171
74,Jalen JOHNSON,USA,,1167
75,Jayden JONES,USA,2005-05-10,1166
76,Demar FRANCIS,JAM,2001-01-25,1165
77,Delvis SANTOS,POR,1999-06-27,1165
78,Mason LAWYER,USA,,1164
79,Eckhart POTGIETER,RSA,2002-06-13,1164
80,Sam BLASKOWSKI,USA,2002-11-05,1163
81,Bradley NKOANA,RSA,2005-01-27,1162
82,Adrian KERR,JAM,2003-10-07,1162
83,Ian KERR,BAH,1996-05-01,1161
84,Ondřej MACÍK,CZE,2001-01-12,1161
85,Marcus LAWLER,IRL,1995-02-28,1159
86,Udeme OKON,RSA,2005-09-03,1159
87,Juan Ignacio CIAMPITTI,ARG,2000-09-05,1158
88,Adria ALFONSO,ESP,2002-07-11,1157
89,Shemar PALMER,JAM,2003-02-14,1156
90,Joseph Paul AMOAH,GHA,1997-01-12,1155
91,Jona EFOLOKO,GBR,1999-09-23,1155
92,Antoine SPENCER,USA,,1152
93,Neiker ABELLO,COL,2000-03-30,1151
94,Tsebo MATSOSO,RSA,1999-05-27,1151
95,Connor WASHINGTON,USA,2003-01-18,1151
96,Enoch FOSUHENE,GHA,,1151
97,Trelee BANKS-ROSE,USA,,1151
98,Jinfeng CHEN,CHN,2004-08-08,1150
99,Tory LANHAM,USA,,1150
100,Igor BOGACZYŃSKI,POL,2003-11-07,1149
101,Mathias Hove JOHANSEN,NOR,1998-09-27,1148
102,Ackeem BLAKE,JAM,2002-01-21,1146
103,Oskars GRAVA,LAT,2001-10-07,1146
104,Łukasz ŻOK,POL,2001-05-17,1145
105,Jaden WILEY,USA,2006-08-10,1144
106,Felix SVENSSON,SUI,1997-08-09,1144
107,Kameron HORTON,USA,,1143
108,Johnathan CRAWFORD,USA,,1143
109,Alpha BALDE,USA,2005-08-20,1143
110,Godiraone Kevin LOBATLAMANG,BOT,2003-01-17,1142
111,Shamar HORATIO,GUY,2003-12-06,1142
112,Shuoyuan LIU,CHN,2002-06-18,1142
113,Anthony GREENHOW,USA,2003-03-19,1142
114,Mikey MCCLAIN,USA,,1142
115,Renan CORREA,BRA,2004-03-15,1142
116,Ján VOLKO,SVK,1996-11-02,1142
117,Konstantin KRYLOV,RUS,2004-03-11,1141
118,Sotirios GKARAGKANIS,GRE,1999-02-13,1141
119,Kamron NEAL,JAM,,1140
120,Ji CHANG,CHN,2003-03-06,1140
121,Letlhogonolo MOLEYANE,RSA,2003-02-07,1139
122,Christopher IUS,AUS,2000-02-10,1139
123,John SHERMAN,LBR,2004-10-04,1138
124,Joe FERGUSON,GBR,2000-05-03,1135
125,Matthew BOLING,USA,2000-06-20,1135
126,Jaeseong LEE,KOR,2001-06-18,1135
127,Shevioe REID,JAM,2000-12-14,1135
128,Cameron TARVER,USA,2004-06-13,1135
129,Edward OSEI-NKETIA,NZL,2001-05-08,1134
130,Youwen HUANG,CHN,2005-06-21,1134
131,Christopher COATS,USA,,1134
132,Tristyn FLORES,USA,,1134
133,Miguel ROSARIO,USA,2004-07-19,1133
134,Koki UEYAMA,JPN,1999-05-15,1133
135,Kendrick WINFIELD,USA,,1132
136,Diego Aldo PETTOROSSI,ITA,1997-01-13,1132
137,William TRULSSON,SWE,2006-02-19,1131
138,Tevijon WILLIAMS,USA,2004-01-29,1131
139,Ke LIU,CHN,2000-10-22,1130
140,Jaelen MEANS,USA,1996-07-02,1130
141,Drew DONLEY,USA,,1130
142,Udodi Chudi ONWUZURIKE,NGR,2003-01-29,1130
143,Elijah JOSEPH,TTO,2001-07-03,1129
144,Qingchi SUN,CHN,2000-02-22,1129
145,Brice CHABOT,USA,2003-03-08,1129
146,Javari THOMAS,JAM,2001-09-25,1128
147,Ian DOSSMAN,USA,,1128
148,Ian MYERS,USA,,1128
149,Onyema ADIGIDA,NED,2000-01-07,1128
150,Roko FARKAŠ,CRO,2005-02-11,1127
151,Bovel MCPHERSON,JAM,2001-02-25,1127
152,Joshua CALEB,NGR,2006-07-14,1127
153,Elijah MORROW,USA,1995-10-30,1127
154,Jackson CLARKE,GUY,2005-11-24,1127
155,Jazonte LEVAN,USA,2005-09-23,1127
156,Ismael KONE,CIV,2000-11-06,1126
157,Juan Carlos CASTILLO,ESP,2004-07-23,1126
158,Jake ODEY-JORDAN,GBR,2007-12-22,1125
159,Junhao SHI,CHN,2005-10-27,1125
160,Damiano DENTATO,ITA,2004-12-14,1124
161,Ali DIABY,USA,,1124
162,Jehan ANICET,FRA,2001-04-29,1124
163,Nathan METELLUS,USA,,1124
164,Kahleje TILLMON,USA,,1124
165,Ian JOHNSON,USA,,1121
166,Arnaldo Lazael Romero CRESPO,CUB,2000-04-05,1121
167,Wanyae BELLE,IVB,2003-08-21,1120
168,Dennis MWAI,KEN,2005-09-24,1120
169,De’Montray CALLIS,USA,2002-02-25,1120
170,Raphael Ngaguele MBERLINA,CMR,2001-01-10,1120
171,Aaron CHARLES,USA,,1120
172,Carlos Florez ANGULO,COL,2003-05-26,1119
173,Eduard KUBELÍK,CZE,2002-10-08,1118
174,Adrian CANALES,PUR,2004-07-16,1117
175,Jabez REEVES,LBR,2002-09-09,1117
176,Mihlali XHOTYENI,RSA,2003-04-14,1117
