rank,name,nationality,dob,points
1,Toshikazu YAMANISHI,JPN,1996-02-15,1361
2,Caio BONFIM,BRA,1991-03-19,1357
3,Brian Daniel PINTADO,ECU,1995-07-29,1356
4,Álvaro MARTÍN,ESP,1994-06-18,1345
5,Massimo STANO,ITA,1992-02-27,1340
6,Perseus KARLSTRÖM,SWE,1990-05-02,1327
7,Evan DUNFEE,CAN,1990-09-28,1323
8,Koki IKEDA,JPN,1998-05-03,1322
9,Paul MCGRATH,ESP,2002-03-07,1312
10,Yuta KOGA,JPN,1999-07-15,1303
11,Zhaozhao WANG,CHN,1999-09-01,1301
12,Jun ZHANG,CHN,1998-07-20,1296
13,Diego García CARRERA,ESP,1996-01-19,1283
14,Haifeng QIAN,CHN,2000-07-08,1283
15,Francesco FORTUNATO,ITA,1994-12-13,1276
16,Misgana WAKUMA,ETH,2004-07-05,1271
17,Masatora KAWANO,JPN,1998-10-23,1271
18,Rhydian COWLEY,AUS,1991-01-04,1267
19,Ricardo ORTIZ,MEX,1995-02-07,1263
20,César Augusto RODRÍGUEZ,PER,1997-06-26,1262
21,Ryo HAMANISHI,JPN,2000-04-24,1261
22,Kento YOSHIKAWA,JPN,2001-08-09,1259
23,Gabriel BORDIER,FRA,1997-10-08,1258
24,Christopher LINKE,GER,1988-10-24,1256
25,Satoshi MARUO,JPN,1991-11-28,1252
26,Lihong CUI,CHN,1999-05-13,1247
27,Kyle SWAN,AUS,1999-03-28,1247
28,Declan TINGAY,AUS,1999-02-06,1243
29,Kazuki TAKAHASHI,JPN,1996-06-17,1243
30,Chenjie LI,CHN,2005-05-05,1239
31,Andrea COSI,ITA,2001-04-30,1238
32,Hiroto JUSHO,JPN,2000-01-11,1237
33,Mukola RUSHCHAK,UKR,2003-10-30,1235
34,David HURTADO,ECU,1999-04-21,1233
35,Álvaro LÓPEZ,ESP,1999-03-24,1231
36,Luis Henry CAMPOS,PER,1995-10-11,1225
37,Aurélien QUINION,FRA,1993-01-27,1224
38,Jordy Rafael Jiménez ARROBO,ECU,1994-02-11,1220
39,Maher Ben HLIMA,POL,1989-07-24,1220
40,Riccardo ORSONI,ITA,2000-01-20,1216
41,Yongjie WEN,CHN,1999-09-28,1216
42,Dominik ČERNÝ,SVK,1997-11-01,1214
43,Veli-Matti PARTANEN,FIN,1991-10-28,1214
44,Tim FRASER,AUS,2000-02-22,1213
45,Xuanfei HU,CHN,2003-10-17,1213
46,Ning LU,CHN,1999-02-12,1211
47,Noel CHAMA,MEX,1997-09-15,1210
48,Xiangfei ZHAO,CHN,2002-09-27,1208
49,Callum WILKINSON,GBR,1997-03-14,1208
50,Tomohiro NODA,JPN,1996-01-24,1208
51,Servin SEBASTIAN,IND,1999-11-26,1207
52,Hayato KATSUKI,JPN,1990-11-28,1207
53,Mazlum DEMIR,TUR,2003-12-19,1205
54,Jinrui ZHANG,CHN,2001-08-24,1201
55,Yandong LI,CHN,1998-02-02,1201
56,Keisuke HARA,JPN,2002-03-04,1200
57,Leo KÖPP,GER,1998-05-23,1200
58,Ihor HLAVAN,UKR,1990-09-25,1199
59,Gianluca PICCHIOTTINO,ITA,1996-08-22,1198
60,Motofumi SUWA,JPN,1999-10-22,1197
61,Isaac PALMA,MEX,1990-10-26,1196
62,Will THOMPSON,AUS,2002-11-18,1196
63,Haruki MANJU,JPN,2001-04-10,1196
64,Yutaro MURAYAMA,JPN,1998-09-29,1195
65,José Luis DOCTOR,MEX,1996-06-14,1194
66,Artur BRZOZOWSKI,POL,1985-03-29,1193
67,Serhii SVITLYCHNYI,UKR,1994-07-13,1191
68,Bence VENYERCSÁN,HUN,1996-01-08,1191
69,Mateo ROMERO,COL,2003-02-07,1190
70,Marc TUR,ESP,1994-11-30,1190
71,Hang CHEN,CHN,2004-08-01,1190
72,Daniel CHAMOSA,ESP,1997-05-04,1189
73,Matheus CORREA,BRA,1999-08-22,1188
74,Li XINGFU,CHN,2002-07-18,1188
75,Ever Jair Palma OLIVARES,MEX,1992-03-18,1188
76,Michele ANTONELLI,ITA,1994-05-23,1188
77,Kaihua WANG,CHN,1994-02-16,1188
78,Máté HELEBRANDT,HUN,1989-01-12,1187
79,Qin WANG,CHN,1994-05-08,1186
80,Érick Bernabé BARRONDO,GUA,1991-06-14,1185
81,Atsuki TSUCHIYA,JPN,2003-08-06,1184
82,Yifeng WANG,CHN,2003-12-29,1184
83,Taisei YOSHIZAKO,JPN,2005-01-15,1183
84,Bernardo Uriel BARRONDO,GUA,1993-06-05,1180
85,Hayato YANAGIHARA,JPN,2000-03-28,1180
86,Shuo DING,CHN,2002-12-21,1180
87,Amit,IND,2003-12-25,1180
88,Iván LÓPEZ,ESP,1997-03-29,1179
89,Max Batista Goncalves Dos SANTOS,BRA,1994-10-09,1178
90,Yingcheng ZHOU,CHN,2000-10-06,1178
91,David KENNY,IRL,1999-01-10,1177
92,Sotaro OSAKA,JPN,2006-01-31,1175
93,José Manuel PÉREZ,ESP,1999-09-10,1175
94,Alexandros PAPAMICHAIL,GRE,1988-09-18,1174
95,Kazuhiro TATEIWA,JPN,1999-11-05,1174
96,Wayne SNYMAN,RSA,1985-03-08,1172
97,Raivo SAULGRIEZIS,LAT,1994-07-04,1172
98,Andres Eduardo Olivas NÚÑEZ,MEX,1998-05-27,1172
99,Lin LI,CHN,2001-06-13,1171
100,Tiancai CHEN,CHN,2001-01-15,1171
101,Hayrettin YILDIZ,TUR,2004-05-04,1171
102,Subaru ISHIDA,JPN,1999-06-04,1170
103,Ding CHANG,CHN,2002-12-21,1168
104,Akshdeep SINGH,IND,1999-11-22,1167
105,Yushi NAKAJIMA,JPN,2005-01-29,1166
106,Paramjeet Singh BISHT,IND,2002-03-03,1166
107,Xiaoqiang ZHU,CHN,2000-04-21,1165
108,Rihito ISHIDA,JPN,2001-12-19,1165
109,Kevin CAMPION,FRA,1988-05-23,1165
110,Wenchao NIU,CHN,1998-04-20,1163
111,Heng ZHONG,CHN,1995-11-07,1162
112,Nicola LOMUSCIO,ITA,2003-06-03,1162
113,César HERRERA,COL,1999-01-28,1162
114,Byeongkwang CHOE,KOR,1991-04-07,1160
115,Ram BABOO,IND,1999-03-20,1158
116,Chao LEI,CHN,2001-03-13,1158
117,José Alejandro BARRONDO,GUA,1996-09-16,1155
118,Hyunmyeong JOO,KOR,1997-05-31,1155
119,Emiliano BRIGANTE,ITA,2003-05-27,1152
120,Jerry JOKINEN,FIN,2002-03-18,1152
121,João VIEIRA,POR,1976-02-20,1151
122,Marius ŽIŪKAS,LTU,1985-06-29,1150
123,José Eduardo ORTIZ,GUA,2000-03-08,1149
124,Suraj PANWAR,IND,2001-04-02,1149
125,Vít HLAVÁČ,CZE,1997-02-26,1149
126,Georgiy SHEIKO,KAZ,1989-08-24,1148
127,José MONTANA,COL,1992-03-21,1148
128,Andrea AGRUSTI,ITA,1995-08-30,1146
129,Manuel BERMÚDEZ,ESP,1997-12-12,1146
130,Vikash SINGH,IND,1996-07-06,1146
131,Miroslav ÚRADNÍK,SVK,1996-03-24,1144
132,Tao QU,CHN,1999-10-31,1143
133,Nathaniel SEILER,GER,1996-04-06,1142
134,Kunlong LIU,CHN,2004-02-29,1141
