rank,name,nationality,dob,points
1,Soufiane El BAKKALI,MAR,1996-01-07,1464
2,Samuel FIREWU,ETH,2004-05-03,1397
3,Abraham KIBIWOT,KEN,1996-04-06,1387
4,Mohamed Amin JHINAOUI,TUN,1997-04-02,1381
5,Edmund SEREM,KEN,2007-12-27,1373
6,Simon Kiprop KOECH,KEN,2003-06-10,1370
7,Amos SEREM,KEN,2002-08-28,1362
8,Ryuji MIURA,JPN,2002-02-11,1360
9,Frederik RUPPERT,GER,1997-02-19,1338
10,Ahmed JAZIRI,TUN,1997-12-16,1337
11,Kenneth ROOKS,USA,1999-10-21,1328
12,Daniel ARCE,ESP,1992-04-22,1328
13,Getnet WALE,ETH,2000-07-16,1315
14,Salaheddine Ben YAZIDE,MAR,2003-05-06,1309
15,Karl BEBENDORF,GER,1996-05-07,1308
16,Mohamed TINDOUFT,MAR,1993-03-12,1300
17,Abrham SIME,ETH,2001-11-07,1292
18,Avinash Mukund SABLE,IND,1994-09-13,1287
19,Hailemariyam AMARE,ETH,1997-02-22,1275
20,Djilali BEDRANI,FRA,1993-10-01,1271
21,Nicolas-Marie DARU,FRA,1988-10-21,1270
22,Matthew WILKINSON,USA,1998-12-27,1268
23,Leonard CHEMUTAI,UGA,2003-05-05,1265
24,Samuel DUGUNA,ETH,2003-09-20,1257
25,Alexis MIELLET,FRA,1995-05-05,1256
26,Jean-Simon DESGAGNÉS,CAN,1998-07-26,1240
27,Duncan HAMILTON,USA,2000-07-14,1238
28,Milkesa FIKADU,ETH,2005-02-20,1237
29,Yutaro NIINAE,JPN,2001-02-06,1229
30,Ruben QUERINJEAN,LUX,2001-12-22,1229
31,Matthew KOSGEI,KEN,2006-03-14,1227
32,Jacob BOUTERA,NOR,1996-04-29,1226
33,Faid El MOSTAFA,MAR,2000-01-13,1225
34,Geoffrey Kipkemoi KIRWA,KEN,2001-07-03,1224
35,Ala ZOGHLAMI,ITA,1994-06-19,1222
36,Ryoma AOKI,JPN,1997-06-16,1220
37,James CORRIGAN,USA,2002-04-16,1217
38,Velten SCHNEIDER,GER,1999-08-21,1217
39,Matthew CLARKE,AUS,1995-04-29,1216
40,Geordie BEAMISH,NZL,1996-10-24,1215
41,Vidar JOHANSSON,SWE,1996-10-08,1212
42,Niklas BUCHHOLZ,GER,1998-03-04,1211
43,Baptiste FOURMONT,FRA,1999-05-19,1207
44,Leo MAGNUSSON,SWE,1998-02-04,1197
45,Nahuel CARABAÑA,AND,1999-11-10,1195
46,Osama ZOGHLAMI,ITA,1994-06-19,1195
47,Collins KIPNGOK,KEN,2000-07-13,1190
48,Gable SIEPERDA,USA,1999-08-01,1188
49,Yasin SADO,USA,2001-03-10,1187
50,Daniel MICHALSKI,USA,1995-09-10,1186
51,Maciej MEGIER,POL,2003-04-26,1185
52,William BATTERSHILL,GBR,1998-02-25,1180
53,Luc LE BARON,FRA,2002-02-05,1179
54,Edward TRIPPAS,AUS,1998-09-22,1179
55,Ben BUCKINGHAM,AUS,1991-11-08,1178
56,Tetsu SASAKI,JPN,2006-11-24,1175
