rank,name,nationality,dob,points
1,Winfred YAVI,BRN,1999-12-31,1498
2,Faith CHEROTICH,KEN,2004-07-13,1462
3,Peruth CHEMUTAI,UGA,1999-07-10,1461
4,Sembo ALMAYEW,ETH,2005-01-24,1394
5,Alice FINOT,FRA,1991-02-09,1369
6,Norah JERUTO,KAZ,1995-10-02,1356
7,Marwa BOUZAYANI,TUN,1997-03-26,1349
8,Gabrielle JENNINGS,USA,1998-09-15,1340
9,Lomi MULETA,ETH,2001-11-29,1337
10,Elizabeth BIRD,GBR,1994-10-04,1336
11,Gesa Felicitas KRAUSE,GER,1992-08-03,1332
12,Lea MEYER,GER,1997-09-16,1326
13,Valerie CONSTIEN,USA,1996-03-21,1318
14,Courtney WAYMENT,USA,1998-08-04,1313
15,Parul CHAUDHARY,IND,1995-04-15,1281
16,Irene SÁNCHEZ-ESCRIBANO,ESP,1992-08-25,1275
17,Elise THORNER,GBR,2001-03-16,1275
18,Alemnat WALLE,ETH,2006-01-29,1271
19,Alicja KONIECZEK,POL,1994-11-02,1267
20,Cara FEAIN-RYAN,AUS,1999-02-05,1266
21,Daisy JEPKEMEI,KAZ,1996-02-13,1260
22,Lexy HALLADAY,USA,2001-07-23,1255
23,Doris LEMNGOLE,KEN,2002-02-05,1253
24,Angelina NAPOLEON,USA,2005-03-03,1248
25,Olivia GÜRTH,GER,2002-05-31,1245
26,Angelina ELLIS,USA,1998-08-09,1240
27,Loice CHEKWEMOI,UGA,2006-12-12,1238
28,Kinga KRÓLIK,POL,1999-09-26,1238
29,Celestine Jepkosgei BIWOT,KEN,2003-12-24,1235
30,Wosane ASEFA,ETH,2007-01-03,1234
31,Ilona MONONEN,FIN,2003-12-18,1234
32,Olivia MARKEZICH,USA,2000-08-10,1230
33,Marta SERRANO,ESP,2003-04-05,1226
34,Flavie RENOUARD,FRA,2000-09-10,1222
35,Adva COHEN,ISR,1996-03-24,1221
36,Stella RUTTO,ROU,1999-12-16,1219
37,Sophie NOVAK,USA,2003-02-22,1219
38,Tatiane Raquel DA SILVA,BRA,1990-06-10,1214
39,Sarah TAIT,GBR,2001-03-26,1214
40,Grace FETHERSTONHAUGH,CAN,2000-10-13,1213
41,Amy CASHIN,AUS,1994-07-28,1212
42,Luiza GEGA,ALB,1988-11-05,1211
43,Carolina ROBLES,ESP,1991-12-04,1206
44,Eline DALEMANS,BEL,1991-02-25,1206
45,Leah JERUTO,KEN,2000-05-12,1204
46,Caren CHEBET,KEN,2000-05-24,1204
47,Gracie HYDE,USA,1999-12-12,1201
48,Rihab DHAHRI,TUN,2003-09-09,1199
49,Miu SAITOU,JPN,2002-06-22,1196
50,Diana CHEPKEMOI,KEN,2007-01-25,1196
51,Manami NISHIYAMA,JPN,1999-12-09,1194
52,Ikram OUAAZIZ,MAR,1999-07-06,1189
53,Ankita,IND,2002-02-05,1185
54,Jackline CHEPKOECH,KEN,2003-10-03,1185
55,Adia BUDDE,GER,2005-07-29,1184
56,Pamela KOSGEI,KEN,2004-07-05,1176
57,Juliane HVID,DEN,1998-04-08,1176
58,Tuğba Güvenç YENIGÜN,TUR,1994-07-09,1175
59,Veerle BAKKER,NED,1997-09-29,1175
60,Firehiwot GESESE,ETH,2006-01-01,1174
61,Aneta KONIECZEK,POL,1997-06-08,1170
62,Katelyn STEWART-BARNETT,CAN,2003-05-12,1167
63,Colett RAMPF,USA,1991-07-23,1165
64,Alondra NEGRON,PUR,1998-05-31,1164
65,Debora CHERONO,KEN,,1163
66,Logan JOLLY,USA,1998-07-07,1160
67,Shuangshuang XU,CHN,1996-04-06,1157
68,Emilia LILLEMO,SWE,2000-01-05,1157
69,Linn SÖDERHOLM,SWE,1996-05-05,1154
70,Shelby JENSEN,USA,2005-05-06,1153
71,Ava O'CONNOR,IRL,2003-09-19,1152
72,Sümeyye EROL,TUR,1997-06-15,1149
73,Laura TABORDA,POR,1999-01-01,1149
74,Xia LUO,CHN,2000-05-10,1147
75,Meseret YESHANEH,ETH,2005-05-12,1146
76,Agnieszka CHORZĘPA,POL,2001-01-14,1145
77,Emily PARKER,GBR,2004-08-11,1143
78,Anastasiya KRASILNIKOVA,RUS,2003-12-10,1143
79,Taylor LOVELL,USA,2003-10-09,1143
80,Pelinsu ŞAHIN,TUR,2003-03-24,1142
81,Karrie BALOGA,USA,2005-10-05,1142
82,Rachel ANDERSON,USA,2001-05-16,1141
83,Sharon CHEPKEMOI,KEN,2006-11-11,1139
84,Andreea STAVILA,MDA,2000-12-13,1139
85,Ha-Rim CHO,KOR,1996-09-14,1138
86,Lena MILLONIG,AUT,1998-03-25,1136
87,Yuzu NISHIDE,JPN,2000-01-25,1136
88,Maggie LIEBICH,USA,2001-06-18,1132
89,Gaia COLLI,ITA,1999-04-01,1131
90,Karolína JAROŠOVÁ,CZE,2006-03-20,1129
91,Mirelle LEITE,BRA,2002-03-11,1127
92,Laura MAASIK,EST,1993-10-05,1123
93,Emily PAUPORE,USA,,1120
94,Gréta VARGA,HUN,2003-12-19,1120
95,Ruken TEK,TUR,2001-05-01,1119
96,Nancy CHEPKWURUI,UGA,2007-06-14,1118
97,Derya KUNUR,TUR,1999-09-01,1116
98,Ayana YAMASHITA,JPN,2004-02-23,1115
99,Anna TROPINA,RUS,1998-11-03,1115
100,Sydney MASCIARELLI,USA,2003-06-18,1114
