rank,name,nationality,dob,points
1,Olivia SANDERY,AUS,2003-01-22,1236
2,Nicole COLOMBI,ITA,1995-12-29,1233
3,Hanna SHEVCHUK,UKR,1996-07-18,1229
4,Katarzyna ZDZIEBŁO,POL,1996-11-28,1224
5,Federica CURIAZZI,ITA,1992-08-14,1222
6,Lorena ARENAS,COL,1993-09-17,1215
7,Paula Milena TORRES,ECU,2000-10-17,1214
8,Viviane LYRA,BRA,1993-07-29,1190
9,Rebecca HENDERSON,AUS,2001-07-04,1174
10,Johana ORDÓŇEZ,ECU,1987-12-12,1168
11,Valeria ORTUÑO,MEX,1998-05-27,1161
12,Hana BURZALOVÁ,SVK,2000-11-03,1151
13,Viktória MADARÁSZ,HUN,1985-05-12,1149
14,Mária Katerinka CZAKOVÁ,SVK,1988-10-02,1148
15,Masumi FUCHISE,JPN,1986-09-02,1146
16,Allanah PITCHER,AUS,2003-09-19,1144
17,Agnieszka ELLWARD,POL,1989-03-26,1115
18,Gabriela DE SOUSA,BRA,2002-06-12,1105
19,Alexandra GRIFFIN,AUS,2005-06-10,1100
20,Maika YAGI,JPN,1999-01-21,1094
21,Yuki YOSHIZUMI,JPN,1996-01-07,1090
22,Mayara Luize VICENTAINER,BRA,1991-02-03,1089
23,Priyanka,IND,1996-03-10,1085
24,Sofia FIORINI,ITA,2004-08-19,1082
25,Karla JARAMILLO,ECU,1997-01-21,1082
26,Nadia Lizeth Gonzalez MANJARREZ,MEX,1997-03-21,1082
27,Galina YAKUSHEVA,KAZ,1988-07-14,1081
28,Inês MENDES,POR,2003-04-11,1072
29,Sara VITIELLO,ITA,1996-08-06,1071
30,Olivia LUNDMAN,CAN,2003-01-03,1056
31,Olga FIASKA,GRE,2001-11-09,1053
32,Beatriz CANTERO,ESP,1992-09-26,1049
33,Ema HAČUNDOVÁ,SVK,1999-03-05,1049
34,Katie BURNETT,USA,1988-10-07,1047
35,Mao TATSUMI,JPN,2000-01-12,1045
36,Elianay PEREIRA,BRA,1984-05-11,1036
37,Miranda MELVILLE,USA,1989-03-20,1036
38,Sofia Ramos RODRÍGUEZ,MEX,2002-08-25,1030
39,Maria MICHTA-COFFEY,USA,1986-06-23,1029
40,Ainhoa PINEDO,ESP,1983-02-17,1017
41,Rosetta LA DELFA,ITA,1977-07-14,1013
42,Naomi GARCIA,PUR,1998-03-30,1007
43,Sayori MATSUMOTO,JPN,1997-01-13,1007
44,Polina REPINA,KAZ,1990-06-29,985
45,Joana PONTES,POR,2000-03-22,975
46,Beatrice FORESTI,ITA,1998-10-29,969
47,Brigitte Coaquira ALBARRACIN,PER,1999-08-28,969
48,Sofia ALIKANIOTI,GRE,1998-04-27,962
49,Kinga WALERIAŃCZYK,POL,2002-08-19,957
50,Stephanie CASEY,USA,1983-08-01,940
51,Bridget BELL,AUS,2002-03-16,933
52,Jocy CABALLERO,PER,1993-02-02,929
53,Kader GÜVENÇ,TUR,2001-11-27,929
54,Nelly BUGÁROVÁ,CZE,2001-04-09,929
55,Efstathia KOURKOUTSAKI,GRE,1998-01-31,924
56,Laura LANGLEY,NZL,1997-09-11,916
57,Lydia MCGRANAHAN,USA,1976-10-26,889
58,Bianca SCHENKER,GER,,865
59,Sasha QUISPE,PER,2004-05-16,831
60,Anett TORMA,HUN,1984-04-02,762
61,Nair DA ROSA,BRA,1980-03-22,759
62,Adeline BRASTEL,FRA,1978-06-27,749
63,Matilde BALLERINI,ITA,,693
