rank,name,nationality,dob,points
1,Rai BENJAMIN,USA,1997-07-27,1520
2,Karsten WARHOLM,NOR,1996-02-28,1509
3,Alison Dos SANTOS,BRA,2000-06-03,1486
4,Abderrahman SAMBA,QAT,1995-09-05,1433
5,Clement DUCOS,FRA,2001-03-04,1396
6,Roshawn CLARKE,JAM,2004-07-01,1365
7,Matheus LIMA,BRA,2003-06-01,1364
8,Rasmus MÄGI,EST,1992-05-04,1362
9,Trevor BASSITT,USA,1998-02-26,1352
10,Cj ALLEN,USA,1995-02-14,1323
11,Kyron MCMASTER,IVB,1997-01-03,1319
12,Emil AGYEKUM,GER,1999-05-22,1319
13,Carl BENGTSTRÖM,SWE,2000-01-13,1318
14,Alessandro SIBILIO,ITA,1999-04-27,1316
15,Berke AKÇAM,TUR,2002-04-10,1310
16,Ezekiel NATHANIEL,NGR,2003-06-20,1309
17,Alastair CHALMERS,GBR,2000-03-31,1307
18,Vít MÜLLER,CZE,1996-08-31,1280
19,Malik JAMES-KING,JAM,1999-06-28,1273
20,Gerald DRUMMOND,CRC,1994-09-05,1264
21,Matic Ian GUČEK,SLO,2003-09-20,1260
22,Assinie WILSON,JAM,2002-04-10,1260
23,Victor NTWENG,BOT,1995-12-01,1259
24,Nick SMIDT,NED,1997-05-12,1257
25,Daiki OGAWA,JPN,2003-04-17,1255
26,Wiseman Were MUKHOBE,KEN,1997-10-13,1254
27,Bassem HEMEIDA,QAT,2000-03-28,1253
28,Seamus DERBYSHIRE,GBR,2000-01-27,1248
29,Kemorena TISANG,BOT,1995-04-25,1246
30,Jesús David DELGADO,ESP,1999-06-17,1245
31,İsmail NEZIR,TUR,2003-01-22,1240
32,Wilfried HAPPIO,FRA,1998-09-22,1240
33,Shunta INOUE,JPN,2002-07-04,1238
34,Sabelo DHLAMINI,RSA,1995-01-17,1230
35,Julien BONVIN,SUI,1999-01-10,1230
36,Joshua FAULDS,GBR,2000-03-07,1227
37,Owe FISCHER-BREIHOLZ,GER,2004-05-05,1223
38,Tyri DONOVAN,GBR,1998-10-20,1223
39,Fyodor IVANOV,RUS,2002-05-20,1221
40,Chung-Wei LIN,TPE,2004-02-03,1216
41,Joshua ABUAKU,GER,1996-07-07,1216
42,Francisco Guilherme Dos Reis VIANA,BRA,1999-12-14,1215
43,Njabulo MBATHA,RSA,2007-04-24,1214
44,James Smith II,USA,2000-05-22,1213
45,Zhiyu XIE,CHN,2000-03-24,1212
46,Alex KNIBBS,GBR,1999-04-26,1212
47,Kaito TSUTSUE,JPN,1998-07-02,1211
48,Ja'Qualon SCOTT,USA,2001-08-02,1206
49,Kody BLACKWOOD,USA,2003-12-31,1206
50,Oskar EDLUND,SWE,2002-11-16,1203
51,Antti SAINIO,FIN,2005-05-17,1202
52,Ken TOYODA,JPN,2002-10-15,1201
53,Hiromu YAMAUCHI,JPN,1999-08-24,1200
54,Michal RADA,CZE,2007-05-25,1197
55,Ryosuke TAKAHASHI,JPN,2003-06-20,1196
56,Saad HINTI,MAR,2002-04-27,1195
57,Jake MINSHULL,GBR,2004-10-11,1194
58,Khallifah ROSSER,USA,1995-07-13,1193
59,Patrik DÖMÖTÖR,SVK,2000-12-13,1193
60,Syota FUCHIGAMI,JPN,2005-10-10,1191
61,Yusaku KODAMA,JPN,2000-12-16,1190
62,Mahdi PIRJAHAN,IRI,1999-09-23,1188
63,Efekemo OKORO,GBR,1992-02-21,1185
64,Matej BALUCH,SVK,2000-10-16,1181
65,Tyrece HYMAN,JAM,2005-07-18,1179
66,Marc Anthony IBRAHIM,LBN,2002-12-05,1179
67,Soujiro MORITAKA,JPN,2003-01-21,1176
68,Abdelmalik LAHOULOU,ALG,1992-05-07,1174
69,Hayato SHIMODA,JPN,2005-04-17,1173
70,Wernich VAN RENSBURG,RSA,2004-07-28,1173
71,Thomas HUNT,AUS,2001-10-03,1171
72,Tatsuhiro YAMAMOTO,JPN,1997-04-23,1171
73,Haruto DEGUCHI,JPN,2001-09-23,1169
74,Masaya ODA,JPN,1995-05-11,1168
75,Kunihiro OKAMURA,JPN,2000-06-28,1165
76,Masaki TOYODA,JPN,1998-01-17,1163
77,David THID,SWE,2003-04-06,1162
78,Johnny BRACKINS,USA,2003-07-29,1161
79,Debin GONG,CHN,1997-09-09,1160
80,Kipkorir ROTICH,KEN,1998-05-05,1160
81,Fantin CRISCI,FRA,2002-05-17,1159
82,El Mehdi DIMOKRATI,MAR,2001-05-28,1159
83,Aldrich Bailey JR,USA,1994-02-06,1158
84,Diogo BARRIGANA,POR,2003-11-05,1158
85,Anan YE,CHN,2004-02-17,1157
86,Yuki MORIOKA,JPN,2003-12-16,1157
87,Simon DESCHAMPS,FRA,2004-02-27,1156
88,Jevon WILLIAMS,USA,2001-12-30,1155
89,Shu WATANABE,JPN,2003-10-15,1155
90,Diego COURBIS,CHI,1996-05-23,1155
91,Shuta NAKAI,JPN,2001-12-03,1155
92,Bryce MCCRAY,USA,2003-05-15,1153
93,Dany BRAND,SUI,1996-02-23,1153
94,Giacomo BERTONCELLI,ITA,1999-03-19,1152
95,Bruno Agustin DE GENARO,ARG,2003-01-08,1151
96,Jian-Rong CHEN,TPE,2003-04-16,1150
97,Vladimir LYSENKO,RUS,1998-06-10,1149
98,Lindukuhle GORA,RSA,2001-01-31,1149
99,Mimoun Abdoul WAHAB,BEL,2004-04-01,1149
100,Hugo MENIN,FRA,2001-01-03,1148
101,Marthinus Du PREEZ,RSA,2001-04-26,1147
102,Dennick LUKE,DMA,2001-01-28,1147
103,Ramón FUENZALIDA,CHI,2006-07-07,1146
104,Niklas STROHMAYER-DANGL,AUT,2002-03-26,1146
105,Rasheeme GRIFFITH,BAR,2000-05-03,1144
106,Vittorio GHEDINA,ITA,2004-06-28,1143
107,Ryan MATULONIS,USA,2004-12-13,1142
108,Michele BERTOLDO,ITA,2001-09-19,1141
109,Kiyoto YANAGITA,JPN,2004-10-13,1141
110,Karl WÅLLGREN,SWE,2001-04-19,1139
