rank,name,nationality,dob,points
1,Femke BOL,NED,2000-02-23,1491
2,Anna COCKRELL,USA,1997-08-28,1457
3,Sydney MCLAUGHLIN-LEVRONE,USA,1999-08-07,1433
4,Shiann SALMON,JAM,1999-03-31,1411
5,Rushell CLAYTON,JAM,1992-10-18,1399
6,Dalilah MUHAMMAD,USA,1990-02-07,1382
7,Jasmine JONES,USA,2001-11-30,1360
8,Andrenette KNIGHT,JAM,1996-11-19,1360
9,Louise MARAVAL,FRA,2001-07-31,1332
10,Gianna WOODRUFF,PAN,1993-11-18,1328
11,Ayomide FOLORUNSO,ITA,1996-10-17,1325
12,Janieve RUSSELL,JAM,1993-11-14,1324
13,Emma ZAPLETALOVÁ,SVK,2000-03-24,1313
14,Savannah SUTHERLAND,CAN,2003-08-07,1312
15,Amalie IUEL,NOR,1994-04-17,1293
16,Zenéy Der VAN WALT,RSA,2000-05-22,1292
17,Lina NIELSEN,GBR,1996-03-13,1280
18,Elena KELETY,GER,1999-09-04,1278
19,Sarah CARLI,AUS,1994-09-05,1277
20,Shamier LITTLE,USA,1995-03-20,1266
21,Fatoumata Binta DIALLO,POR,2000-04-06,1261
22,Naomi Den VAN BROECK,BEL,1996-01-03,1259
23,Tia-Adana BELLE,BAR,1996-06-15,1250
24,Paulien COUCKUYT,BEL,1997-05-19,1248
25,Cathelijn PEETERS,NED,1996-11-06,1246
26,Rogail JOSEPH,RSA,2000-04-22,1245
27,Nikoleta JÍCHOVÁ,CZE,2000-08-29,1235
28,Cassandra TATE,USA,1990-09-11,1228
29,Jiadie MO,CHN,2000-01-06,1227
30,Daniela LEDECKÁ,SVK,1996-11-04,1226
31,Alanah YUKICH,AUS,1998-01-27,1225
32,Emily NEWNHAM,GBR,2004-05-19,1224
33,Moa GRANAT,SWE,2004-08-08,1220
34,Eileen DEMES,GER,1997-10-13,1219
35,Ashley MILLER,ZIM,1998-02-17,1213
36,Bianca STUBLER,USA,1999-06-01,1210
37,Rebecca SARTORI,ITA,1997-05-22,1208
38,Akala GARRETT,USA,2005-05-10,1207
39,Michelle SMITH,ISV,2006-06-18,1207
40,Kristiina HALONEN,FIN,1997-10-10,1206
41,Alice MURARO,ITA,2000-08-14,1205
42,Linda OLIVIERI,ITA,1998-07-14,1202
43,Linda ANGOUNOU,CMR,1992-09-23,1201
44,Anna RYZHYKOVA,UKR,1989-11-24,1199
45,Hilla UUSIMÄKI,FIN,1996-06-12,1199
46,Sanique WALKER,JAM,2000-04-08,1195
47,Noura ENNADI,MAR,1999-04-05,1191
48,Daniela FRA,ESP,2000-02-29,1191
49,Emiliya TANGARA,RUS,2002-03-12,1190
50,Sára MÁTÓ,HUN,2000-12-23,1190
51,Grace CLAXTON,PUR,1993-08-19,1190
52,Line KLOSTER,NOR,1990-02-27,1187
53,Vithya RAMRAJ,IND,1998-09-20,1185
54,Lena WERNLI,SUI,2001-02-05,1184
55,Yasmin GIGER,SUI,1999-11-06,1179
56,Anna GRYC,POL,1999-10-16,1179
57,Hanne CLAES,BEL,1991-08-04,1178
58,Robyn BROWN,PHI,1994-07-27,1176
59,Sanaa HEBRON,USA,2004-07-26,1171
60,Tyra WILSON,USA,2002-08-16,1171
61,Andrea ROOTH,NOR,2002-03-06,1167
62,Hannah VAN NIEKERK,RSA,2005-01-28,1166
63,Satsuki UMEHARA,JPN,1994-05-22,1165
64,Daniela Rojas GUTIERREZ,CRC,1997-11-26,1165
65,Annina FAHR,SUI,1993-04-06,1165
66,Jessica WRIGHT,USA,2000-03-26,1162
67,Adelina ZEMS,KAZ,1998-12-25,1159
68,Méta TUMBA,FRA,2006-06-03,1156
69,Chloe FAIR,USA,2001-11-12,1156
