rank,name,nationality,dob,points
1,Berihu AREGAWI,ETH,2001-02-28,1271
2,Rodrigue KWIZERA,BDI,1999-10-10,1240
3,Thierry NDIKUMWENAYO,ESP,1997-03-26,1233
4,Matthew Kipkoech KIPRUTO,KEN,2005-08-24,1226
5,Oscar CHELIMO,UGA,2001-12-12,1220
6,Gideon Kipkertich RONO,KEN,2003-02-22,1215
7,Samwel Chebolei MASAI,KEN,2001-03-20,1213
8,Célestin NDIKUMANA,BDI,2002-02-22,1206
9,Robert Kiprop KOECH,KEN,1997-02-25,1200
10,Mathew Kipchumba KIPSANG,KEN,1995-11-16,1200
11,Dan KIBET,UGA,2004-02-10,1195
12,Naibei Kiplimo MAYEBEI,KEN,2000-02-11,1193
13,Daniel Simiu EBENYO,KEN,1995-09-18,1186
14,Keneth KIPROP,UGA,2005-05-13,1186
15,Martin KIPROTICH,UGA,2003-04-06,1183
16,Nassim HASSAOUS,ESP,1994-03-23,1166
17,Vincent KIMAIYO,KEN,,1166
18,Egide NTAKARUTIMANA,BDI,1997-10-21,1161
19,Nicholas KIPKORIR,KEN,1998-09-29,1158
20,Isaac KIMELI,BEL,1994-03-09,1156
21,Adel MECHAAL,ESP,1990-12-05,1156
22,Aarón Las HERAS,ESP,2000-06-22,1155
23,Ayele TADESSE,ETH,2005-09-17,1146
24,Younés KNIYA,MAR,1995-08-15,1143
25,Charles ROTICH,KEN,2005-05-14,1138
26,Emile HAFASHIMANA,BDI,2005-03-01,1138
27,Samuel FIREWU,ETH,2004-05-03,1136
28,Hosea KIPLANGAT,UGA,2000-03-01,1130
29,Reynold CHERUIYOT,KEN,2004-07-30,1126
30,Miguel Angel MARTÍNEZ,ESP,2002-05-22,1126
31,Fredrick Yeko DOMONGOLE,KEN,2002-10-03,1125
32,Guillaume GRIMARD,BEL,1999-02-18,1116
33,Abdessamad OUKHELFEN,ESP,1998-12-18,1113
34,Vincent Kibet LANGAT,KEN,2001-02-06,1106
35,Miguel BAIDAL,ESP,2001-07-20,1105
36,Michaël GRAS,FRA,1991-09-15,1103
37,Keelan KILREHILL,IRL,2000-09-29,1103
38,Luca ALFIERI,ITA,2000-10-31,1100
39,Fernando CARRO,ESP,1992-04-01,1096
40,Efrem GIDEY,IRL,2000-09-03,1095
41,Javier GUERRA,ESP,1983-11-10,1093
42,Rui PINTO,POR,1992-11-18,1093
43,Markus GÖRGER,GER,1998-01-12,1091
44,Juan Antonio PÉREZ,ESP,1988-11-06,1091
