rank,name,nationality,dob,points
1,Beatrice CHEBET,KEN,2000-03-05,1293
2,Daisy JEPKEMEI,KAZ,1996-02-13,1245
3,Nadia BATTOCLETTI,ITA,2000-04-12,1240
4,Francine NIYOMUKUNZI,BDI,1999-08-01,1233
5,Sheila JEBET,KEN,2005-12-31,1226
6,Agnes Jebet NGETICH,KEN,2001-01-23,1215
7,Charity CHEROP,UGA,2007-07-04,1213
8,Grace Loibach NAWOWUNA,KEN,2003-11-10,1206
9,Carolina ROBLES,ESP,1991-12-04,1206
9,Cintia CHEPNGENO,KEN,2000-06-03,1206
11,Sarah CHELANGAT,UGA,2001-06-05,1180
12,Yenenesh SHIMKET,ETH,2007-02-09,1180
13,Diana CHEPKEMOI,KEN,2007-01-25,1176
14,Mariana MACHADO,POR,2000-11-12,1173
15,Loice CHEKWEMOI,UGA,2006-12-12,1168
16,Carla ARCE,ESP,2000-07-22,1168
17,Mercy CHEPKEMOI,KEN,2005-10-19,1163
18,Cristina RUIZ,ESP,1999-01-16,1156
19,Maurine Jepkoech CHEBOR,KEN,2004-05-28,1153
20,Katherine Tisalema PURUNCAJA,ECU,1996-07-28,1151
21,Majida MAAYOUF,ESP,1989-04-27,1150
22,Elisa PALMERO,ITA,1999-07-10,1143
23,Maria FORERO,ESP,2003-03-24,1143
24,Virginia NYAMBURA,KEN,1993-07-20,1140
25,Sharon CHEPKEMOI,KEN,2006-11-11,1140
26,Angela VICIOSA,ESP,2002-05-29,1140
27,Sarah LAHTI,SWE,1995-02-18,1138
28,Caren CHEBET,KEN,2000-05-24,1135
29,Jana VAN LENT,BEL,2001-04-22,1130
30,Cristina ESPEJO,ESP,1994-10-13,1130
31,Bahar YILDIRIM,TUR,1998-10-01,1126
32,Federica DEL BUONO,ITA,1994-12-12,1126
33,Blanca FERNÁNDEZ,ESP,1992-04-01,1123
34,Purity CHEPKIRUI,KEN,2003-02-14,1120
35,Carla GALLARDO,ESP,1999-02-09,1120
36,Daisilah JERONO,KEN,2002-11-16,1118
37,Seema,IND,2001-01-10,1115
38,Flavie RENOUARD,FRA,2000-09-10,1113
39,Micheline NIYOMAHORO,BDI,2001-04-01,1110
