rank,name,nationality,dob,points
1,Leo NEUGEBAUER,GER,2000-06-19,1414
2,Sander SKOTHEIM,NOR,2002-05-31,1375
3,Johannes ERM,EST,1998-03-26,1370
4,Sven ROOSEN,NED,2001-07-27,1361
5,Lindon VICTOR,GRN,1993-02-28,1350
6,Simon EHAMMER,SUI,2000-02-07,1326
7,Niklas KAUL,GER,1998-02-11,1315
8,Ayden OWENS-DELERME,PUR,2000-05-28,1305
9,Damian WARNER,CAN,1989-11-04,1300
10,Harrison WILLIAMS,USA,1996-03-07,1298
11,Heath BALDWIN,USA,2001-02-08,1280
12,Till STEINFORTH,GER,2002-06-11,1274
13,Makenson GLETTY,FRA,1999-04-02,1274
14,Kyle GARLAND,USA,2000-05-28,1268
15,Ashley MOLONEY,AUS,2000-03-13,1256
16,Ken MULLINGS,BAH,1997-04-28,1248
17,Karel TILGA,EST,1998-02-05,1239
18,Jente HAUTTEKEETE,BEL,2002-03-14,1233
19,Felix WOLTER,GER,1997-10-04,1224
20,Peyton BAIR,USA,2001-09-20,1216
21,Vilém STRÁSKÝ,CZE,1999-07-03,1214
22,José Fernando FERREIRA,BRA,1999-03-27,1213
23,Devon WILLIAMS,USA,1994-01-17,1211
24,Hakim MCMORRIS,USA,2000-03-03,1206
25,Antoine FERRANTI,FRA,2003-01-09,1201
26,Kendrick THOMPSON,BAH,1997-08-28,1201
27,Tim NOWAK,GER,1995-08-13,1200
28,Jeff TESSELAAR,NED,2003-05-03,1196
29,Andrin HUBER,SUI,2004-06-27,1194
30,Luc BREWIN,FRA,2002-11-22,1193
31,Zachery ZIEMEK,USA,1993-02-23,1190
32,Malik DIAKITE,GER,2000-03-13,1190
33,Risto LILLEMETS,EST,1997-11-20,1190
34,Ondřej KOPECKÝ,CZE,1998-05-16,1189
35,Téo BASTIEN,FRA,2002-10-03,1188
36,Rasmus ROOSLEHT,EST,2002-07-25,1187
37,Yuma MARUYAMA,JPN,1998-06-03,1182
38,Edgaras BENKUNSKAS,LTU,1999-05-28,1181
39,Sven JANSONS,NED,2001-07-19,1180
40,Jack FLOOD,USA,1995-09-15,1180
41,Stepan KEKIN,RUS,2000-11-13,1178
42,Austin WEST,USA,2000-03-17,1174
43,Zsombor GÁLPÁL,HUN,2003-07-26,1174
44,Dario DESTER,ITA,2000-07-22,1173
45,Manuel EITEL,GER,1997-01-28,1172
46,Lewis CHURCH,GBR,1996-09-27,1172
47,Jorge UREÑA,ESP,1993-10-08,1171
48,Angelos-Tzanis ANDREOGLOU,GRE,1999-07-07,1169
49,Lucas VAN KLAVEREN,NED,1999-11-11,1167
50,Edgar CAMPRÉ,POR,2000-04-29,1165
51,Maksim ANDRALOITS,BLR,1997-06-17,1164
52,Jack TURNER,GBR,2001-07-11,1162
53,Brad THOMAS,USA,,1156
54,Josmi SÁNCHEZ,CUB,2003-12-15,1154
55,Niels PITTOMVILS,BEL,1992-07-18,1154
56,Sammy BALL,GBR,2004-10-18,1154
57,Adam Sebastian HELCELET,CZE,1991-10-27,1153
58,Taavi TŠERNJAVSKI,EST,1995-03-04,1152
59,Arseniy YELFIMOV,RUS,2001-09-17,1148
60,Melchior TREFFERS,NED,2004-04-21,1148
61,Aleksandr KOMAROV,RUS,2001-03-04,1145
62,Xiang FEI,CHN,1998-09-09,1144
63,Grant LEVESQUE,USA,2000-06-10,1144
64,Nils LASERICH,GER,2001-10-30,1143
65,Marcel MEYER,GER,2001-01-01,1142
66,Elliot DUVERT,SWE,2003-04-02,1141
67,Gerson IZAGUIRRE,VEN,1995-08-03,1140
68,Daniel GOLUBOVIC,AUS,1993-11-29,1138
69,Santiago Adolfo FORD,CHI,1997-08-25,1138
70,Denim ROGERS,USA,1998-02-08,1138
71,Aiden OUIMET,USA,2001-02-05,1137
72,Maxime MOITIE-CHARNOIS,FRA,2004-04-15,1137
73,Pol FERRER,ESP,2003-06-09,1136
74,Keisuke OKUDA,JPN,1996-10-23,1136
75,Yariel SOTO,PUR,2000-05-22,1134
76,Kenneth BYRD,USA,2005-05-22,1133
77,Ben BARTON,USA,,1130
78,Marcus WEAVER,USA,2001-02-26,1130
79,Pedro DE OLIVEIRA,BRA,1996-01-18,1129
80,Jonathan HERTWIG-ØDEGAARD,NOR,2005-07-28,1128
81,Paul KALLENBERG,GER,2002-03-15,1127
82,Bastien AUZEIL,FRA,1989-10-22,1126
83,Emil UHLIN,SWE,2000-05-23,1125
84,Rafael RAAP,NED,1999-03-18,1124
85,Carter MORTON,USA,,1124
86,Andrea CERRATO,ITA,1999-01-19,1123
87,Sam BLACK,USA,1995-11-15,1123
88,Robin BODART,BEL,1997-10-28,1122
89,Lorenzo MODUGNO,ITA,2000-10-05,1122
90,Paweł WIESIOŁEK,POL,1991-08-13,1120
90,Colby EDDOWES,AUS,2002-08-15,1120
92,Adam HAVLÍČEK,CZE,2004-08-03,1120
93,Andy PRECIADO,ECU,1997-10-12,1119
94,Finley GAIO,SUI,1999-04-15,1119
95,Abraham Sandvin VOGELSANG,NOR,2003-02-11,1118
96,Vitaliy ZHUK,BLR,1996-09-10,1118
97,Dai KEÏTA,BEL,2005-02-03,1117
98,Tejaswin SHANKAR,IND,1998-12-21,1116
99,David ABRINES,ESP,1997-04-01,1115
100,Zhipeng WANG,CHN,2001-05-08,1112
101,Fredriech PRETORIUS,RSA,1995-08-04,1111
102,Daniel SPEJCHER,USA,2000-06-12,1109
103,Chen-Yu WANG,TPE,1999-12-12,1109
104,Julio ANGULO,COL,2000-07-10,1109
105,Leon MAK,NED,2000-09-05,1109
106,Lee WALBURN,USA,2000-08-03,1108
107,Hunter JONES,USA,2000-04-07,1108
108,Fred Isaac FLEURISSON,GER,2003-07-17,1107
109,Ryan TALBOT,USA,2000-10-07,1107
110,Qihao SUN,CHN,2000-02-18,1107
111,Michal JÁRA,CZE,2004-10-27,1107
112,Roko FARKAŠ,CRO,2005-02-11,1103
113,Alexander JUNG,GER,,1102
114,Tristan MARCY,FRA,2000-01-05,1101
115,Felipe Dos SANTOS,BRA,1994-07-30,1101
116,Cole WILSON,CAN,,1100
117,Xinghua CHEN,CHN,2002-05-05,1098
118,Lorenzo NAIDON,ITA,1999-06-15,1097
119,Andrey RODIKOV,RUS,2000-02-04,1095
120,Hiroyoshi USHIRO,JPN,1994-10-25,1094
121,Dhiae BOUDOUMI,ALG,2001-11-16,1094
122,Ryan GREGORY,USA,2004-06-04,1093
123,Harry KENDALL,GBR,1996-10-04,1093
124,Jaden ROSKELLEY,USA,2002-11-22,1090
125,Joshua MOONEY,USA,,1090
126,Nino PORTMANN,SUI,2000-02-20,1090
127,Andreu BOIX,ESP,2002-05-30,1090
128,Ryoya MORIGUCHI,JPN,1998-05-20,1089
129,Pablo ROELAS,ESP,2001-06-19,1087
130,Zach MCGLYNN,USA,,1087
131,Jami SCHLUETER,GBR,2002-10-26,1086
131,Kyle SIERACKI,USA,2001-09-14,1086
133,Cale KASSEN,USA,2000-08-19,1085
134,Aleksi SAVOLAINEN,FIN,2002-05-04,1085
135,Tayb David LOUM,ESP,2004-01-29,1084
136,Esteban IBAÑEZ,ESA,2000-12-05,1083
137,Zihui HUA,CHN,2000-08-10,1083
138,Sean MURPHY,USA,2000-06-20,1082
139,Joni HEIKKINEN,FIN,1999-10-19,1082
140,Landon HELMS,USA,,1082
141,Louis MILLER,SUI,2004-03-04,1081
142,Guilherme ALMEIDA,POR,2002-06-11,1081
143,Josh FARMER,USA,1999-12-11,1081
144,Friedrich SCHULZE,GER,2005-09-09,1081
145,Anton TERESHCHENKO,RUS,2000-06-11,1080
146,Yannik KNOBLOCH,GER,2001-06-03,1080
147,Matthieu GUDET,FRA,2001-09-29,1080
148,Tangui TRANCHANT,FRA,2002-01-24,1079
149,Maxwell STAKUN-PICKERING,USA,,1078
150,Roman JOCHER,GER,2003-03-04,1078
151,Benjamin GUSE,AUS,2003-05-07,1077
152,Yevgeniy SARANTSEV,RUS,1988-02-05,1076
153,Nico BECKERS,GER,1994-03-03,1075
154,Nicholas BIANCO,USA,,1075
154,Tayton KLEIN,USA,,1075
156,Sebastian REYNEKE,AUS,2001-03-25,1075
157,Jiawei WANG,CHN,2004-09-17,1074
158,Ethan ROBINSON,USA,,1074
159,Daan ROOSENSCHOON,NED,2003-02-25,1073
160,Twan VAN RIJN,NED,,1073
161,Jose San PASTOR,ESP,2002-02-04,1072
162,Alexis CAULE-DULER,FRA,2004-07-31,1071
163,Yesen CHEN,CHN,2002-06-23,1071
164,Lucas Silva DA CATANHEDE,BRA,1994-11-03,1070
165,Joe DELGADO,USA,1995-01-08,1070
166,Andreas HANTSON,EST,2004-07-15,1070
167,Antonios ANDREOGLOU,GRE,1999-07-07,1070
168,Christian GUNDERSEN,DEN,1999-07-15,1070
169,Dimitri MONTILLA,BEL,1998-01-13,1069
170,Blake HARRIS,USA,,1068
171,Konstantinos KARAGIANNIDIS,GRE,2004-12-27,1068
172,Nik MATHYS,SUI,2000-04-20,1068
173,Diarmuid O'CONNOR,IRL,2002-04-15,1068
174,Jordan FICK,USA,,1068
175,Nate PARIS,CAN,2004-04-29,1067
176,Alberto NONINO,ITA,2004-02-20,1067
177,Edwin Kipmutai TOO,KEN,1995-04-14,1066
178,Brayden RICHARDS,USA,2005-05-16,1065
179,Pablo GAMEZ,ESP,2001-07-10,1065
179,Lincoln KROG,USA,,1065
181,Masayuki MAEGAWA,JPN,1999-08-05,1065
182,Kristjan ROSENBERG,EST,1994-05-16,1064
183,Sacha RIFFLART,FRA,2003-04-29,1063
184,Leo GÖRANSSON,SWE,2005-08-05,1062
185,Sam CORLEY,USA,,1062
186,Thai THOMPSON,USA,,1061
187,Dominique HALL,AUT,2002-12-28,1061
188,Michael BENNETT,USA,2002-11-19,1060
189,Casey TOW,USA,,1060
190,Isaiah HUDGENS,USA,,1060
191,Wenxi ZHANG,CHN,2005-07-30,1059
192,Artur BRZEZIŃSKI,POL,2004-02-19,1058
193,Leo CHAUCHARD,FRA,2002-04-06,1058
194,Joel TEMENG,SUI,2004-03-02,1057
195,Jaka HACE,SLO,2003-02-21,1057
196,Jorge DAVILA,ESP,2000-05-11,1057
197,Lorenzo MELLANO,ITA,2004-08-04,1056
198,Henri LOOSE,EST,1995-11-21,1056
199,Christian PAYNTER,AUS,1997-04-23,1055
200,Yves BAUR,SUI,2002-01-02,1054
201,Maksim KOROLYOV,RUS,1988-01-06,1054
202,Gjert Høie SJURSEN,NOR,2000-01-09,1054
203,Justin ABRAMS,USA,,1053
204,Jakob TORDSEN,USA,,1053
205,Joel MCFARLANE,GBR,2000-10-09,1052
206,Matthias STEINMANN,SUI,1992-06-05,1052
207,Micheal MAY,USA,,1052
208,Andris SKADIŅŠ,LAT,2005-05-11,1052
209,Owen BEUCKENS,NED,2001-03-04,1050
210,Jack ROSNER,USA,2002-07-25,1049
211,Mark BURDIN,RUS,2001-09-20,1049
212,Junyi CHEN,CHN,1999-03-31,1049
213,Johnson SETH,USA,,1048
214,Romet VAHTER,EST,2002-10-16,1047
215,Rafał HORBOWICZ,POL,1998-04-01,1046
216,Reto FÄSSLER,SUI,,1045
217,Joaquim RODRIGUEZ,ESP,2002-03-19,1045
218,Jef MISPLON,BEL,2002-03-22,1045
219,Jake ROSE,USA,,1044
220,Alexandre MONTAGNE,FRA,2005-01-09,1043
221,Ahmed Mahmoud TAHER,EGY,2002-03-12,1043
222,Nikita KOROTKOV,RUS,1997-06-10,1042
223,Kelmen DE CARVALHO,GER,2002-11-24,1041
224,Ayden BATH,USA,,1041
225,Angus LYVER,NZL,2004-04-22,1041
226,Jan DUHOVNIK,SLO,2003-03-19,1040
227,Matthew FOX,CAN,,1040
228,Shaohong YU,CHN,2002-09-11,1039
229,Canaan FAIRLEY,USA,,1038
230,Keisuke USHIRO,JPN,1986-07-24,1036
231,Gaetan PETIT,FRA,2003-01-18,1035
232,Thibault BASSONS,FRA,2004-04-22,1034
233,Nolan CHURCHMAN,USA,,1034
234,Sofus Olivarius VØLUND,DEN,2004-05-03,1034
235,Silvan BRÜGGER,SUI,2004-11-16,1033
236,Koby KESSLER,USA,2004-01-19,1031
237,Andreas GUSTAFSSON,SWE,1997-04-08,1030
237,Fabio KISSLING,SUI,2002-12-14,1030
239,Zaridin SHAKIROV,UZB,2000-10-21,1030
240,Max DANIELS,USA,,1030
241,John SWABIK,USA,,1029
242,Robin HENRY,BEL,2001-05-19,1029
243,Roman BAŠE,CZE,2001-10-15,1029
244,Ville TOIVONEN,FIN,2002-04-08,1029
245,Noah Birk MEISSNER,DEN,2003-02-01,1028
246,Sergio PANDIANI,ARG,1997-03-10,1027
247,Jacob WADSWORTH,USA,,1026
248,Scott BOON,NED,1999-10-26,1026
249,Braeden HOLCOMBE,USA,,1026
250,Adrià NAVAJÓN,ESP,2001-01-29,1024
251,Matyáš FRANĚK,CZE,2000-03-21,1024
252,Sal CAPALDO,USA,2004-06-29,1023
253,Garrett MESSER,USA,,1023
254,Yuto YAMAMOTO,JPN,2004-08-27,1022
255,Morne VAN AS,RSA,1998-01-02,1022
256,Brock LEWIS,USA,,1021
257,Hugo HASSID,FRA,1991-04-20,1021
258,Rei MATSUSHITA,JPN,2004-08-27,1020
259,Tomoki YAMASHITA,JPN,2000-05-12,1020
260,Julien FOUBERT,FRA,2001-01-30,1020
261,Stephen SIMMONS,GBR,,1020
