rank,name,nationality,dob,points
1,Mykolas ALEKNA,LTU,2002-09-28,1478
2,Matthew DENNY,AUS,1996-06-02,1439
3,Kristjan ČEH,SLO,1999-02-17,1433
4,Daniel STÅHL,SWE,1992-08-27,1374
5,Roje STONA,JAM,1999-02-26,1372
6,Lukas WEISSHAIDINGER,AUT,1992-02-20,1334
7,Clemens PRÜFER,GER,1997-08-13,1315
8,Ralford MULLINGS,JAM,2002-11-22,1299
9,Lawrence OKOYE,GBR,1991-10-06,1298
10,Henrik JANSSEN,GER,1998-05-19,1279
11,Sam MATTIS,USA,1994-03-19,1267
12,Mika SOSNA,GER,2003-06-13,1258
13,Andrius GUDŽIUS,LTU,1991-02-14,1256
14,Claudio ROMERO,CHI,2000-07-10,1246
15,Alin Alexandru FIRFIRICĂ,ROU,1995-11-03,1232
16,Steven RICHTER,GER,2003-04-05,1223
17,Fedrick DACRES,JAM,1994-02-28,1222
18,Andrew EVANS,USA,1991-01-25,1216
19,Ruben ROLVINK,NED,2002-08-25,1213
20,Abuduaini TUERGONG,CHN,1997-06-16,1212
21,Connor BELL,NZL,2001-06-21,1210
22,Martynas ALEKNA,LTU,2000-08-25,1207
23,Lolassonn DJOUHAN,FRA,1991-05-18,1206
24,Juan CAICEDO,ECU,1992-07-27,1203
25,Reggie Jagers III,USA,1994-08-13,1200
26,Mauricio ORTEGA,COL,1994-08-04,1199
27,Victor HOGAN,RSA,1989-07-25,1195
28,Shaquille EMANUELSON,NED,2000-01-08,1195
29,Marcus GUSTAVESON,USA,1997-12-01,1195
30,Mario Alberto DÍAZ,CUB,1999-12-08,1194
31,Jordan GUEHASEIM,FRA,1997-06-16,1191
32,Joseph BROWN,USA,1996-06-13,1188
33,Alex ROSE,SAM,1991-11-17,1187
34,Oussama KHENNOUSSI,ALG,1999-12-28,1180
35,Marek BÁRTA,CZE,1992-12-08,1173
36,Diego CASAS,ESP,1999-04-29,1172
37,Aleksey KHUDYAKOV,RUS,1995-03-31,1170
38,Robbie Zorawar OTAL,USA,1999-07-12,1169
39,Nicholas PERCY,GBR,1994-12-05,1165
40,Wellinton Fernandes Cruz DA FILHO,BRA,1998-04-27,1162
41,Daniel JASINSKI,GER,1989-08-05,1150
42,Uladzislau PUCHKO,BLR,2002-03-18,1141
43,Oskar STACHNIK,POL,1998-03-01,1140
44,Jordan ROACH,USA,1993-03-25,1138
45,Mitch WEBER,USA,1999-06-22,1134
46,Alessio MANNUCCI,ITA,1998-07-07,1134
47,Chad WRIGHT,JAM,1991-03-25,1133
48,Martin MARKOVIĆ,CRO,1996-01-13,1133
49,Yasiel SOTERO,ESP,2001-12-28,1132
50,Philip MILANOV,BEL,1991-07-06,1131
51,Racquil BRODERICK,JAM,2003-09-28,1131
52,Masateru YUGAMI,JPN,1993-04-14,1130
53,Marius KARGES,GER,2003-01-14,1129
54,Dimitrios PAVLIDIS,GRE,2003-09-21,1126
55,János HUSZÁK,HUN,1992-02-05,1125
56,Trevor GUNZELL,JAM,2002-11-16,1123
57,Lucas NERVI,CHI,2001-08-31,1120
58,Vincent UGWOKE,USA,,1120
59,Ömer ŞAHİN,TUR,1995-06-05,1118
60,Emanuel SOUSA,POR,1999-04-04,1114
61,Muhammad Irfan SHAMSUDDIN,MAS,1995-08-16,1114
62,Guðni Valur GUÐNASON,ISL,1995-10-11,1114
63,Enrico SACCOMANO,ITA,2001-02-12,1110
64,Michael PINCKNEY,USA,2004-12-09,1109
65,Gleb SIDORCHENKO,RUS,1986-05-15,1106
66,Yuji TSUTSUMI,JPN,1989-12-22,1097
67,Texas TANNER,USA,2004-10-01,1097
68,Nanjun WU,CHN,2000-09-25,1095
69,Casey HELM,USA,2003-07-14,1092
70,Legend BOYESEN,USA,1996-02-09,1091
71,Shamar REID,JAM,2002-09-11,1090
72,Yauheni BAHUTSKI,BLR,1999-09-07,1086
73,Róbert SZIKSZAI,HUN,1994-09-30,1079
74,Marc-Alexandre DELIN,FRA,2002-03-19,1079
75,Mykhailo BRUDIN,UKR,2005-01-03,1078
76,Armandas MILIAUSKAS,LTU,2000-10-21,1071
77,Shinichi YUKINAGA,JPN,1997-04-10,1070
78,Aron Alvarez ARANDA,RSA,2004-02-06,1070
79,Ethan AYODELE,AUS,2005-10-07,1069
80,Yakob EKOUE,USA,,1069
81,Marcos MORENO,ESP,2003-06-18,1065
82,Youssef KOUDSSI,CAN,2001-01-17,1064
83,Allen SETH,USA,2004-06-04,1063
84,Angel E. ALVAREZ,CUB,2000-02-25,1062
85,Hossein RASOULI,IRI,1999-12-22,1062
86,Damian RODZIAK,POL,2003-01-27,1061
87,Dallin SHURTS,USA,1996-10-23,1060
88,Enes ÇANKAYA,TUR,2002-03-21,1059
89,Etienne ROUSSEAU,AUS,2003-02-28,1059
90,Behnam SHIRI,IRI,1993-03-21,1057
91,Christopher YOUNG,JAM,2003-06-29,1054
92,Jacob LEMMON,USA,2000-08-23,1052
93,Artemios ADAMAKIS,GRE,2003-06-14,1052
94,Edujose Sousa LIMA,POR,1996-03-02,1050
95,Temuri ABULASHVILI,GEO,1998-06-09,1049
96,Ryan WILLIAMS,NAM,2000-03-26,1046
97,Shichen SUN,CHN,1997-07-23,1046
98,Iosif Michalis PAPA,CYP,2003-05-13,1043
99,Christopher CRAWFORD,TTO,2001-11-02,1043
100,Voislav GRUBIŠA,BIH,1997-07-12,1042
101,Zach LANDA,USA,,1041
102,Douglas JUNIOR,BRA,1995-12-09,1040
103,Tom REUX,FRA,1999-02-24,1040
104,Sam WEEKS,USA,1995-02-20,1040
105,Jakub FOREJT,CZE,2000-07-13,1040
106,Zidong WEI,CHN,1995-02-18,1035
107,Jiacheng ZHU,CHN,2000-03-27,1035
108,Oscar RODRIGUEZ,USA,,1034
109,Michal FOREJT,CZE,2000-07-13,1034
110,Mico LAMPINEN,FIN,2006-02-09,1033
111,Kevin GRUBBS,USA,2003-04-29,1032
112,Aidan ELBETTAR,USA,2002-01-25,1032
113,Darcy MILLER,AUS,2004-04-18,1031
114,Javon OSBOURNE,JAM,2002-05-14,1030
115,Magnus TÖBBEN,GER,2002-10-08,1029
116,Canaan WHARRY,USA,,1024
117,Aleksandr GORBACHOV,RUS,1993-05-12,1023
118,Ilhyun KIM,KOR,1994-03-09,1022
119,Simon PETTERSSON,SWE,1994-01-03,1021
120,Tzu-Yun LI,TPE,1994-11-24,1021
121,Yuhan WANG,CHN,1999-05-15,1020
122,Shitu MA,CHN,1994-01-14,1020
123,Zehao JIANG,CHN,2006-11-22,1019
124,Konstantinos BOUZAKIS,GRE,2003-02-19,1019
125,Lael TIRNAN,FRA,1997-11-30,1019
126,Hala'Ufia SAM,USA,,1018
127,Desmond COLEMAN,USA,2003-06-23,1018
128,Tanner WATSON,USA,,1018
129,Terrell ADAMS,USA,1998-03-19,1015
130,Maxwell OTTERDAHL,USA,2001-05-31,1015
131,Berk SANSOY,TUR,2002-05-13,1015
132,Osman KUL,TUR,2000-02-27,1014
133,Juan MARAIS,RSA,2005-06-24,1013
134,Sie Fahige KAMBOU,BUR,1995-10-20,1012
135,Håkon HANSESÆTER,NOR,2004-04-05,1012
136,Anthony SHIVERS,USA,,1012
137,Paden LEWIS,USA,,1011
138,Christian HICKS,USA,,1010
139,Gian VETTERLI,SUI,2000-02-22,1009
140,Wojciech LEWKOWICZ,POL,2004-02-26,1008
141,Jesper AHLIN,SWE,2003-02-19,1007
142,Kai TWADDLE-DUNHAM,USA,2006-04-06,1007
143,Brett SCHWARTZ,USA,,1006
144,Antti PRÄNNI,FIN,2001-04-11,1006
145,Rafail ZACHARIA,CYP,2001-10-18,1005
146,Aleksey SYSOYEV,RUS,1985-03-08,1005
147,Hiroki KITAHARA,JPN,2002-11-20,1004
148,Tarique GEORGE,JAM,,1003
149,Cade MORAN,USA,2003-10-04,1003
150,Zane FORIST,USA,,1002
151,Brandon LLOYD,JAM,2001-11-18,999
152,Javier GARCÍA,ESP,1994-11-22,998
153,Danny BRYANT,USA,2000-01-02,997
154,Skylar COFFEY,USA,,996
155,Willy VICAUT,FRA,1995-11-27,996
156,Caiden FREDRICK,USA,2005-01-11,995
157,Jay WADLEY,USA,,994
158,Koshiro FUJIWARA,JPN,2001-08-01,993
159,Noah BOLT,USA,,993
160,Michael JENKINS,GBR,2004-10-27,993
161,Kwinten COOLS,BEL,2002-11-23,992
162,Ricardo Andra HAYLES,JAM,2004-08-20,992
163,Luis Manuel RAMIREZ,ESP,1997-02-17,990
164,Thomas HINTON,USA,,990
165,Philipp SCHMIDLI,SUI,2005-05-19,989
166,Javier RODRIGUEZ,ESP,1993-02-28,989
167,Kole WELDON,USA,1992-03-25,989
168,Yevgeniy MILOVATSKIY,KAZ,1994-03-23,988
169,Bryce RULAND,USA,2006-09-26,987
170,Steffen MELHEIM,NOR,2003-08-01,987
171,Iason THANOPOULOS,GRE,1994-08-06,986
172,Gregory THOMPSON,GBR,1994-05-05,986
173,Nirbhay SINGH,IND,1996-11-20,985
174,Nathan VILLEGAS,PUR,2005-09-07,985
175,Sadegh SAMIMISHALAMZARI,IRI,2002-12-30,984
176,Junshan YANG,CHN,1992-08-09,983
177,Juho SUOMINEN,FIN,2004-06-26,983
178,Samuel KOVÁČ,SVK,1999-08-13,982
179,Will DIBO,AUT,2001-09-19,981
180,Lars COENE,BEL,2002-01-10,981
181,Manuel Anxo SIMON,ESP,2001-01-07,981
182,Mateus ALVARES,BRA,2003-06-02,980
183,Ridge ESTES,USA,,980
184,Kryštof NEDĚLA,CZE,2003-07-06,980
185,Zhiqin ZHANG,CHN,2002-05-07,979
186,Zsombor DOBÓ,HUN,2006-04-27,979
187,Avery SHUNNESON,USA,,979
188,Kobe LAWRENCE,JAM,2004-02-12,979
189,Jakob NÜTZEL,GER,2004-01-18,978
190,Zalán STRIGENCZ,HUN,2002-12-25,978
191,Owen WENDL,USA,,977
192,Aleix Camats GARCÍA,ESP,2005-01-27,977
193,Lingqi MENG,CHN,2000-07-30,977
194,Elias FOOR,USA,2002-03-12,976
195,Maxwell MOORE,USA,,976
196,Lott DESMOND,USA,,976
197,Kosei YAMASHITA,JPN,2000-11-22,975
198,Jaden JAMES,TTO,2003-12-08,975
199,Aleks HRISTOV,BUL,2000-03-23,975
200,Aleksandr DOBRENKIY,RUS,1994-03-11,974
201,Alexander PRANGER,USA,,974
202,Daniel STROOH,RSA,,974
203,Ethan SANDERS,USA,,974
204,Rodrigo CÁRDENAS,CHI,1994-08-02,973
205,Ronald Grueso MOSQUERA,COL,2002-07-02,972
206,Matthew APPEL,USA,,972
207,Israel ADESINA,NGR,,971
208,Dong-Hyuk KIM,KOR,1995-10-16,971
209,Jake STAFFORD,USA,2005-04-21,971
210,Masumi NAKAMACHI,JPN,2002-01-18,970
211,Shaiquan Selbourne DUNN,JAM,2005-03-29,970
212,Chukwuemeka OSAMMOR,GBR,2001-06-15,969
213,Luis Fabio Cruz DA RODRIGUES,BRA,2000-08-23,968
214,Chad HENDRICKS,JAM,2005-03-28,967
215,Rhys ALLEN,GBR,2004-08-30,967
216,Liurunxin CAO,CHN,2003-10-09,967
217,Jared FREEMAN,USA,,966
218,Jevan PARARA,USA,,966
219,Emil MIKKELSEN,DEN,1990-04-17,966
220,Giovanni FALOCI,ITA,1985-10-13,966
221,Jacob HAWKINS,USA,,966
222,Elbachir MBARKI,MAR,1996-03-09,965
223,Menachem Mendel CHEN,ISR,2000-11-01,964
224,Daniel NORRIS,USA,,964
225,Wyatt PUFF,USA,,964
226,Shakiel DACRES,JAM,2001-07-24,964
227,Lucien WANGBA,CMR,1993-05-08,963
228,Jan SVOZIL,CZE,2004-12-31,962
229,Jamal MITCHELL,USA,,961
230,Abhimanyu,IND,2001-12-18,960
231,Seth APPLE,USA,,959
232,Chunlin LI,CHN,1999-12-10,959
233,Rory DEVANEY,USA,2004-07-15,958
234,Denis VALIULIN,ISR,1989-07-29,957
235,Caymen GEBHEIM,USA,,957
236,Stefano MARMONTI,ITA,2004-06-17,957
237,Paxton HAIR,USA,,955
238,Connor MOZEE,USA,,954
239,Duke FALEY,USA,,954
240,Edward TA'AMILO,USA,,953
241,Elijah IGNACIO,USA,,953
242,Ethan FISCHER,USA,2004-05-25,952
243,Mikel OZKOIDI,ESP,2001-03-12,952
244,Bo CUI,CHN,1998-07-13,952
245,Joseph KIENY,USA,,952
246,Nathanial COLLIER,USA,,951
247,Daniel DI GIANDOMENICO,AUS,2001-10-25,950
248,Clay ALEWELT,USA,,950
249,James MACKEY,USA,,949
250,Angelos MODIANAKIS,GRE,2004-06-14,949
251,Anders VIK,NOR,2003-03-07,948
252,Filipe Silva E VITAL,POR,1983-01-27,948
253,Noah KOCH,USA,,947
254,Stephan DEKKER,NED,1987-02-17,947
255,Mažvydas PAURYS,LTU,1999-11-23,947
256,Danilo D'ALESSANDRO,ITA,1999-02-11,947
257,Korbin SPENCER,USA,,946
258,Jake SCHAEFER,USA,,946
259,Dalton DEBEAU,USA,,946
260,Meng JIAO,CHN,2003-09-25,945
261,Barry EVANS,USA,,945
262,Elijah JACKMAN,USA,2004-02-04,944
263,Aleksandrs VOLKOVS,LAT,1999-11-18,944
264,Andreas DE LATHAUWER,BEL,2003-03-10,944
265,Jordan DUNIGAN,USA,,944
266,Márton CSONTOS,HUN,2002-06-13,943
267,Yume ANDO,JPN,1997-02-03,943
268,Benjamin PICHLER,AUT,2005-03-29,942
269,Anthony GASH,USA,,942
270,Vajk THARDI-VERESS,HUN,2001-03-08,941
271,Zach LEWIS,USA,,940
272,Adam HELLBOM,SWE,2004-05-05,940
273,Nate FRANZ,USA,,939
274,Delano LAWRENCE,JAM,2004-09-15,939
275,Petr PROCHÁZKA,CZE,1999-02-23,938
276,Teo PAGANUS,SWE,2003-06-01,938
277,Jesús David GUZMÁN,MEX,2004-03-14,937
278,Kieran FOWLER,NZL,1989-08-20,936
279,Darcy GIDDINGS,AUS,2005-04-17,936
280,Oluwatimi WILLIAMS,USA,2006-08-23,936
281,Emmanuel Agbo ANIH,GER,2004-05-31,935
282,Alberto RODRIGUES,BRA,2006-06-24,935
283,Nathan LEBOWITZ,USA,2005-08-24,935
284,Camilo Antonio Rojas ARAYA,CHI,2003-08-21,935
285,Ludvig ELLGREN,SWE,2007-10-23,934
286,Tj WIGGINS,USA,,934
287,Sergiu URSU,ROU,1980-04-26,933
288,Athan HUELSKAMP,USA,,933
289,Samuele MASIANI,ITA,2001-06-14,933
290,Joao Victor DALANDREA,BRA,2002-03-05,932
291,Yuehai GUO,CHN,2006-01-07,932
292,Ivan KUKULIČIĆ,MNE,1986-10-09,932
293,Cort GEBBERS,USA,,931
294,Brandon FISCHER,USA,,931
295,Marcel REISCH,GER,2003-04-02,931
296,Nicholas WEDDERMAN,GBR,2001-01-17,930
297,Isaiah TAVO,USA,,930
298,Beau BACKES,USA,,928
299,Han WANG,CHN,2005-04-18,928
300,Junior PAYTON-KIMBLE,USA,,927
301,Eoin SHERIDAN,IRL,1997-09-17,927
302,Chunqiang SHAN,CHN,2001-05-03,926
303,Mi-Soo JANG,KOR,2000-04-15,926
304,Dylan GROSS,USA,,925
305,Gioele TENGATTINI,ITA,2004-05-11,924
306,Vitor Oliveira DE SOUZA,BRA,2004-02-21,924
307,Nathaniel SULUPO,SAM,1998-02-18,923
308,Igor GONDOR,CZE,1979-03-01,923
309,Dillon CLAYDON,GBR,2003-11-01,923
310,Andrew PECK,GBR,1999-09-20,922
311,Hendrik KOOKMAA,EST,2005-03-20,922
312,Yannick ROLVINK,NED,2005-05-07,922
313,Leo NEUGEBAUER,GER,2000-06-19,922
314,Ethan THOMAS,USA,,921
315,Leander CASTEELS,BEL,2001-06-29,921
316,Guoliang SHAN,CHN,1994-06-06,920
317,Righardt STANDER,RSA,2004-05-21,920
318,Peyton WILLIAMS,USA,,920
319,Zhiqi YANG,CHN,2001-10-12,920
320,Mikun ADENIRAN,GBR,2006-02-25,919
321,Gevin Genro PAAS,EST,2000-04-11,919
322,Alan Jonh Fell MARDONES,CHI,2005-02-16,918
323,Nathan SPITZLEY,USA,,918
324,Tyler HIATT,USA,,918
325,Jahnaul RITZIE,USA,,916
326,Kai DEINES,USA,2004-11-10,916
327,Andre Jure ČUBELIĆ,CRO,2004-11-06,915
328,Joshua CYGAN,USA,,915
329,Joseph TURNER,USA,,914
330,Reece IHENACHO,USA,2006-05-24,914
331,Shigeyuki MAISAWA,JPN,1993-01-19,914
332,Milan DAROT-TOCAIL,FRA,2005-03-11,914
333,Obiora OKEKE,USA,,913
334,Aurelien FABREGUETTES,FRA,1996-12-13,912
335,Liguang ZHU,CHN,2001-04-21,912
336,Runda SUN,CHN,2002-11-30,911
337,Andrea FASSINA,ITA,1998-10-02,911
338,Charlie DANG,USA,,911
339,Grayson BRASHEAR,USA,,910
340,Chavez GREY,JAM,,910
341,Marco NIEDERHAUSER,SUI,1999-12-30,909
342,Brage Viljar ARUMAIRASA,NOR,2005-01-18,909
343,Trevor VEENSTRA,USA,,908
344,Joao Victor Silva DA FERREIRA,BRA,2003-01-27,907
345,Oinam SINGH,IND,2002-01-22,907
346,Emmanuel EKUMA,USA,,906
347,Gavin FRITSCH,USA,,906
348,Diego HERNANDEZ,MEX,,905
349,Lachlan TYDINGS,AUS,,905
350,Antoine LE DE-ROSSILLON,FRA,2001-01-10,903
351,Tomás PACHECO,ARG,2005-02-23,902
352,Adam SMITH,USA,,902
353,Enrico FERRIOLI,ITA,2000-10-13,902
354,Deekon ANVID,USA,,902
355,Vít KOTRBA,CZE,2003-01-08,901
356,Zsombor TAKÁCS,HUN,2005-06-27,901
357,Hannes REMMELGAS,EST,2003-03-08,900
358,Simeon CASSELS,BUL,2004-06-26,900
359,Daniel KOPŘIVA,CZE,2005-08-15,900
360,Dávid MOZSDÉNYI,HUN,1986-07-17,900
361,Ruben MATAS,ESP,1999-06-15,900
362,Tio Josh MOWATT,JAM,2003-06-14,899
363,Amar ELMORE,USA,,899
364,Tokiya YAMAGUCHI,JPN,2004-11-03,899
365,Jesse SHELTON,USA,,898
366,William KIZELL,CAN,,898
367,Ryan SMITH,USA,1990-01-27,897
368,Brennan BOORD,USA,2005-07-20,896
369,Tim WELLER,GER,2005-12-19,896
370,Kyriakos GENETHLI,CYP,2005-05-15,895
371,Cedric ENGLER,GER,,894
372,Brayden RADHUBER,USA,,894
373,Trey VERGENZ,USA,2005-03-11,894
374,Spencer WILLIAMS,USA,,893
375,Wentian HAN,CHN,2001-04-22,893
376,Sam BRADBURY,USA,,891
377,Nagendra ANNAPPA,IND,2002-11-18,891
378,Konnor WOOD,USA,,890
379,Connor FRASER,CAN,,890
380,Valerio FORGIARINI,ITA,1994-05-16,890
381,Tiago Costa DA FERNANDES,BRA,1989-06-30,890
382,Chen-Yu LI,TPE,2003-11-21,889
383,Robert MARCHESI-SCOTT,AUS,2005-07-01,887
384,Travis ROUX,USA,,886
385,Chance HEFTER,USA,,886
386,Petr VUKLISEVIC,CZE,1982-02-25,886
387,Ashish KUMAR,IND,2002-09-11,886
388,Richard LEGARRA,USA,,886
389,Joshua STERLING,USA,,885
390,Cordell NWOKEJI,USA,,885
391,Seong-Woo KIM,KOR,2004-08-08,885
392,Matei-Alexandru IONESCU,ROU,,884
393,Omi KAMOZAWA,JPN,2001-07-28,884
394,Marcus FRANCIS,USA,,883
395,Jack KNAPKE,USA,,883
396,Michael HEALY,IRL,,881
397,Giacomo LICINI,ITA,,881
398,Chase EDWARDS,USA,,879
399,Massimo GRISOTTO,USA,,879
400,Isidoro Marco MASCALI,ITA,1998-07-24,878
