rank,name,nationality,dob,points
1,Valarie ALLMAN,USA,1995-02-23,1487
2,Sandra ELKASEVIĆ,CRO,1990-06-21,1377
3,Bin FENG,CHN,1994-04-03,1357
4,Yaimé PÉREZ,CUB,1991-05-29,1346
5,Jorinde VAN KLINKEN,NED,2000-02-02,1337
6,Marike STEINACKER,GER,1992-04-03,1282
7,Laulauga TAUSAGA,USA,1998-05-22,1279
8,Vanessa KAMGA,SWE,1998-11-19,1260
9,Claudine VITA,GER,1996-09-19,1234
10,Kristin PUDENZ,GER,1993-02-09,1234
11,Liliana CÁ,POR,1986-11-05,1224
12,Shanice CRAFT,GER,1993-05-15,1224
13,Daisy OSAKUE,ITA,1996-01-16,1219
14,Cierra JACKSON,USA,2002-08-28,1213
15,Veronica FRALEY,USA,2000-05-27,1206
16,Gabi JACOBS,USA,1996-08-20,1204
17,Alida VAN DAALEN,NED,2002-04-12,1198
18,Jayden ULRICH,USA,2002-09-15,1194
19,Melina ROBERT-MICHON,FRA,1979-07-18,1193
20,Silinda MORÁLES,CUB,2000-08-30,1193
21,Irina RODRIGUES,POR,1991-02-05,1187
22,Alexandra EMILIANOV,MDA,1999-09-19,1181
23,Erika BEISTLE,USA,2003-05-08,1180
24,Izabela DA SILVA,BRA,1995-08-02,1173
25,Denia CABALLERO,CUB,1990-01-13,1167
26,Chioma ONYEKWERE-LYONS,NGR,1994-06-28,1159
27,Marija TOLJ,CRO,1999-11-29,1154
28,Taryn GOLLSHEWSKY,AUS,1993-05-18,1153
29,Shelby FRANK,USA,2002-06-01,1151
30,Samantha HALL,JAM,1993-04-19,1151
31,Elena BRUCKNER,USA,1998-04-14,1145
32,Amanda NGANDU-NTUMBA,FRA,2000-06-24,1142
33,Andressa DE MORAIS,BRA,1990-12-21,1138
34,Caisa-Marie LINDFORS,SWE,2000-08-05,1133
35,Daria ZABAWSKA,POL,1995-04-16,1130
36,Obiageri Pamela AMAECHI,NGR,1999-03-12,1124
37,Antonia KINZEL,GER,2000-09-07,1114
38,Ieva GUMBS,LTU,1994-11-23,1111
39,Julia TUNKS,CAN,2006-07-20,1110
40,Melany Pilar DEL MATHEUS,CUB,2001-01-19,1105
41,Nanaka KORI,JPN,1997-05-02,1102
42,Subenrat INSAENG,THA,1994-02-10,1100
43,Lisa Brix PEDERSEN,DEN,1996-08-16,1099
44,Violetta IGNATYEVA,RUS,2002-01-16,1099
45,Yuchen XIE,CHN,1996-05-12,1092
