rank,name,nationality,dob,points
1,Ethan KATZBERG,CAN,2002-04-05,1437
2,Mykhaylo KOKHAN,UKR,2001-01-22,1412
3,Bence HALÁSZ,HUN,1997-08-04,1370
4,Rudy WINKLER,USA,1994-12-06,1340
5,Yann CHAUSSINAND,FRA,1998-05-11,1332
6,Paweł FAJDEK,POL,1989-06-04,1321
7,Wojciech NOWICKI,POL,1989-02-22,1309
8,Merlin HUMMEL,GER,2002-01-04,1299
9,Eivind HENRIKSEN,NOR,1990-09-14,1266
10,Thomas MARDAL,NOR,1997-04-16,1238
11,Matija GREGURIĆ,CRO,1996-09-17,1235
12,Denzel COMENENTIA,NED,1995-11-25,1233
13,Joaquin GOMEZ,ARG,1996-10-14,1229
14,Rowan HAMILTON,CAN,2000-01-29,1228
15,Christos FRANTZESKAKIS,GRE,2000-04-26,1228
16,Konstantinos ZALTOS,GRE,2000-02-05,1216
17,Valeriy PRONKIN,RUS,1994-06-15,1210
18,Humberto MANSILLA,CHI,1996-05-22,1210
19,Dániel RÁBA,HUN,1998-04-24,1205
20,Angelos MANTZOURANIS,GRE,2004-05-01,1201
21,Volodymyr MYSLYVČUK,CZE,1996-04-25,1201
22,Gabriel KEHR,CHI,1996-09-03,1195
23,Jake NORRIS,GBR,1999-06-30,1179
24,Trey KNIGHT,USA,2002-05-24,1177
25,Shota FUKUDA,JPN,2000-11-28,1177
26,Özkan BALTACI,TUR,1994-02-13,1177
27,Daniel HAUGH,USA,1995-05-03,1175
28,Tanner BERG,USA,1999-07-26,1173
29,Ragnar CARLSSON,SWE,2000-11-16,1173
30,Ármin SZABADOS,HUN,2006-01-11,1170
31,Ronald Mencia ZAYAS,CUB,2002-08-26,1167
32,Serghei MARGHIEV,MDA,1992-11-06,1165
33,Qi WANG,CHN,2001-02-10,1164
34,Tyler WILLIAMS,USA,1993-04-05,1164
35,Marcin WROTYŃSKI,POL,1996-03-11,1164
36,Justin STAFFORD,USA,1996-05-24,1164
37,Tarik O'HAGAN,USA,2003-11-25,1162
38,Michail ANASTASAKIS,GRE,1994-12-03,1162
39,Alex YOUNG,USA,1994-09-01,1153
40,Adam KELLY,EST,1997-07-06,1153
41,Jerome VEGA,PUR,1995-04-07,1147
42,Patrik HÁJEK,CZE,1998-11-11,1147
43,Andrey ROMANOV,RUS,1994-09-19,1146
44,Kieran MCKEAG,USA,1998-04-18,1146
45,Tatsuto NAKAGAWA,JPN,1998-10-17,1143
46,Texas TANNER,USA,2004-10-01,1141
47,Mostafa ELGAMEL,EGY,1988-10-01,1139
48,Hilmar Örn JÓNSSON,ISL,1996-05-06,1139
49,Ioannis KORAKIDIS,GRE,2003-06-23,1137
50,Iosif KESIDIS,CYP,2005-08-19,1135
51,Jordan GEIST,USA,1998-07-21,1135
52,Donát VARGA,HUN,2000-04-08,1127
53,Yury VASILCHANKA,BLR,1994-04-01,1126
54,Marcel LOMNICKÝ,SVK,1987-07-06,1126
55,Tuomas SEPPÄNEN,FIN,1986-05-16,1125
56,Markelo MEMA,GRE,2001-05-24,1118
57,Henri LIIPOLA,FIN,1994-04-24,1118
58,Miguel Ángel ZAMORA,CUB,1999-01-25,1117
