rank,name,nationality,dob,points
1,Camryn ROGERS,CAN,1999-06-07,1402
2,Brooke ANDERSEN,USA,1995-08-23,1325
3,Annette Nneka ECHIKUNWOKE,USA,1996-07-29,1297
4,Anita WŁODARCZYK,POL,1985-08-08,1294
5,Silja KOSONEN,FIN,2002-12-16,1294
6,Jie ZHAO,CHN,2002-10-13,1277
7,Krista TERVO,FIN,1997-11-15,1275
8,Deanna PRICE,USA,1993-06-08,1267
9,Janee' KASSANAVOID,USA,1995-01-19,1265
10,Rachel RICHESON,USA,1999-09-27,1261
11,Katrine Koch JACOBSEN,DEN,1999-06-24,1250
12,Rosa Andreina RODRÍGUEZ,VEN,1986-07-02,1236
13,Sara FANTINI,ITA,1997-09-16,1236
14,Rose LOGA,FRA,2002-07-27,1235
15,Hanna SKYDAN,AZE,1992-05-14,1224
16,Bianca Florentina GHELBER,ROU,1990-06-01,1224
17,Jillian SHIPPEE,USA,1999-04-19,1204
18,Sofiya PALKINA,RUS,1998-06-09,1198
19,Lauren BRUCE,NZL,1997-03-23,1191
20,Stephanie RATCLIFFE,AUS,2000-12-29,1184
21,Beatrice Nedberge LLANO,NOR,1997-12-14,1181
22,Jiale ZHANG,CHN,2006-10-22,1180
23,Li JI,CHN,2000-12-14,1171
24,Anna PURCHASE,GBR,1999-09-15,1165
25,Erin REESE,USA,1995-12-04,1163
26,Nicola TUTHILL,IRL,2003-12-22,1159
27,Aileen KUHN,GER,2003-11-27,1157
28,Jiangyan LI,CHN,1999-05-22,1156
29,Anastasiya GRIGORYEVA,RUS,2002-09-10,1155
30,Jinyao GAO,CHN,2004-04-30,1143
31,Oyesade OLATOYE,NGR,1997-01-25,1142
32,Jillian WEIR,CAN,1993-02-09,1142
33,Lara ROBERTS,AUS,2003-11-07,1137
34,Rebecka HALLERTH,SWE,1996-01-04,1133
35,Alena SOBALEVA,BLR,1993-05-11,1128
36,Axi ZHANG,CHN,2002-03-06,1126
37,Nayoka CLUNIS,JAM,1995-10-07,1122
38,Samantha BORUTTA,GER,2000-08-07,1121
39,Anastasiya MASLOVA,BLR,1997-10-16,1121
40,Jalani DAVIS,USA,2001-05-23,1121
41,Katarzyna FURMANEK,POL,1996-02-19,1121
42,Stamatia Alexandra SCARVELIS,GRE,1995-08-17,1120
43,Shelby MORAN,USA,2000-04-03,1120
44,Iryna KLYMETS,UKR,1994-10-04,1119
45,Ewa RÓŻAŃSKA,POL,2000-12-22,1116
46,Ximena ZORRILLA,PER,2000-11-02,1114
47,Valentina SAVVA,CYP,2005-05-17,1108
48,Emma ROBBINS,USA,2000-12-13,1106
49,Zahra TATAR,ALG,1992-11-10,1105
50,Janeah STEWART,USA,1996-07-21,1099
51,Alisiya NAUMOVA,RUS,2002-05-27,1097
52,Yelizaveta TSAREVA,RUS,1993-03-26,1094
53,Rachele MORI,ITA,2003-03-29,1090
54,Leandri HOLTZHAUSEN,RSA,1997-07-14,1089
55,Guðrún Karítas HALLGRÍMSDÓTTIR,ISL,2002-07-07,1089
56,Mariana Walker GARCÍA,CHI,1999-03-19,1087
57,Shelby FRANK,USA,2002-06-01,1086
58,Suvi NIIRANEN,FIN,1997-04-24,1086
59,Charlotte PAYNE,GBR,2002-03-20,1086
60,Veronika KAŇUCHOVÁ,SVK,1993-04-19,1085
61,Grete AHLBERG,SWE,1998-05-29,1084
62,Florella FREYCHE,FRA,2004-12-13,1082
63,Thea LÖFMAN,SWE,2003-09-08,1081
64,Anthonett NABWE,LBR,2004-01-22,1081
65,Joy MCARTHUR,JPN,1999-07-05,1080
66,Raika MURAKAMI,JPN,2004-03-13,1079
67,Laura REDONDO,ESP,1988-07-03,1073
68,Giavonna MEEKS,USA,2004-07-28,1071
69,Kenna CURRY,USA,,1069
70,Yuqian CHEN,CHN,1999-04-05,1068
71,Alexandra TAVERNIER,FRA,1993-12-13,1067
72,Nova KIENAST,GER,2007-07-24,1066
73,Aleksandra ŚMIECH,POL,1997-10-02,1065
74,Patricia KAMGA,SWE,2006-07-27,1064
75,Yipsi MORENO,ALB,1980-11-19,1063
76,Anastasiya KALAMOYETS,BLR,1994-07-15,1063
77,Zsanett NÉMETH,HUN,2000-12-19,1062
78,Ling FANG,CHN,2005-10-24,1060
79,Charlotta SANDKULLA,FIN,2004-04-14,1060
80,Chloe LINDEMAN,USA,2000-03-05,1058
81,Jada JULIEN,GER,2004-06-23,1058
82,Yaritza MARTÍNEZ,CUB,2000-02-03,1057
83,Ya-Chien YU,TPE,1999-04-20,1055
84,Xinying XU,CHN,1997-02-17,1055
85,Zheng WANG,CHN,1987-12-14,1055
86,Tereza HOLCOVÁ,CZE,2000-05-11,1055
