rank,name,nationality,dob,points
1,Nafissatou THIAM,BEL,1994-08-19,1440
2,Anna HALL,USA,2001-03-23,1385
3,Noor VIDTS,BEL,1996-05-30,1378
4,Annik KÄLIN,SUI,2000-04-27,1335
5,Sofie DOKTER,NED,2002-12-19,1306
6,Martha ARAUJO,COL,1996-05-12,1290
7,Saga VANNINEN,FIN,2003-05-04,1281
8,Emma OOSTERWEGEL,NED,1998-06-29,1262
9,Taliyah BROOKS,USA,1995-02-08,1246
10,Kate O'CONNOR,IRL,2000-12-12,1241
11,Auriana LAZRAQ-KHLASS,FRA,1999-04-22,1233
12,Xénia KRIZSÁN,HUN,1993-01-13,1232
13,Michelle ATHERLEY,USA,1995-12-09,1232
14,Jade O'DOWDA,GBR,1999-09-09,1218
15,Sveva GEREVINI,ITA,1996-05-31,1204
16,Chari HAWKINS,USA,1991-05-21,1196
17,María VICENTE,ESP,2001-03-28,1193
18,Beatričė JUŠKEVIČIŪTĖ,LTU,2000-01-10,1193
19,Timara CHAPMAN,USA,2000-05-05,1190
20,Vanessa GRIMM,GER,1997-04-22,1189
21,Camryn NEWTON-SMITH,AUS,2000-04-27,1184
22,Pippi Lotta ENOK,EST,2002-08-19,1183
23,Tori WEST,AUS,1995-10-14,1177
24,Abigail PAWLETT,GBR,2003-01-14,1176
25,Jadin O'BRIEN,USA,2002-05-08,1175
26,Verena MAYR,AUT,1995-02-01,1174
27,Allie JONES,USA,2000-06-29,1173
28,Adrianna SUŁEK-SCHUBERT,POL,1999-04-03,1170
29,Paulina LIGARSKA,POL,1996-04-09,1170
30,Sandrina SPRENGEL,GER,2004-03-12,1168
31,Rita NEMES,HUN,1989-11-30,1164
32,Lovisa KARLSSON,SWE,2000-01-15,1164
33,Serina RIEDEL,GER,2003-04-12,1163
34,Sarolta KRISZT,HUN,2006-10-28,1154
35,Jana KOŠČAK,CRO,2006-05-19,1152
36,Katelyn ADEL,SUI,2002-10-23,1152
37,Célia PERRON,FRA,1997-04-18,1149
38,Yuliia LOBAN,UKR,2000-08-07,1146
39,Elisa PINEAU,FRA,1998-10-26,1142
40,Valeriya MOSKVITINA,RUS,2003-04-06,1142
41,Szabina SZŰCS,HUN,2002-02-04,1141
42,Erin MARSH,USA,1999-07-12,1141
43,Ivona DADIC,AUT,1993-12-29,1140
44,Bianca SALMING,SWE,1998-11-22,1139
45,Anastasia NTRAGKOMIROVA,GRE,2003-01-22,1135
46,Sophia YAKUSHINA,RUS,2006-01-07,1133
47,Annie KUNZ,USA,1993-02-16,1132
48,Kristīne BLAŽEVIČA,LAT,2001-12-11,1131
49,Lexie KELLER,USA,2000-01-16,1128
50,Briana STEPHENSON,NZL,1999-10-23,1127
51,Nandini AGASARA,IND,2003-08-07,1123
52,Mathilde REY,SUI,2000-03-29,1119
53,Ninali ZHENG,CHN,1998-11-12,1118
54,Liana TRÜMPI,SUI,2004-06-10,1118
55,Jenelle ROGERS,USA,2002-08-17,1118
56,Odile AHOUANWANOU,BEN,1991-01-05,1116
57,Lydia BOLL,SUI,1999-12-01,1116
58,Cheyenne NESBITT,USA,1999-08-23,1114
59,Karmen FOUCHE,RSA,2003-01-02,1114
60,Sophia MULDER,NED,2002-09-12,1111
61,Sandra RÖTHLIN,SUI,1999-01-02,1110
62,Yuliya ROUT,BLR,1995-01-22,1108
63,Ellen BARBER,GBR,1997-12-05,1108
64,Sofia COSCULLUELA,ESP,2004-01-26,1107
65,Erika WÄRFF,SWE,2000-07-16,1102
66,Shaina BURNS,USA,1996-03-21,1100
67,Pauline BIKEMBO,FRA,2002-11-05,1100
68,Jingyi LIU,CHN,2000-08-04,1099
69,Caroline AGNOU,SUI,1996-05-26,1097
70,Sarah LAGGER,AUT,1999-09-03,1097
71,Emelia SURCH,AUS,2003-06-29,1097
72,Nicole WARWICK,USA,1998-08-31,1094
73,Maddie WILSON,NZL,2002-04-05,1092
74,Edyta BIELSKA,POL,2001-06-17,1092
75,Julia SŁOCKA,POL,2001-02-18,1091
76,Hope BENDER,USA,1997-01-02,1091
77,Sienna MACDONALD,CAN,2002-08-15,1090
78,Esther CONDE-TURPIN,FRA,1996-04-29,1090
79,Mareike RÖSING,GER,1999-12-31,1090
80,Celine JANSEN,SUI,1996-05-05,1089
81,Liisa-Maria LUSTI,EST,2004-08-22,1087
82,Lauren TAUBERT,USA,1998-03-20,1087
83,Marie DEHNING,GER,2003-05-26,1087
84,Lucie KIENAST,GER,2001-06-01,1087
85,Angel RICHMORE,SWE,2001-04-30,1086
86,Myke VAN DE WIEL,NED,1997-06-04,1084
87,Ashtin ZAMZOW-MAHLER,USA,1996-08-13,1084
88,Marys Adela PATTERSON,CUB,2001-10-16,1082
89,Yuliya SOKHATSKAYA,RUS,2001-12-12,1082
90,Isabel POSCH,AUT,2000-02-28,1078
91,Yelizaveta SLOBODYANYUK,RUS,2004-04-18,1076
92,Mariana BENTO,POR,2001-11-22,1076
93,Chiara-Belinda SCHULER,AUT,2001-06-02,1071
94,Andrea MEDINA,ESP,1996-04-26,1071
95,Linda BICHSEL,SUI,2004-12-27,1071
96,Katsiaryna NETSVIATAYEVA,BLR,1989-06-26,1071
