rank,name,nationality,dob,points
1,Sanghyeok WOO,KOR,1996-04-23,1389
2,Oleh DOROSHCHUK,UKR,2001-07-04,1368
3,Gianmarco TAMBERI,ITA,1992-06-01,1365
4,Hamish KERR,NZL,1996-08-17,1362
5,Shelby MCEWEN,USA,1996-04-06,1313
6,Jan ŠTEFELA,CZE,2001-04-20,1300
7,Romaine BECKFORD,JAM,2002-07-09,1299
8,Ryoichi AKAMATSU,JPN,1995-05-02,1287
9,Stefano SOTTILE,ITA,1998-01-26,1277
10,Tomohiro SHINNO,JPN,1996-08-17,1258
11,Tihomir IVANOV,BUL,1994-07-11,1240
12,Matteo SIOLI,ITA,2005-10-01,1239
13,Raymond RICHARDS,JAM,2001-04-28,1236
14,Yual REATH,AUS,2000-05-18,1234
15,Jonathan KAPITOLNIK,ISR,2002-11-25,1224
16,Thomas CARMOY,BEL,2000-02-16,1218
17,Juvaughn HARRISON,USA,1999-04-30,1216
18,Danil LYSENKO,RUS,1997-05-19,1216
19,Manuel LANDO,ITA,2000-08-04,1215
20,Dmytro NIKITIN,UKR,1999-07-31,1213
21,Marco FASSINOTTI,ITA,1989-04-29,1209
22,Elijah KOSIBA,USA,2002-04-03,1204
23,Brian RAATS,RSA,2004-01-17,1201
24,Naoto HASEGAWA,JPN,1996-11-15,1193
25,Brandon STARC,AUS,1993-11-24,1192
26,Edgar RIVERA,MEX,1991-02-13,1183
27,Roman ANASTASIOS,AUS,2002-06-09,1182
28,Yuto SEKO,JPN,1998-03-16,1180
29,Erick PORTILLO,MEX,2000-10-05,1178
30,Tobias POTYE,GER,1995-03-16,1177
31,Vernon TURNER,USA,1998-08-21,1173
32,Sota HARAGUCHI,JPN,2004-10-11,1169
33,Donald THOMAS,BAH,1984-07-01,1166
34,Thiago MOURA,BRA,1995-11-27,1164
35,Luis Enrique ZAYAS,CUB,1997-06-07,1164
36,Takashi ETO,JPN,1991-02-05,1163
37,Chao-Hsuan FU,TPE,2002-12-14,1161
38,Ilya IVANYUK,RUS,1993-03-09,1161
39,Jef VERMEIREN,BEL,2000-12-20,1161
40,Tyus WILSON,USA,2002-11-05,1160
41,Kason O'RILEY,USA,2002-03-05,1158
42,Arvesta TROUPE,USA,2004-06-05,1152
43,Luis Castro RIVERA,PUR,1991-01-29,1151
44,Vadym KRAVCHUK,UKR,1996-10-28,1147
45,Caleb SNOWDEN,USA,2002-06-01,1146
46,Zhen WANG,CHN,2001-10-07,1145
47,Mateusz PRZYBYLKO,GER,1992-03-09,1145
48,Vladyslav LAVSKYY,UKR,2000-03-16,1142
49,Fernando FERREIRA,BRA,1994-12-13,1142
50,Mateusz KOŁODZIEJSKI,POL,2002-06-22,1141
51,Jaivon HARRISON,USA,2001-10-02,1141
52,Sarvesh Anil KUSHARE,IND,1995-06-17,1140
53,Riyon RANKIN,USA,2005-03-16,1140
54,Antonios MERLOS,GRE,1999-04-04,1140
55,Alperen ACET,TUR,1998-04-02,1138
56,Yuhang DUAN,CHN,2000-11-16,1135
57,Daniel KOSONEN,FIN,2000-09-17,1134
58,Tawan KAEWKAM,THA,1999-09-30,1133
59,Earnest SEARS,USA,1998-12-04,1133
60,Breyton POOLE,RSA,2000-03-23,1129
61,Yair PORTILLO,MEX,2002-09-29,1129
62,Antrea MITA,GRE,2005-05-04,1129
63,Yaroslav KUTKOVOY,RUS,2000-10-10,1128
64,Scottie VINES,USA,2005-11-01,1127
65,Aiden HAYES,USA,2004-07-23,1127
66,Kyren WASHINGTON,USA,2005-05-20,1125
