rank,name,nationality,dob,points
1,Yaroslava MAHUCHIKH,UKR,2001-09-19,1450
2,Nicola OLYSLAGERS,AUS,1996-12-28,1437
3,Eleanor PATTERSON,AUS,1996-05-22,1370
4,Iryna GERASHCHENKO,UKR,1995-03-10,1333
5,Christina HONSEL,GER,1997-07-07,1304
6,Angelina TOPIĆ,SRB,2005-07-26,1303
7,Morgan LAKE,GBR,1997-05-12,1294
8,Vashti CUNNINGHAM,USA,1998-01-18,1286
9,Elena KULICHENKO,CYP,2002-07-28,1277
10,Safina SADULLAYEVA,UZB,1998-03-04,1272
11,Yuliia LEVCHENKO,UKR,1997-11-28,1268
12,Maria ŻODZIK,POL,1997-01-19,1260
13,Imke ONNEN,GER,1994-08-17,1244
14,Engla NILSSON,SWE,2005-05-20,1238
15,Lamara DISTIN,JAM,2000-03-03,1234
16,Charity HUFNAGEL,USA,2001-06-18,1224
17,Mariya KOCHANOVA,RUS,2002-05-30,1222
18,Lia APOSTOLOVSKI,SLO,2000-06-23,1208
19,Nawal MENIKER,FRA,1997-12-09,1200
20,Kateryna TABASHNYK,UKR,1994-06-15,1196
21,Tatiana GKOUSIN,GRE,1994-01-26,1195
22,Buse SAVAŞKAN,TUR,1999-02-24,1195
23,Idea PIERONI,ITA,2002-09-18,1195
24,Nagisa TAKAHASHI,JPN,2000-01-15,1193
25,Temitope Simbiat ADESHINA,NGR,1998-11-11,1190
26,Michaela HRUBÁ,CZE,1998-02-21,1190
27,Rose Amoanimaa YEBOAH,GHA,2001-12-23,1186
28,Solène GICQUEL,FRA,1994-12-01,1183
29,Merel MAES,BEL,2005-01-22,1181
30,Karyna DEMIDIK,BLR,1999-02-10,1172
31,Rachel GLENN,USA,2002-04-17,1171
32,Britt WEERMAN,NED,2003-06-13,1171
33,Kristina KOROLYOVA,RUS,1990-11-06,1171
34,Ella JUNNILA,FIN,1998-12-06,1170
35,Elisabeth PIHELA,EST,2004-03-15,1167
36,Jenna ROGERS,USA,2002-04-18,1165
37,Emily WHELAN,AUS,2000-01-10,1161
