rank,name,nationality,dob,points
1,Neeraj CHOPRA,IND,1997-12-24,1445
2,Anderson PETERS,GRN,1997-10-21,1428
3,Julian WEBER,GER,1994-08-29,1400
4,Jakub VADLEJCH,CZE,1990-10-10,1322
5,Julius YEGO,KEN,1989-01-04,1314
6,Keshorn WALCOTT,TTO,1993-04-02,1289
7,Luiz Mauricio DA SILVA,BRA,2000-01-17,1283
8,Roderick Genki DEAN,JPN,1991-12-30,1259
9,Cyprian MRZYGŁÓD,POL,1998-02-02,1254
10,Oliver HELANDER,FIN,1997-01-01,1251
11,Andrian MARDARE,MDA,1995-06-20,1249
12,Lassi ETELÄTALO,FIN,1988-04-30,1246
13,Toni KERÄNEN,FIN,1998-06-16,1232
14,Yuta SAKIYAMA,JPN,1996-04-05,1229
15,Artur FELFNER,UKR,2003-10-17,1225
16,Douw SMIT,RSA,1999-05-12,1218
17,Edis MATUSEVIČIUS,LTU,1996-06-30,1212
18,Marc Anthony MINICHELLO,USA,2000-04-06,1205
19,Rumesh Tharanga PATHIRAGE,SRI,2003-03-21,1202
20,Curtis THOMPSON,USA,1996-02-08,1202
21,Sachin YADAV,IND,1999-10-25,1182
22,Marcin KRUKOWSKI,POL,1992-06-14,1177
23,Cameron MCENTYRE,AUS,1999-02-10,1177
24,Leandro RAMOS,POR,2000-09-21,1172
25,Boris BEZDOLNIY,RUS,1997-04-01,1166
26,Haoran HU,CHN,1998-09-28,1165
27,Eemil PORVARI,FIN,2003-02-02,1164
28,Dawid WEGNER,POL,2000-04-23,1151
29,Sindri Hrafn GUÐMUNDSSON,ISL,1995-11-21,1148
30,Manu QUIJERA,ESP,1998-01-13,1142
31,Alexandru Mihăiță NOVAC,ROU,1997-03-24,1140
32,Nick THUMM,GER,2004-10-19,1138
33,Rin SUZUKI,JPN,2002-12-13,1137
34,Yash Vir SINGH,IND,2001-10-22,1136
35,Aliaksei KATKAVETS,BLR,1998-06-07,1136
36,Gen NAGANUMA,JPN,1998-03-31,1136
37,Moustafa MAHMOUD,EGY,2001-09-22,1127
38,Timothy HERMAN,BEL,1990-10-19,1126
39,Martin KONEČNÝ,CZE,1997-12-20,1125
40,Lars Anthony FLAMING,PAR,2003-02-27,1125
41,Topias LAINE,FIN,2001-07-12,1118
42,Kenji OGURA,JPN,1995-06-08,1117
43,Giovanni FRATTINI,ITA,2002-10-24,1116
44,Keyshawn STRACHAN,BAH,2003-12-18,1114
45,Max DEHNING,GER,2004-09-09,1114
46,Yusaku IWAO,JPN,2002-04-12,1112
47,Gatis ČAKŠS,LAT,1995-06-13,1109
48,Taneli JUUTINEN,FIN,1994-10-25,1109
49,Donavon BANKS,USA,1997-04-15,1099
50,Xiaobo WANG,CHN,2005-02-18,1090
51,Niklas SAGAWE,GER,2000-04-16,1090
52,Rohit YADAV,IND,2001-06-06,1089
53,Heqing NIU,CHN,1997-04-16,1085
54,Kishore JENA,IND,1995-09-06,1084
55,Alexandr ČAČA,CZE,2003-07-14,1084
56,Ewald JANSEN,RSA,2006-04-15,1081
57,Muhammet Hanifi ZENGIN,TUR,2004-05-30,1080
58,Arthur W. PETERSEN,DEN,1999-08-18,1079
59,Leikel H. CABRERA,CUB,2004-11-30,1077
60,Simon WIELAND,SUI,2000-12-16,1076
61,Lautaro TECHERA,URU,2002-05-18,1076
62,Mike STEIN,USA,2004-03-25,1076
63,Edel BORUNDARENA,CUB,2000-07-03,1073
64,Jan VÝŠKA,CZE,2004-05-24,1071
65,Elvis GRAHAM,JAM,1996-10-03,1070
66,Taisei AIBARA,JPN,1995-08-18,1069
67,Patrik MICHALEC,SVK,2000-04-07,1068
68,Kai ZHU,CHN,1998-08-24,1067
69,Dash SIRMON,USA,2004-02-10,1064
70,Dimitrios TSITSOS,GRE,2000-09-27,1063
71,Ryohei ARAI,JPN,1991-06-23,1063
72,Hiroya KIYOKAWA,JPN,2003-05-21,1062
73,Cedric SORGELOOS,BEL,2000-04-14,1061
74,Jie ZHAO,CHN,2003-02-06,1059
