rank,name,nationality,dob,points
1,Haruka KITAGUCHI,JPN,1998-03-16,1384
2,Adriana VILAGOŠ,SRB,2004-01-02,1343
3,Jo-Ane Du PLESSIS,RSA,1997-10-03,1318
4,Elina TZENGKO,GRE,2002-09-02,1309
5,Victoria HUDSON,AUT,1996-05-28,1253
6,Flor Denis Ruiz HURTADO,COL,1991-01-29,1251
7,Sara KOLAK,CRO,1995-06-22,1244
8,Nikola OGRODNÍKOVÁ,CZE,1990-08-18,1243
9,Mackenzie LITTLE,AUS,1996-12-22,1231
10,Marie-Therese OBST,NOR,1996-01-07,1222
11,Maria ANDREJCZYK,POL,1996-03-09,1214
12,Momone UEDA,JPN,1999-06-27,1204
13,Lingdan SU,CHN,1997-01-12,1202
14,Qianqian DAI,CHN,2000-08-23,1196
15,Ziyi YAN,CHN,2008-05-22,1192
16,Tori MOORBY,NZL,1994-05-17,1174
17,Anete SIETIŅA,LAT,1996-02-05,1172
18,Yulenmis AGUILAR,ESP,1996-08-03,1167
19,Sigrid BORGE,NOR,1995-12-03,1164
20,Petra SIČAKOVÁ,CZE,2003-04-14,1161
21,Lianna DAVIDSON,AUS,2002-11-08,1159
22,Tatsiana KHALADOVICH,BLR,1991-06-21,1159
23,Rhema OTABOR,BAH,2002-12-03,1153
24,Sae TAKEMOTO,JPN,1999-11-23,1148
25,Andrea ŽELEZNÁ,CZE,1993-07-04,1145
26,Liveta JASIŪNAITĖ,LTU,1994-07-26,1138
27,Manuela ROTUNDO,URU,2004-07-19,1132
28,Jucilene Sales DE LIMA,BRA,1990-09-14,1120
29,Madison WILTROUT,USA,1999-06-04,1110
30,Bekah WALTON,GBR,1999-09-20,1105
31,Daniella Mieko NISIMURA,BRA,1994-03-26,1099
32,Marija VUČENOVIĆ,SRB,1993-04-03,1096
33,Huihui LYU,CHN,1989-06-26,1094
34,Irene CHEPKEMBOI,KEN,2004-03-05,1094
35,Christin MAURER,GER,1994-03-17,1091
36,Marina SAITO,JPN,1995-10-15,1091
37,Annu RANI,IND,1992-08-29,1086
38,Maddie HARRIS,USA,2000-11-02,1074
39,Eda TUĞSUZ,TUR,1997-03-27,1070
40,Gedly TUGI,EST,2001-09-11,1069
41,Alizée MINARD,FRA,1997-05-06,1068
42,Yuki YAMAMOTO,JPN,2000-10-16,1067
43,Ella KUNETSOVA,RUS,1998-11-30,1066
44,Kathrin WALTER,GER,2000-02-06,1064
45,Mckyla Der VAN WESTHUIZEN,RSA,2004-03-11,1063
46,Yiset Magali JIMENEZ,COL,2000-04-19,1061
47,Julia ULBRICHT,GER,2000-11-28,1059
48,Mayya BOGATYROVA,RUS,2000-05-30,1058
49,Jana VAN SCHALKWYK,RSA,2001-03-07,1057
50,Valeriya BEZDOLNAYA,RUS,2002-04-23,1056
51,Mia GORDON,AUS,2002-10-23,1056
52,Sayuka KURATA,JPN,2004-05-22,1053
53,Valentina BARRIOS,COL,2003-12-02,1052
54,Lijuan GE,CHN,1997-07-17,1050
55,Qiaohui GAI,CHN,2000-12-22,1050
56,Yuliya MAKEYEVA,BLR,2000-11-05,1050
57,Ariana INCE,USA,1989-03-14,1049
58,Jade MARAVAL,FRA,2002-06-06,1048
59,Jona AIGOUY,FRA,1999-04-19,1047
