rank,name,nationality,dob,points
1,Miltiadis TENTOGLOU,GRE,1998-03-18,1424
2,Wayne PINNOCK,JAM,2000-10-24,1398
3,Mattia FURLANI,ITA,2005-02-07,1397
4,Simon EHAMMER,SUI,2000-02-07,1350
5,Liam ADCOCK,AUS,1996-06-21,1348
6,Mingkun ZHANG,CHN,2000-10-20,1304
7,Heng SHU,CHN,2004-05-22,1298
8,Carey MCLEOD,JAM,1998-04-14,1291
9,Tajay GAYLE,JAM,1996-08-02,1285
10,Jacob FINCHAM-DUKES,GBR,1997-01-12,1285
11,Bozhidar SARÂBOYUKOV,BUL,2004-08-06,1277
12,Thobias MONTLER,SWE,1996-02-15,1271
13,Gerson BALDÉ,POR,2000-01-28,1261
14,Marquis DENDY,USA,1992-11-17,1258
15,Simon BATZ,GER,2002-12-01,1248
16,Lester LESCAY,ESP,2001-10-15,1247
17,Anvar ANVAROV,UZB,2000-10-22,1247
18,Filip PRAVDICA,CRO,1995-07-28,1234
19,Jeremiah DAVIS,USA,2001-08-31,1228
20,Radek JUŠKA,CZE,1993-03-08,1224
21,Isaac GRIMES,USA,1998-02-07,1222
22,Emiliano LASA,URU,1990-01-25,1220
23,Keito YAMAURA,JPN,2000-11-09,1219
24,Yuki HASHIOKA,JPN,1999-01-23,1218
25,Cameron CRUMP,USA,1999-09-03,1217
26,Emanuel ARCHIBALD,GUY,1994-09-09,1211
27,Cheswill JOHNSON,RSA,1997-09-30,1210
28,Hibiki TSUHA,JPN,1998-01-21,1206
29,Arnovis DALMERO,COL,2000-09-23,1205
30,Shawn-D THOMPSON,JAM,1997-01-20,1201
31,Yuhao SHI,CHN,1998-09-26,1199
32,Jaime GUERRA,ESP,1999-10-30,1195
33,Roko FARKAŠ,CRO,2005-02-11,1195
34,Juan Miguel ECHEVARRÍA,CUB,1998-08-11,1193
35,Riku ITO,JPN,2001-01-16,1191
36,José MANDROS,PER,1998-11-12,1191
37,Piotr TARKOWSKI,POL,1999-08-10,1187
38,Jinsuok SUNG,KOR,1997-01-02,1184
39,Luka HERDEN,GER,2000-02-09,1182
40,Christopher MITREVSKI,AUS,1996-07-12,1181
41,Nikaoli WILLIAMS,JAM,2000-10-07,1181
42,Charles Edward GODFRED,NGR,2004-04-17,1180
43,Aniel MOLINA,CUB,2004-04-01,1179
44,Petr MEINDLSCHMID,CZE,2006-01-15,1178
45,William WILLIAMS,USA,1995-01-31,1177
46,Yu-Tang LIN,TPE,2000-05-11,1173
47,Chenoult Lionel COETZEE,NAM,1997-05-06,1172
48,Jorge A. ODELÍN,CUB,2007-05-16,1172
49,Shay VEITCH,NZL,2000-12-07,1169
50,Kristian PULLI,FIN,1994-09-02,1168
51,Jules POMMERY,FRA,2001-01-22,1164
52,Sander SKOTHEIM,NOR,2002-05-31,1164
53,Peiqi GAO,CHN,2004-08-19,1164
54,Marko ČEKO,CRO,2000-08-03,1163
55,Xinyu WEI,CHN,1996-07-28,1161
56,Kalle SALMINEN,FIN,1996-01-29,1157
57,Changzhou HUANG,CHN,1994-08-20,1157
58,Tom CAMPAGNE,FRA,2000-11-14,1155
59,Jason SMITH,USA,1998-12-19,1154
60,Julien PAUTHONNIER,FRA,1999-10-31,1152
61,Tafadzwa CHIKOMBA,ZIM,,1152
62,Junhui TAO,CHN,1999-04-26,1151
63,Weiqiang XU,CHN,2002-07-14,1150
64,Qichen ZHANG,CHN,2000-06-24,1148
65,Joshua RIVERS,USA,,1146
66,Jovan VAN VUUREN,RSA,1996-07-17,1143
67,Aliaksei DUDZINSKI,BLR,2002-12-08,1143
68,Vladyslav MAZUR,UKR,1996-11-21,1143
69,Shoutarou SHIROYAMA,JPN,1995-03-06,1141
70,Jc STEVENSON,USA,2004-06-02,1141
71,Temoso MASIKANE,RSA,2006-04-26,1138
72,Stephen MACKENZIE,GBR,2001-08-28,1137
73,Erwan KONATE,FRA,2003-04-18,1136
74,Eusebio CÁCERES,ESP,1991-09-10,1135
75,Lokesh SATHYANATHAN,IND,1999-12-21,1135
76,Henry KINER,USA,2001-01-16,1133
77,Andreas TRAJKOVSKI,MKD,1993-03-18,1133
78,Chenlong YUAN,CHN,2002-01-04,1132
79,Gabriel Luiz BOZA,BRA,2003-03-07,1132
80,Michael WILLIAMS,PUR,1991-10-19,1132
81,Samuel KHOGALI,GBR,1997-07-15,1131
82,Malcolm CLEMONS,USA,2002-03-08,1130
83,Danylo DUBYNA,UKR,2004-03-23,1130
84,Koki FUJIHARA,JPN,2002-05-31,1129
85,Gregory FOSTER,USA,2004-11-07,1128
86,Kelsey DANIEL,TTO,2001-04-17,1127
87,Liam FAIRWEATHER,AUS,2002-07-23,1127
88,Mason MCGRODER,AUS,2008-09-18,1127
89,Simon PLITZKO,GER,2005-02-25,1127
90,Jayden KEYS,USA,2006-04-21,1127
91,Adrian BRZEZIŃSKI,POL,1998-08-24,1126
92,Raihau MAIAU,PYF,1992-01-08,1125
93,Nikolaos STAMATONIKOLOS,GRE,2003-02-28,1124
94,Trumaine JEFFERSON,USA,1995-04-21,1124
95,Danil CHECHELA,RUS,2000-03-30,1123
96,Yaoguang ZHANG,CHN,1993-06-21,1123
97,Henrik FLÅTNES,NOR,2001-12-26,1123
98,Treyshon MALONE,USA,1996-12-07,1121
99,Chia-Hsing LIN,TPE,1999-07-13,1121
100,Mathis VAITULUKINA,FRA,2004-08-04,1119
