rank,name,nationality,dob,points
1,Tara DAVIS-WOODHALL,USA,1999-05-20,1439
2,Malaika MIHAMBO,GER,1994-02-03,1431
3,Larissa IAPICHINO,ITA,2002-07-18,1390
4,Jasmine MOORE,USA,2001-05-01,1343
5,Claire BRYANT,USA,2001-08-25,1332
6,Monae' NICHOLS,USA,1998-11-24,1323
7,Annik KÄLIN,SUI,2000-04-27,1298
8,Hilary KPATCHA,FRA,1998-05-05,1285
9,Ese BRUME,NGR,1996-01-20,1278
10,Alina ROTARU-KOTTMANN,ROU,1993-06-05,1270
11,Ackelia SMITH,JAM,2002-02-05,1270
12,Agate DE SOUSA,POR,2000-06-05,1264
13,Fátima DIAME,ESP,1996-09-22,1260
14,Marthe KOALA,BUR,1994-03-08,1252
15,Plamena MITKOVA,BUL,2004-09-18,1252
16,Mikaelle ASSANI,GER,2002-08-18,1249
17,Quanesha BURKS,USA,1995-03-15,1248
18,Milica GARDAŠEVIĆ,SRB,1998-09-28,1245
19,Lex BROWN,USA,2001-04-26,1241
20,Natalia LINARES,COL,2003-01-03,1234
21,Jazmin SAWYERS,GBR,1994-05-21,1227
22,Pauline HONDEMA,NED,2000-03-28,1225
23,Esraa OWIS,EGY,1997-10-15,1214
24,Anthaya CHARLTON,BAH,2003-07-28,1207
25,Maja ÅSKAG,SWE,2002-12-18,1198
26,Tacoria HUMPHREY,USA,2003-01-02,1198
27,Anna MATUSZEWICZ,POL,2003-04-05,1196
28,Danielle NOLTE,RSA,2002-01-11,1185
29,Alyssa JONES,USA,2004-02-06,1181
30,Jasmine AKINS,USA,,1180
31,Prestina Oluchi OCHONOGOR,NGR,2006-07-03,1177
32,Shiqi XIONG,CHN,2004-03-09,1175
33,Alysbeth Felix BOYER,PUR,1993-02-07,1175
34,Chantel MALONE,IVB,1991-12-02,1174
35,Tyra GITTENS-SPOTSVILLE,TTO,1998-06-06,1173
36,Sumire HATA,JPN,1996-05-04,1173
37,Samantha DALE,AUS,2001-06-30,1172
38,Yelena SOKOLOVA,RUS,1986-07-23,1169
39,Jessica KÄHÄRÄ,FIN,2001-08-01,1169
40,Delta AMIDZOVSKI,AUS,2006-08-23,1168
41,Lissandra Maysa CAMPOS,BRA,2002-02-06,1164
42,Sydney WILLITS,USA,2002-10-28,1163
43,Filippa FOTOPOULOU,CYP,1996-12-20,1162
44,Sophia BECKMON,USA,2005-08-17,1161
45,Khaddi SAGNIA,SWE,1994-04-20,1159
46,Jogailė PETROKAITĖ,LTU,1995-09-30,1159
47,Nikola HOROWSKA,POL,2001-01-03,1159
48,Irati MITXELENA,ESP,1998-07-03,1159
49,Reyhaneh Mobini ARANI,IRI,2000-11-20,1157
50,Ancy Sojan EDAPPILLY,IND,2001-03-01,1157
51,Ida Andrea BREIGAN,NOR,2004-07-22,1156
52,Diana LESTI,HUN,1998-03-30,1154
53,Yekaterina LEVITSKAYA,RUS,1987-01-02,1154
54,Shaili SINGH,IND,2004-01-07,1153
55,Samira ATTERMEYER,GER,2004-01-04,1152
56,Synclair SAVAGE,USA,,1151
57,Ramona Elena VERMAN,ROU,2004-03-03,1147
58,Angelica BERRIOT,FRA,1999-07-02,1144
59,Libby BUDER,GER,2004-02-11,1143
60,Molly PALMER,GBR,2003-08-27,1143
61,Nicole WARWICK,USA,1998-08-31,1143
62,Maja BEDRAČ,SLO,1999-09-10,1142
63,Evelyn YANKEY,ESP,2003-09-02,1142
64,Nemata NIKIEMA,BUR,2003-09-25,1141
65,Viktoria GORLOVA,RUS,2001-05-22,1140
66,Petra BÁNHIDI-FARKAS,HUN,1999-04-30,1140
67,Nia ROBINSON,JAM,2001-11-08,1139
68,Natalia BESI,GRE,1997-08-05,1138
69,Carmen ROSALES,ESP,2002-04-29,1138
70,Antriana GKOGKA,GRE,2003-12-10,1136
71,Nathalee ARANDA,PAN,1995-02-22,1135
72,Leticia Oro MELO,BRA,1997-10-05,1133
73,Hayla GONZÁLEZ,CUB,2003-10-28,1130
74,Evelise VEIGA,POR,1996-03-03,1129
75,Funminiyi OLAJIDE,GBR,2002-06-04,1129
76,Martha ARAUJO,COL,1996-05-12,1129
77,Aislinn MCELHANEY,USA,2001-07-05,1128
78,Yingying HUANG,CHN,2004-08-18,1128
79,Tilde JOHANSSON,SWE,2001-01-05,1127
80,Roksana JĘDRASZAK,POL,2002-05-28,1125
81,Kayla WOODS,USA,,1124
82,Janae DE GANNES,TTO,2006-10-17,1123
83,Tomysha CLARK,AUS,2002-11-12,1122
84,Tshegofatso BOJOSI,BOT,1998-01-01,1122
85,Rogilia-Chriss BISSEMO,FRA,2002-04-05,1121
86,Alice HOPKINS,GBR,1998-12-30,1121
87,Taisiya DMITRIYEVA,RUS,2003-05-13,1121
88,Aaliyah FOSTER,JAM,2005-05-12,1121
89,Tissanna HANSON,JAM,1998-01-07,1119
90,Angie Vanessa PALACIOS,COL,2004-05-21,1118
91,Ramilya VALITOVA,RUS,1996-10-10,1117
92,Liisa-Maria LUSTI,EST,2004-08-22,1117
93,Karmen FOUCHE,RSA,2003-01-02,1116
94,Tiffany YUE,HKG,1998-03-17,1116
95,Mengyi TAN,CHN,2002-09-05,1115
96,Emilia SJÖSTRAND,SWE,2002-03-16,1115
97,Sydney JOHNSON,USA,,1112
98,Rosmaiby T. QUESADA,CUB,2006-03-15,1111
99,Lovisa KARLSSON,SWE,2000-01-15,1110
100,Saga VANNINEN,FIN,2003-05-04,1110
101,Kristina GURSKAYA,RUS,1996-11-22,1108
102,Marie-Jeanne OUREGA,CIV,1997-04-04,1107
103,Bente Der VAN STOEL,NED,2003-03-02,1106
104,Moumita MONDAL,IND,2001-12-09,1105
105,Lishanna ILVES,EST,2000-05-29,1103
106,Julia ADAMCZYK,POL,2005-07-28,1101
107,Hailey COEY,USA,,1101
108,Maya TAKEUCHI,JPN,1998-10-09,1097
109,Diana MYROSHNICHENKO,UKR,2006-07-24,1097
110,Taika KOILAHTI,FIN,1998-12-04,1096
111,Miu KIMURA,JPN,2000-08-25,1095
112,Laila LACUEY,ESP,2000-02-16,1095
113,Yanis DAVID,FRA,1997-12-12,1093
114,Eliane MARTINS,BRA,1986-05-26,1092
