rank,name,nationality,dob,points
1,Sabastian Kimaru SAWE,KEN,1995-03-16,1444
2,Benson KIPRUTO,KEN,1991-03-17,1417
3,John KORIR,KEN,1996-12-02,1406
4,Tamirat TOLA,ETH,1991-08-11,1394
5,Deresa GELETA,ETH,1996-01-14,1385
6,Alexander MUNYAO,KEN,1996-09-10,1380
7,Jacob KIPLIMO,UGA,2000-11-14,1366
8,Tadese TAKELE,ETH,2002-08-03,1353
9,Vincent Kipkemoi NGETICH,KEN,1999-01-03,1353
10,Cybrian KOTUT,KEN,1992-06-06,1350
11,Timothy KIPLAGAT,KEN,1993-09-18,1341
12,Abdi NAGEEYE,NED,1989-03-02,1339
13,Emile CAIRESS,GBR,1997-12-27,1332
14,Tsegaye GETACHEW,ETH,1996-11-30,1330
15,Alphonce Felix SIMBU,TAN,1992-02-14,1330
16,Mohamed ESA,ETH,2000-09-11,1328
17,Asefa BOKI,ETH,1997-09-26,1324
18,Titus KIPRUTO,KEN,1998-06-25,1318
19,Tebello RAMAKONGOANA,LES,1996-10-13,1317
20,Hailemaryam KIROS,ETH,1997-02-05,1312
21,Samsom AMARE,ERI,1994-01-01,1310
22,Maru TEFERI,ISR,1992-08-17,1308
23,Daniel MATEIKO,KEN,1998-08-04,1306
24,Milkesa MENGESHA,ETH,2000-04-16,1304
25,Sisay LEMMA,ETH,1990-12-12,1303
26,Tadesse ABRAHAM,SUI,1982-08-12,1303
27,Solomon Kirwa YEGO,KEN,1987-05-10,1303
28,Stephen KIPROP,KEN,1999-09-08,1301
29,Felix KIRWA,KEN,1995-10-08,1301
30,Conner MANTZ,USA,1996-12-08,1297
31,Amos KIPRUTO,KEN,1992-09-16,1296
32,Jemal MEKONEN,ETH,1996-09-11,1293
33,Bashir ABDI,BEL,1989-02-10,1291
34,Haymanot ALEW,ETH,1997-11-11,1290
35,Evans CHEBET,KEN,1988-11-10,1287
36,Chalu DESO,ETH,1997-12-14,1287
37,Chimdessa DEBELE,ETH,2003-09-13,1283
38,Dawit WOLDE,ETH,1991-05-19,1282
39,Bernard Kiprop KOECH,KEN,1988-01-31,1280
40,Mulugeta Asefa UMA,ETH,1998-03-12,1275
41,Hillary KIPKOECH,KEN,1998-12-20,1274
42,Geoffrey KAMWOROR,KEN,1992-11-22,1273
43,Rhonzas Lokitam KILIMO,KEN,1996-09-05,1270
44,Mike Kiptum BOIT,KEN,1992-09-14,1268
45,Cornelius Kibet KIPLAGAT,KEN,1994-05-24,1267
46,Chala REGASA,ETH,1997-04-30,1262
47,Kennedy KIMUTAI,KEN,1999-06-03,1260
48,Albert KORIR,KEN,1994-03-02,1259
49,Balew YIHUNLE,ETH,1998-09-21,1258
50,Eliud KIPCHOGE,KEN,1984-11-05,1256
51,Tesfaye DERIBA,ETH,1998-09-11,1255
52,Benard BIWOTT,KEN,2002-05-26,1255
53,Samuel Fitwi SIBHATU,GER,1996-01-01,1254
54,Birhanu LEGESE,ETH,1994-09-11,1254
55,Oqbe Kibrom RUESOM,ERI,1998-01-01,1254
56,Gabriel Gerald GEAY,TAN,1996-09-10,1253
57,Yihunilign ADANE,ETH,1996-02-29,1250
58,Addisu GOBENA,ETH,2004-10-20,1250
59,Edwin KIPTOO,KEN,1993-08-14,1249
60,Daniel Simiu EBENYO,KEN,1995-09-18,1249
61,Kyohei HOSOYA,JPN,1995-08-31,1249
62,Getaneh MOLLA,ETH,1994-01-10,1248
63,Enock ONCHARI,KEN,1999-01-16,1248
64,Amanal PETROS,GER,1995-05-17,1248
65,Akira AKASAKI,JPN,1998-01-21,1247
66,Yuya YOSHIDA,JPN,1997-04-23,1247
67,Ashenafi MOGES,ETH,1994-11-15,1246
68,Selemon BAREGA,ETH,2000-01-20,1246
69,Haimro ALAME,ISR,1990-06-08,1245
70,Tadu ABATE,ETH,1997-09-11,1244
71,Gebise DEBELE,ETH,2000-09-11,1242
72,Derseh KINDIE,ETH,1999-02-04,1242
73,Yohei IKEDA,JPN,1998-06-22,1241
74,Mahamed MAHAMED,GBR,1997-09-18,1240
75,Lemi BERHANU,ETH,1994-09-13,1238
76,Collins Kipkirui KIPKORIR,KEN,,1238
77,Ezra Kipketer TANUI,KEN,1997-08-20,1237
78,Edmond KIPNGETICH,KEN,1994-03-30,1236
79,Geoffrey TOROITICH,KEN,,1235
80,Bethwel KIBET,KEN,1991-08-04,1235
81,Erick Kiplagat SANG,KEN,2000-09-15,1234
82,Othmane El GOUMRI,MAR,1992-05-28,1233
83,Felix KIPKOECH,KEN,1998-02-01,1231
84,Belay ASFAW,ETH,1996-10-11,1231
85,Moses KIBET,KEN,1997-02-04,1231
86,Ibrahim HASSAN,DJI,1997-01-01,1231
87,Clayton YOUNG,USA,1993-09-14,1231
88,Gashau AYALE,ISR,1996-08-22,1230
89,Yusuke NISHIYAMA,JPN,1994-11-07,1230
90,Justus KANGOGO,KEN,1995-10-10,1229
91,Haftu TEKLU,ETH,2000-01-21,1228
92,Asefa MENGSTU,ETH,1988-01-12,1228
93,Kenenisa BEKELE,ETH,1982-06-13,1227
94,Joshua CHEPTEGEI,UGA,1996-09-12,1227
95,Philemon KIPLIMO,KEN,1998-10-10,1227
96,Afewerk MESFIN,ETH,1992-10-12,1225
97,Tetsuya YOROIZAKA,JPN,1990-03-20,1224
98,Ablelom MARYO,ERI,1997-01-01,1223
99,Boaz KIPKEMEI,KEN,1993-03-22,1221
100,Edward CHESEREK,KEN,1994-02-02,1221
101,Stephen KISSA,UGA,1988-12-01,1219
102,Suldan HASSAN,SWE,1998-04-01,1217
103,Nicholas KIRWA,KEN,1994-06-16,1216
104,Abdisa TOLA,ETH,2000-10-03,1214
105,Muktar EDRIS,ETH,1994-01-14,1212
106,Gebru REDAHGNE,ETH,2000-03-23,1212
107,Dejene MEGERSA,ETH,2005-01-24,1212
108,Bute GEMECHU,ETH,2001-12-11,1212
109,Benard KIPKORIR,KEN,1990-10-10,1212
110,Mekuant AYENEW,ETH,1991-10-24,1212
111,Dominic NGENO,KEN,,1212
112,Yemaneberhan CRIPPA,ITA,1996-10-15,1211
113,Iliass AOUANI,ITA,1995-09-29,1211
114,Sammy KITWARA,KEN,1986-11-26,1211
115,Sila KIPTOO,KEN,1998-05-05,1210
116,Desalegn GIRMA,ETH,2005-04-12,1209
117,Tafese DELELEGN,ETH,1989-09-11,1209
118,Wilfred Kirwa KIGEN,KEN,1986-01-21,1209
118,Enock KINYAMAL,KEN,,1209
120,Melaku BELACHEW,ETH,1990-05-19,1209
121,Dinkalem AYELE,ETH,2000-12-19,1209
122,Sufaro WOLIYI,ETH,2003-01-09,1208
123,Elroy GELANT,RSA,1986-08-25,1208
124,Hicham AMGHAR,MAR,1994-05-15,1208
125,Shaohui YANG,CHN,1992-07-09,1208
126,Bethwell KIPKEMBOI,KEN,1993-04-06,1208
127,Adane KEBEDE,ETH,1996-09-11,1207
128,Kiyoto HIRABAYASHI,JPN,2002-12-04,1206
129,Hassan CHAHDI,FRA,1989-05-07,1206
130,Tsubasa ICHIYAMA,JPN,1996-04-08,1205
131,Kibiwott KANDIE,KEN,1996-06-20,1205
132,Samwel Nyamai MAILU,KEN,1993-02-07,1204
133,Rory LINKLETTER,CAN,1996-08-12,1203
134,Tafere ADISU,ETH,1999-09-14,1203
135,Jie HE,CHN,1998-12-27,1202
136,Cj ALBERTSON,USA,1993-10-11,1202
137,Berehanu TSEGU,ETH,1999-09-30,1202
138,Brian KIPSANG,KEN,1994-08-26,1202
139,Derese WORKNEH,ETH,1995-07-23,1201
140,Matthias KYBURZ,SUI,1990-03-05,1200
141,Richard RINGER,GER,1989-02-27,1200
142,Gilbert KIBET,KEN,,1199
143,Noah KIPKEMBOI,KEN,1993-07-02,1198
144,Moses KEMEI,KEN,1993-09-03,1198
145,Abel KIPCHUMBA,KEN,1994-02-03,1197
146,Haftamu GEBRESILASE,ETH,2004-03-25,1196
147,Alex Chesiro MASAI,KEN,1997-02-05,1196
148,Kenneth Kiprop KIPKEMOI,KEN,1984-08-02,1195
149,Toshiki SADAKATA,JPN,1992-03-04,1195
149,Ibrahim CHAKIR,ESP,1994-09-04,1195
151,John MUIRIRI,KEN,1991-10-10,1195
152,Zouhair TALBI,MAR,1995-04-08,1194
153,Kenya SONOTA,JPN,1993-05-10,1194
154,Joel Kemboi KIMURER,KEN,1988-01-21,1194
155,Shohei OTSUKA,JPN,1994-08-13,1193
156,Wisley KIMELI,KEN,,1193
157,Abe GASHAHUN,ETH,1998-04-20,1193
158,Josphat BOIT,KEN,1995-11-25,1192
159,Berhane TESFAY,ERI,1987-01-09,1192
160,Felix KIBITOK,KEN,1991-06-09,1192
161,Challa GOSSA,ETH,2000-11-25,1192
162,Mitku TAFA,ETH,,1191
163,Kinde ATANAW,ETH,1993-04-15,1191
164,Gaddisa Tafa DEKEBE,ETH,1996-09-11,1190
165,Asbel RUTTO,KEN,2002-02-12,1190
166,Felix BOUR,FRA,1994-03-25,1190
167,Hamid Ben DAOUD,ESP,1996-02-19,1189
168,Mathew SAMPERU,KEN,1993-07-01,1189
169,Kipkemoi KIPRONO,KEN,1995-09-12,1189
170,Mohamed Reda El AARABY,MAR,1989-11-12,1188
171,Gerba DIBABA,ETH,2000-10-14,1188
172,Berhane Tsegay TEKLE,ERI,1983-01-01,1188
173,Tatsuya MARUYAMA,JPN,1994-07-29,1188
174,Michael KAMAU,KEN,1992-02-25,1188
175,Ryota KONDO,JPN,1999-10-05,1186
176,Ken NAKAYAMA,JPN,1997-02-24,1186
177,Shunya KIKUCHI,JPN,1998-07-26,1185
178,Isaac MPOFU,ZIM,1988-08-20,1185
179,Laban Kipngetich KORIR,KEN,1985-06-30,1185
180,Eric Kiprono KIPTANUI,KEN,1990-04-19,1184
181,Naoki KOYAMA,JPN,1996-05-12,1184
182,Daisuke DOI,JPN,1996-11-06,1184
183,Yohanes CHIAPPINELLI,ITA,1997-08-18,1184
184,Dejene DEBELA,ETH,1995-01-09,1184
185,Vincent KIGEN,KEN,,1184
186,Solomon SUTER,KEN,1991-12-22,1184
187,Naoya SAKUDA,JPN,1994-12-17,1183
188,Andrew BUCHANAN,AUS,1991-04-10,1183
189,Riki NAKANISHI,JPN,1995-12-20,1183
190,Tsedat Abeje AYANA,ETH,1996-02-18,1183
191,Ghirmay GHEBRESLASSIE,ERI,1995-11-14,1182
192,Kaan Kigen ÖZBILEN,TUR,1986-01-15,1182
193,Timothy KIPKORIR,KEN,1993-10-03,1181
194,Boki DIRIBA,ETH,2004-02-25,1180
195,Yemane HAILESELASSIE,ERI,1998-02-21,1179
196,Abel CHELANGAT,UGA,,1179
197,Philimon Kiptoo KIPCHUMBA,KEN,1998-10-16,1179
198,Capital DEGEFA,ETH,1995-09-18,1178
199,Belay Tilahun BEZABEH,ETH,1995-01-07,1178
200,Abdi Ali GELELCHU,BRN,1997-08-01,1178
201,Yuhei URANO,JPN,1997-11-01,1178
202,Hendrik PFEIFFER,GER,1993-03-18,1177
203,Abebaw MUNIYE,ETH,2003-01-12,1177
204,Bazezew ASMARE,ETH,1996-09-11,1177
205,Edwin KIBICHIY,KEN,1992-04-02,1177
206,Aredom DEGEFA,ETH,1993-11-21,1177
207,Stanley BETT,KEN,1986-12-13,1176
208,Douglass Kimeli KIPRUGUT,KEN,1990-05-14,1176
209,Yuki TAKEI,JPN,1999-12-01,1175
210,Asahi KURODA,JPN,2004-03-10,1174
211,Eyob FANIEL,ITA,1992-11-26,1174
212,Leul GEBRESILASE,ETH,1992-09-20,1174
213,Kemal HUSEN,ETH,2003-05-24,1174
214,Tianyu CHEN,CHN,1997-05-11,1174
215,Peiyou FENG,CHN,2001-08-01,1174
216,Sezgin ATAÇ,TUR,1998-03-21,1173
217,Asefa MENGISA,ETH,1997-05-14,1172
218,Shadrack KIMINING,KEN,1996-02-10,1171
219,Aychew BANTIE,ETH,1995-09-12,1171
220,Carlos DÍAZ,CHI,1993-07-09,1171
221,Goitom KIFLE,ERI,1993-12-03,1171
