rank,name,nationality,dob,points
1,Tigst ASSEFA,ETH,1996-12-03,1438
2,Sutume Asefa KEBEDE,ETH,1994-12-11,1419
3,Sifan HASSAN,NED,1993-01-01,1400
4,Workenesh EDESA,ETH,1992-09-11,1383
5,Megertu ALEMU,ETH,1997-10-12,1379
6,Sharon LOKEDI,KEN,1994-03-10,1377
7,Yalemzerf YEHUALAW,ETH,1999-08-03,1370
8,Ruth CHEPNGETICH,KEN,1994-08-08,1368
9,Hellen OBIRI,KEN,1989-12-13,1366
10,Joyciline JEPKOSGEI,KEN,1993-12-28,1358
11,Sheila CHEPKIRUI,KEN,1990-12-27,1357
12,Bekelech GUDETA,ETH,1997-10-11,1349
13,Amane Beriso SHANKULE,ETH,1991-10-13,1348
14,Ruti AGA,ETH,1994-01-16,1347
15,Winfridah Moraa MOSETI,KEN,1996-02-10,1347
16,Fikrte WERETA,ETH,2000-09-21,1340
17,Rosemary WANJIRU,KEN,1994-12-09,1338
18,Haven Hailu DESSE,ETH,1998-09-10,1333
19,Tigist KETEMA,ETH,1998-09-15,1329
20,Stella CHESANG,UGA,1996-12-01,1326
21,Mestawut FIKIR,ETH,2000-03-02,1325
22,Peres JEPCHIRCHIR,KEN,1993-09-27,1323
23,Eunice Chebichii CHUMBA,BRN,1993-05-23,1320
24,Hawi FEYSA,ETH,1999-02-01,1319
25,Yuka SUZUKI,JPN,1999-09-14,1317
26,Irine Chepet CHEPTAI,KEN,1992-02-04,1313
27,Desi Jisa MOKONIN,BRN,1997-07-12,1303
28,Sayaka SATO,JPN,1994-05-27,1292
29,Mizuki MATSUDA,JPN,1995-05-31,1288
30,Magdalyne MASAI,KEN,1993-11-21,1287
31,Yuka ANDO,JPN,1994-03-16,1286
32,Tiruye MESFIN,ETH,2002-09-11,1285
33,Buze DIRIBA,ETH,1994-02-09,1281
34,Degitu AZIMERAW,ETH,1999-01-24,1281
35,Rika KASEDA,JPN,1999-03-02,1279
36,Lonah Chemtai SALPETER,ISR,1988-12-12,1278
37,Gutemi Shone IMANA,ETH,1991-11-17,1274
38,Evaline CHIRCHIR,KEN,1998-02-02,1274
39,Vivian Jepkemei CHERUIYOT,KEN,1983-09-11,1274
40,Gotytom GEBRESLASE,ETH,1995-01-15,1273
41,Kana KOBAYASHI,JPN,2001-04-04,1269
42,Brigid KOSGEI,KEN,1994-02-20,1268
43,Bedatu HIRPA,ETH,1999-04-28,1268
44,Ashete BEKERE,ETH,1988-04-17,1262
