rank,name,nationality,dob,points
1,Armand DUPLANTIS,SWE,1999-11-10,1647
2,Emmanouil KARALIS,GRE,1999-10-20,1454
3,Sam KENDRICKS,USA,1992-09-07,1445
4,Kurtis MARSCHALL,AUS,1997-04-25,1393
5,Ernest John OBIENA,PHI,1995-11-17,1389
6,Ersu ŞAŞMA,TUR,1999-09-30,1370
7,Menno VLOON,NED,1994-05-11,1365
8,Christopher NILSEN,USA,1998-01-13,1350
9,Sondre GUTTORMSEN,NOR,1999-06-01,1344
10,Ben BROEDERS,BEL,1995-06-21,1328
11,Bokai HUANG,CHN,1996-09-26,1326
12,Renaud LAVILLENIE,FRA,1986-09-18,1324
13,Thibaut COLLET,FRA,1999-06-17,1314
14,Piotr LISEK,POL,1992-08-16,1298
15,Kc LIGHTFOOT,USA,1999-11-11,1293
16,Bo Kanda Lita BAEHRE,GER,1999-04-29,1292
17,Oleg ZERNIKEL,GER,1995-04-16,1286
18,Austin MILLER,USA,1994-06-01,1269
19,Baptiste THIERY,FRA,2001-06-29,1268
20,Keaton DANIEL,USA,2001-04-08,1263
21,Torben BLECH,GER,1995-02-12,1262
22,Chenyang LI,CHN,2003-05-12,1254
23,Valters KREIŠS,LAT,2003-09-19,1253
24,Simen GUTTORMSEN,NOR,2001-01-19,1247
25,David HOLÝ,CZE,1998-03-04,1245
26,Matt LUDWIG,USA,1996-07-05,1239
27,Mikhail SHMYKOV,RUS,2001-02-15,1236
28,Matěj ŠČERBA,CZE,1998-12-09,1236
29,Jacob WOOTEN,USA,1997-04-22,1233
30,Nate RICHARTZ,USA,1994-11-02,1230
31,Aleksandr SOLOVYOV,RUS,2002-02-18,1228
32,Robin EMIG,FRA,2001-06-06,1221
33,Carson Cody WATERS,USA,1996-06-05,1218
34,Robert SOBERA,POL,1991-01-19,1218
35,Cole WALSH,USA,1995-06-14,1217
36,Mathieu COLLET,FRA,1995-03-15,1216
37,Olen Tray OATES,USA,1995-03-14,1214
38,Hunter GARRETSON,USA,2002-04-01,1213
39,Ethan CORMONT,FRA,2000-09-29,1213
40,Urho KUJANPÄÄ,FIN,1997-05-18,1212
41,Hussain Asim Al HIZAM,KSA,1998-01-04,1210
42,Tao ZHONG,CHN,2002-08-12,1207
43,Anthony AMMIRATI,FRA,2003-07-16,1202
44,Simone BERTELLI,ITA,2004-10-25,1201
45,Matvei VOLKOV,BLR,2004-03-13,1200
46,Seifeldin Heneida ABDESALAM,QAT,2005-03-28,1198
