rank,name,nationality,dob,points
1,Nina KENNEDY,AUS,1997-04-05,1432
2,Katie MOON,USA,1991-06-13,1409
3,Sandi MORRIS,USA,1992-07-08,1396
4,Alysha NEWMAN,CAN,1994-06-29,1374
5,Angelica MOSER,SUI,1997-10-09,1374
6,Molly CAUDERY,GBR,2000-03-17,1356
7,Amálie ŠVÁBÍKOVÁ,CZE,1999-11-22,1321
8,Tina ŠUTEJ,SLO,1988-11-07,1319
9,Roberta BRUNI,ITA,1994-03-08,1294
10,Marie-Julie BONNIN,FRA,2001-12-17,1293
11,Gabriela LEON,USA,1999-06-17,1288
12,Emily GROVE,USA,1993-05-22,1287
13,Elisa MOLINAROLO,ITA,1994-01-29,1272
14,Olivia MCTAGGART,NZL,2000-01-09,1270
15,Eliza MCCARTNEY,NZL,1996-12-11,1265
16,Imogen AYRIS,NZL,2000-12-12,1261
17,Aikaterini STEFANIDI,GRE,1990-02-04,1252
18,Juliana Menis DE CAMPOS,BRA,1996-10-17,1244
19,Polina KNOROZ,RUS,1999-07-20,1238
20,Elina LAMPELA,FIN,1998-02-18,1238
21,Elien VEKEMANS,BEL,2001-04-30,1235
22,Amanda MOLL,USA,2005-01-31,1233
23,Wilma MURTO,FIN,1998-06-11,1229
24,Hana MOLL,USA,2005-01-31,1220
25,Chunge NIU,CHN,2000-02-14,1210
26,Chloe TIMBERG,USA,2003-06-24,1203
27,Pascale STÖCKLIN,SUI,1997-02-05,1178
28,Holly BRADSHAW,GBR,1991-11-02,1178
29,Kitty Friele FAYE,NOR,2002-08-17,1174
30,Tatyana KALININA,RUS,2001-08-30,1172
31,Anjuli KNÄSCHE,GER,1993-10-18,1168
32,Hanga KLEKNER,HUN,1999-09-24,1163
33,Brynn KING,USA,2000-08-22,1160
34,Aksana GATAULLINA,RUS,2000-07-17,1158
35,Ariadni ADAMOPOULOU,GRE,2000-12-19,1158
36,Kristen LELAND,USA,1992-07-01,1157
37,Molly HAYWOOD,USA,2005-03-15,1154
38,Alix DEHAYNAIN,FRA,1997-12-07,1153
39,Olivia LUEKING,USA,2003-08-22,1149
40,Lene Onsrud RETZIUS,NOR,1996-01-04,1146
41,Marleen MÜLLA,EST,2001-06-28,1145
42,Saga ANDERSSON,FIN,2000-03-30,1141
43,Julia FIXSEN,USA,2000-11-13,1140
44,Berenice PETIT,FRA,1998-11-23,1140
45,Sydney HORN,USA,2002-07-26,1133
46,Mason MEINERSHAGEN,USA,2004-09-12,1133
47,Maryna KYLYPKO,UKR,1995-11-10,1131
48,Huiqin XU,CHN,1993-09-04,1130
49,Elise DE JONG,NED,2006-04-08,1128
50,Misaki MOROTA,JPN,1998-10-06,1128
51,Erica ELLIS,USA,2001-06-17,1125
52,Marijn KIEFT,NED,2006-08-29,1125
53,Anna WILLIS,USA,2006-01-25,1123
54,Nastassja CAMPBELL,USA,2000-07-19,1122
55,Iana GLADIICHUK,UKR,1993-05-21,1118
56,Virginia SCARDANZAN,ITA,1998-02-12,1118
57,Tori THOMAS,USA,2002-12-24,1115
58,Sarah SCHMITT,USA,,1114
59,Riley FELTS,USA,2001-01-14,1111
60,Tenly KUHN,USA,,1111
61,Jennifer ELIZAROV,CAN,2003-09-25,1110
62,Tatum MOKU,USA,,1104
63,Elise RUSSIS,FRA,2003-11-30,1103
64,Lea BACHMANN,SUI,1996-06-25,1101
65,Gemma TUTTON,GBR,2004-11-08,1101
66,Nikola PÖSCHLOVÁ,CZE,1998-09-10,1097
67,Irina MIKHAYLOVA,RUS,1996-04-19,1095
68,Natalie LARK,USA,,1095
69,Nemiah MUNIR,GBR,2002-04-07,1094
70,Renata TIMOFEYEVA,RUS,2002-09-12,1093
71,Emily FITZSIMMONS,USA,,1092
72,Gabrielle HOKE,USA,,1092
73,Anicka NEWELL,CAN,1993-08-05,1090
74,Ashley CALLAHAN,USA,,1087
75,Aliyah WELTER,USA,2000-01-05,1086
76,Iryna ZHUK,BLR,1993-01-26,1084
77,Allika Inkeri MOSER,EST,2008-03-27,1084
78,Kajsa ROTH,SWE,2006-03-07,1084
