rank,name,nationality,dob,points
1,Jiayu YANG,CHN,1996-02-18,1332
2,María PÉREZ,ESP,1996-04-29,1323
3,Jemima MONTAG,AUS,1998-02-15,1319
4,Alegna GONZÁLEZ,MEX,1999-01-02,1307
5,Kimberly García LEÓN,PER,1993-10-19,1300
6,Lorena ARENAS,COL,1993-09-17,1281
7,Evelyn INGA,PER,1998-04-16,1271
8,Zhenxia MA,CHN,1998-08-01,1268
9,Laura GARCÍA-CARO,ESP,1995-04-16,1264
10,Hong LIU,CHN,1987-05-12,1258
11,Viviane LYRA,BRA,1993-07-29,1247
12,Antonella PALMISANO,ITA,1991-08-06,1245
13,Lyudmila OLYANOVSKA,UKR,1993-02-20,1243
14,Paula Milena TORRES,ECU,2000-10-17,1240
15,Cristina MONTESINOS,ESP,1994-07-12,1220
16,Erica SENA,BRA,1985-05-03,1211
17,Clémence BERETTA,FRA,1997-12-22,1211
18,Mary Luz ANDIA,PER,2000-11-09,1208
19,Yuxia SHI,CHN,1999-01-28,1206
20,Pauline STEY,FRA,2001-09-09,1206
21,Li PENG,CHN,2002-08-27,1205
22,Mariia SAKHARUK,UKR,1995-10-14,1203
23,Antia CHAMOSA,ESP,1999-10-07,1201
24,Li MA,CHN,2000-01-15,1200
25,Rebecca HENDERSON,AUS,2001-07-04,1194
26,Hang YIN,CHN,1997-02-07,1193
27,Haiying JI,CHN,2000-02-25,1192
28,Ilse GUERRERO,MEX,1993-03-24,1191
29,Kumiko OKADA,JPN,1991-10-17,1187
30,Camille MOUTARD,FRA,2001-07-11,1185
31,Katarzyna ZDZIEBŁO,POL,1996-11-28,1185
32,Nanako FUJII,JPN,1999-05-07,1184
33,Federica CURIAZZI,ITA,1992-08-14,1184
34,Paula JUAREZ,ESP,2000-10-30,1184
35,Valentina TRAPLETTI,ITA,1985-07-12,1181
36,Olivia SANDERY,AUS,2003-01-22,1181
37,Quanming WU,CHN,2001-11-16,1179
38,Alexandrina MIHAI,ITA,2003-05-27,1179
39,Eleonora Anna GIORGI,ITA,1989-09-14,1177
