rank,name,nationality,dob,points
1,Jacob KIPLIMO,UGA,2000-11-14,1334
2,Yomif KEJELCHA,ETH,1997-08-01,1316
3,Isaia Kipkoech LASOI,KEN,1999-10-12,1278
4,Sabastian Kimaru SAWE,KEN,1995-03-16,1270
5,Alex Nzioka MATATA,KEN,1997-07-27,1269
6,Gemechu DIDA,ETH,1999-09-12,1259
7,Rodrigue KWIZERA,BDI,1999-10-10,1239
8,Jimmy GRESSIER,FRA,1997-05-04,1237
9,Vincent Kibet LANGAT,KEN,2001-02-06,1236
10,Andreas ALMGREN,SWE,1995-06-12,1231
11,Amos KURGAT,KEN,1992-03-07,1228
12,Nicholas KIPKORIR,KEN,1998-09-29,1225
13,Joshua CHEPTEGEI,UGA,1996-09-12,1224
14,Patrick MOSIN,KEN,2000-06-06,1222
15,Conner MANTZ,USA,1996-12-08,1221
16,Yemaneberhan CRIPPA,ITA,1996-10-15,1221
17,Gerba DIBABA,ETH,2000-10-14,1221
18,Dinkalem AYELE,ETH,2000-12-19,1216
19,Birhanu BALEW,BRN,1996-02-27,1214
20,Roncer Kipkorir KONGA,KEN,1994-12-16,1212
21,Etienne DAGUINOS,FRA,2000-02-15,1211
22,Alexander MUNYAO,KEN,1996-09-10,1209
23,Jemal MEKONEN,ETH,1996-09-11,1209
24,Richard ETIR,KEN,2003-12-12,1206
25,Hillary KIPKOECH,KEN,1998-12-20,1206
26,Tadese WORKU,ETH,2002-01-20,1205
27,Bravin KIPROP,KEN,1998-08-03,1203
28,Benard LANGAT,KEN,2004-12-30,1203
29,Abel KIPCHUMBA,KEN,1994-02-03,1200
30,Benard Kibet MURKOMEN,KEN,2000-12-12,1200
31,Chimdessa DEBELE,ETH,2003-09-13,1199
32,Amanal PETROS,GER,1995-05-17,1199
33,Emmanuel WAFULA,KEN,2005-07-08,1199
34,Weldon LANGAT,KEN,1998-02-24,1198
35,Edward Konana KOONYO,KEN,1997-01-07,1195
36,Yann SCHRUB,FRA,1996-03-20,1194
37,Samwel Nyamai MAILU,KEN,1993-02-07,1194
38,Jacob KROP,KEN,2001-06-04,1194
39,Benard BIWOTT,KEN,2002-05-26,1193
40,Gideon KIPROTICH,KEN,2001-10-03,1192
41,Santiago CATROFE,URU,1999-02-13,1192
42,Brian KIBOR,KEN,2001-01-01,1192
43,Cosmas Mwangi BOI,KEN,2003-03-12,1192
44,James KIPKOGEI,KEN,1993-10-20,1191
45,Antony KIMTAI,KEN,1998-05-03,1191
46,Hillary BOR,USA,1989-11-22,1191
47,Dennis Kibet KITIYO,KEN,1999-11-28,1190
48,Alphonce Felix SIMBU,TAN,1992-02-14,1188
49,Isaac KIMELI,BEL,1994-03-09,1187
50,Alex MAIER,USA,2000-01-22,1187
51,Muktar EDRIS,ETH,1994-01-14,1185
52,Ezra Kipketer TANUI,KEN,1997-08-20,1183
53,Adisu NEGASH,ETH,2002-09-12,1183
54,Daniel KINYANJUI,KEN,2005-01-15,1182
55,Geoffrey TOROITICH,KEN,,1181
56,Thierry NDIKUMWENAYO,ESP,1997-03-26,1181
57,Wisley KIPKEMOI,KEN,1997-07-01,1181
58,Nibret MELAK,ETH,1999-10-09,1180
59,Kennedy KIMUTAI,KEN,1999-06-03,1177
