rank,name,nationality,dob,points
1,Agnes Jebet NGETICH,KEN,2001-01-23,1306
2,Fotyen TESFAY,ETH,1998-02-17,1289
3,Tsigie GEBRESELAMA,ETH,2000-09-30,1267
4,Joyciline JEPKOSGEI,KEN,1993-12-28,1266
5,Lilian Kasait RENGERUK,KEN,1997-05-03,1264
6,Loice CHEMNUNG,KEN,1997-02-22,1259
7,Judy Jelagat KEMBOI,KEN,1999-06-26,1253
8,Likina AMEBAW,ETH,1997-11-30,1251
9,Medina EISA,ETH,2005-01-03,1250
10,Grace Loibach NAWOWUNA,KEN,2003-11-10,1244
11,Margaret Chelimo KIPKEMBOI,KEN,1993-02-09,1239
12,Catherine Reline AMANANG'OLE,KEN,2002-10-05,1239
13,Sheila CHELANGAT,KEN,1998-04-11,1238
14,Diana CHEPKORIR,KEN,2002-06-02,1235
15,Miriam CHEBET,KEN,2002-09-18,1235
16,Christine CHESIRO,KEN,2003-07-08,1234
17,Senayet GETACHEW,ETH,2005-10-01,1233
18,Karoline Bjerkeli GRØVDAL,NOR,1990-06-14,1231
19,Ftaw ZERAY,ETH,1997-08-03,1231
20,Girmawit GEBRZIHAIR,ETH,2001-11-21,1230
21,Dolphine Nyaboke OMARE,KEN,2001-07-26,1226
22,Jesca CHELANGAT,KEN,1998-01-09,1225
23,Fantaye BELAYNEH,ETH,2000-09-15,1224
24,Gladys CHEPKURUI,KEN,1994-08-17,1220
25,Senbere TEFERI,ETH,1995-05-03,1218
26,Janeth CHEPNGETICH,KEN,1998-07-23,1217
27,Evaline CHIRCHIR,KEN,1998-02-02,1217
28,Nadia BATTOCLETTI,ITA,2000-04-12,1216
29,Taylor ROE,USA,2000-10-13,1215
30,Klara LUKAN,SLO,2000-09-08,1213
31,Gladys KWAMBOKA,KEN,1996-03-14,1212
32,Christine Njoki NALIMO,KEN,1999-02-02,1210
33,Asmarech ANLEY,ETH,,1208
34,Joan Chelimo MELLY,ROU,1990-11-10,1208
35,Purity Kajuju GITONGA,KEN,1996-05-12,1208
36,Ruth CHEPNGETICH,KEN,1994-08-08,1206
37,Caroline Makandi GITONGA,KEN,1996-05-12,1206
38,Caroline NYAGA,KEN,1993-10-07,1205
39,Gete ALEMAYEHU,ETH,1998-08-27,1205
40,Alemaddis EYAYU,ETH,1999-10-30,1205
41,Veronica LOLEO,KEN,1998-03-18,1204
42,Weini Kelati FREZGHI,USA,1996-12-01,1203
43,Calli HAUGER-THACKERY,GBR,1993-01-09,1203
44,Gotytom GEBRESLASE,ETH,1995-01-15,1202
45,Nelvin JEPKEMBOI,KEN,2001-08-23,1201
46,Konstanze KLOSTERHALFEN,GER,1997-02-18,1200
47,Isobel BATT-DOYLE,AUS,1995-09-14,1200
48,Emma Grace HURLEY,USA,1997-12-19,1199
49,Mulat TEKLE,ETH,2004-12-02,1196
50,Rebecca CHELANGAT,UGA,2002-01-01,1194
51,Diane VAN ES,NED,1999-03-22,1193
52,Asayech AYICHEW,ETH,2005-04-03,1192
53,Sarah CHELANGAT,UGA,2001-06-05,1191
54,Sheila CHEPKIRUI,KEN,1990-12-27,1190
