rank,name,nationality,dob,points
1,Ryan CROUSER,USA,1992-12-18,1510
2,Leonardo FABBRI,ITA,1997-04-15,1448
3,Joe KOVACS,USA,1989-06-28,1443
4,Rajindra CAMPBELL,JAM,1996-02-29,1424
5,Payton OTTERDAHL,USA,1996-04-02,1417
6,Chukwuebuka Cornnell ENEKWECHI,NGR,1993-01-28,1374
7,Tom WALSH,NZL,1992-03-01,1366
8,Roger STEEN,USA,1992-05-17,1355
9,Adrian PIPERI,USA,1999-01-20,1354
10,Zane WEIR,ITA,1995-09-07,1346
11,Jacko GILL,NZL,1994-12-20,1294
12,Andrei Rares TOADER,ROU,1997-05-26,1291
13,Tomáš STANĚK,CZE,1991-06-13,1285
14,Jordan GEIST,USA,1998-07-21,1280
15,Wictor PETERSSON,SWE,1998-05-01,1276
16,Marcus THOMSEN,NOR,1998-01-07,1270
17,Scott LINCOLN,GBR,1993-05-07,1267
18,Uziel MUÑOZ,MEX,1995-09-08,1260
19,Konrad BUKOWIECKI,POL,1997-03-17,1259
20,Nick PONZIO,ITA,1995-01-04,1256
21,Josh AWOTUNDE,USA,1995-06-12,1252
22,Willian DOURADO,BRA,1994-01-06,1238
23,Armin SINANČEVIĆ,SRB,1996-08-14,1228
24,Welington MORAIS,BRA,1996-09-06,1222
25,Kyle BLIGNAUT,RSA,1999-11-09,1216
26,Mohammed Daoud B TOLU,KSA,2001-03-30,1214
27,Aleh TAMASHEVICH,BLR,2000-05-31,1206
28,Jason SWARENS,USA,2002-05-31,1204
29,Nick PALMER,NZL,2000-06-12,1200
30,Tarik O'HAGAN,USA,2003-11-25,1200
31,Jialiang XING,CHN,2001-05-26,1190
32,Giorgi MUJARIDZE,GEO,1998-03-22,1182
33,Aiden SMITH,RSA,2004-10-11,1180
34,Mohamed KHALIFA,EGY,1996-08-30,1176
35,Eric MAIHÖFER,GER,2001-06-16,1176
36,Daniel MCARTHUR,USA,1998-03-17,1176
37,Mohammad Reza TAYEBI,IRI,1998-03-30,1169
38,Michał HARATYK,POL,1992-04-10,1167
39,Christopher LICATA,USA,1999-07-13,1165
40,Eric FAVORS,IRL,1996-11-16,1165
41,Tsanko ARNAUDOV,POR,1992-03-14,1162
42,Silas RISTL,GER,1995-04-01,1161
43,Riccardo FERRARA,ITA,2001-01-22,1159
44,Maksim AFONIN,RUS,1992-01-06,1158
45,Mesud PEZER,BIH,1994-08-27,1158
46,Thomas KITCHELL,USA,,1157
47,T'Mond JOHNSON,USA,1997-07-29,1157
48,Artem LEVCHENKO,UKR,1999-09-03,1157
49,Djimon GUMBS,IVB,2000-09-13,1157
50,Jesper ARBINGE,SWE,1997-03-27,1157
51,Jordan WEST,USA,1999-06-27,1151
52,Zach LANDA,USA,,1150
53,Nikolas CURTISS,USA,1997-08-25,1150
54,Franck ELEMBA,FRA,1990-07-21,1148
55,Chris VAN NIEKERK,RSA,2000-08-30,1144
56,Tizian LAURIA,GER,2003-03-24,1140
57,Haochen ZHANG,CHN,2002-10-07,1139
58,Fred MOUDANI-LIKIBI,FRA,1999-05-10,1137
59,Myles KERNER,USA,2000-08-06,1137
60,Zizhong TIAN,CHN,1992-12-15,1134
61,Hau-Wei MA,TPE,1999-02-03,1133
62,Juan Carley Vázquez GÓMEZ,CUB,2002-02-13,1124
63,Yauheni BRYHI,BLR,2003-01-04,1124
64,Simon BAYER,GER,1995-11-23,1124
65,Alexandr MAZUR,MDA,2005-06-19,1118
66,Brandon LLOYD,JAM,2001-11-18,1118
67,Isaiah SCHAFER,USA,,1117
68,Kobe LAWRENCE,JAM,2004-02-12,1115
69,Danny BRYANT,USA,2000-01-02,1115
70,Tadeáš PROCHÁZKA,CZE,1999-07-30,1114
71,Tyler SUDDUTH,USA,2000-09-11,1114
72,Dylan TARGGART,USA,2002-03-22,1113
73,José Angel PINEDO,ESP,1990-07-30,1111
74,Joseph WHITE,USA,,1110
75,Szymon MAZUR,POL,1998-09-02,1108
76,Aiden HARVEY,AUS,1999-04-16,1106
77,William Iii Edward MORRISON,PHI,1996-11-23,1106
78,Alexander KOLESNIKOFF,AUS,2000-09-30,1105
79,Ralford MULLINGS,JAM,2002-11-22,1105
80,Semen BORODAYEV,RUS,2002-05-04,1103
81,Gill Samardeep SINGH,IND,2001-01-03,1101
82,Chenhang RUAN,CHN,2003-01-03,1101
83,Leo ZIKOVIC,SWE,2004-11-19,1098
84,Chengyu CHEN,CHN,2002-10-25,1097
85,Hongfei CHEN,CHN,2002-07-23,1097
86,Stefan WIELAND,SUI,1998-12-21,1096
87,Aleksandr LESNOY,RUS,1988-07-28,1094
88,Obiora OKEKE,USA,,1094
89,Nermin ŠTITKOVAC,BIH,2000-09-14,1094
90,Ali PEKER,TUR,2005-07-21,1091
91,Maxwell OTTERDAHL,USA,2001-05-31,1091
92,Ivan IVANOV,KAZ,1992-01-03,1090
93,Trevor GUNZELL,JAM,2002-11-16,1090
94,Miguel GÓMEZ,ESP,2001-01-02,1088
95,Christopher CRAWFORD,TTO,2001-11-02,1086
96,Hitoshi OKUMURA,JPN,2000-05-15,1086
97,Tucker SMITH,USA,,1086
98,Petros MICHAELIDES,CYP,2000-01-14,1084
99,Lucas WARNING,USA,1995-02-03,1083
100,Kevin REIM,GER,2002-03-20,1082
101,Jun SHIM,KOR,1997-03-31,1077
102,Cade MORAN,USA,2003-10-04,1077
103,Viktor GARDENKRANS,SWE,1995-07-30,1077
104,Xiaodong CHEN,CHN,1997-09-29,1076
105,Joe LICATA,USA,,1075
106,Lukas SCHOBER,GER,2004-08-16,1074
107,Christopher YOUNG,JAM,2003-06-29,1073
108,Juan Manuel ARRIEGUEZ,ARG,2003-09-19,1072
109,Jian CHEN,CHN,1991-04-20,1072
110,Philipp THOMAS,GER,2003-11-24,1069
111,Henry BUCKLES,USA,,1067
112,Yannick ROLVINK,NED,2005-05-07,1067
113,Konstantin LYADUSOV,RUS,1988-03-02,1067
114,Andrew STONE,USA,,1067
115,Vincenzo D'AGOSTINO,ITA,1996-03-20,1067
116,Guoyuan XIA,CHN,2005-09-08,1066
117,Konstantinos GENNIKIS,GRE,2002-02-03,1066
118,Bryce FOSTER,USA,,1066
119,Lorenzo DEL GATTO,ITA,1994-07-08,1065
120,Georg HARPF,GER,2005-09-29,1065
121,Ethan THOMAS,USA,,1063
122,Feng JIE,CHN,1986-01-18,1063
123,Trey WILSON,USA,,1063
124,Piers CAMERON,GBR,2004-07-04,1060
125,Tyler MICHELINI,USA,2005-01-05,1060
126,Ryan HENRY,USA,,1060
127,Iason MACHAIRAS,GRE,2000-11-17,1060
128,Cameron BURKETT,USA,,1059
129,Jacob COOKINHAM,USA,2005-01-27,1058
130,Jl VAN RENSBURG,RSA,2005-08-05,1058
131,Muhamet RAMADANI,KOS,2002-08-11,1056
132,Blessing SEFO,NZL,2005-07-20,1056
133,Dillon MORLOCK,USA,2005-09-17,1056
134,Cam JONES,USA,2001-06-20,1055
135,Jephté VOGEL,SUI,2002-05-24,1054
136,Texas TANNER,USA,2004-10-01,1053
137,Yann MOISAN,FRA,1993-01-22,1052
138,Michael PINONES,USA,,1051
139,Odysseas MOUZENIDIS,GRE,1999-06-30,1051
140,Andre MULLER,ESP,2001-04-03,1050
141,Matthew RUEFF,USA,,1050
142,Francesco TRABACCA,ITA,2000-06-28,1049
143,Andreas DE LATHAUWER,BEL,2003-03-10,1049
144,Alan CABANELLAS,PUR,2004-06-25,1048
145,Miika LAHTONEN,FIN,2003-06-08,1048
146,Quentin PETERSON,USA,,1047
147,Wyatt PUFF,USA,,1047
148,Daichi MORISHITA,JPN,1994-07-09,1046
149,Lasse SCHULZ,GER,2004-03-11,1046
150,Dylan LAMBRECHT,USA,,1044
151,Antonio SANTANA,ESP,1995-09-08,1044
152,Paden LEWIS,USA,,1044
153,Piotr GOŹDZIEWICZ,POL,2001-03-23,1041
154,Dennis LUKAS,GER,1994-02-15,1040
155,Voislav GRUBIŠA,BIH,1997-07-12,1040
156,Anastasios LATIFLLARI,GRE,1996-08-08,1039
157,Jason ATUOBENG,JPN,2002-04-12,1039
158,Marcus FRANCIS,USA,,1039
159,Skylar COFFEY,USA,,1039
160,Shaiquan Selbourne DUNN,JAM,2005-03-29,1038
161,Luke HIMES,USA,2005-08-02,1038
162,Sascha SCHMIDT,GER,2002-03-27,1038
163,Colby MORLOCK,USA,,1037
164,Spencer KESSEL,USA,,1037
165,John BRUDER,USA,,1037
166,Stephen MAILAGI,FRA,2001-09-08,1036
167,Jairo Simey MORAN,MEX,1998-02-13,1036
168,Ronald Grueso MOSQUERA,COL,2002-07-02,1036
169,Kwinten COOLS,BEL,2002-11-23,1036
170,John KELLY,IRL,1996-03-10,1036
171,Jeff KLINE,USA,,1035
172,Zhenyu ZHANG,CHN,2006-03-08,1035
173,István FEKETE,HUN,2001-03-16,1034
174,Tyler HIATT,USA,,1034
175,Hayden TOBIAS,USA,2001-12-02,1032
176,Casey HELM,USA,2003-07-14,1032
177,Joshua HUISMAN,USA,,1031
178,Altwayne BEDWARD,JAM,2003-09-29,1030
179,Willem COERTZEN,RSA,2002-04-30,1030
180,Emanuel RAMÍREZ,CUB,2005-03-21,1029
181,Arttu KORKEASALO,FIN,2000-02-04,1029
182,Chen DAI,CHN,2000-08-21,1028
183,Adam STROUF,USA,,1028
184,Nate FRANZ,USA,,1028
185,Blaž ZUPANČIČ,SLO,1995-04-06,1027
186,Mingyu LIU,CHN,2001-11-11,1027
187,Tingshuo GE,CHN,2005-11-27,1027
188,Robert MARCHESI-SCOTT,AUS,2005-07-01,1027
189,Cedric PEARSON,USA,,1026
190,Eero AHOLA,FIN,1999-01-15,1026
191,Yoofi ABAKA-AMUAH,USA,,1025
192,Yuhan XUE,CHN,2000-09-22,1025
193,Cordell NWOKEJI,USA,,1025
194,Jakub KOREJBA,POL,2003-03-12,1024
195,Cameron BELTON,USA,,1024
196,Liam NGCHOK-WULF,NZL,2003-06-27,1024
197,Hala'Ufia SAM,USA,,1024
198,David WILSON,USA,,1023
199,Sloan COX,USA,,1023
200,Mohamed ASIFF,CAN,,1022
201,Aleksandr BABENKO,RUS,2005-03-12,1022
202,Todor PETROV,BUL,2004-08-11,1022
203,Antoine DUPONCHEL,FRA,1996-01-07,1022
204,Sam LIOKUMOVICH,USA,,1021
205,Youssef KOUDSSI,CAN,2001-01-17,1021
206,Matías Felipe PUSCHELL,CHI,1992-06-29,1020
207,William REZNY,USA,,1020
208,Will DIBO,AUT,2001-09-19,1020
209,Jong-Hyuk JANG,KOR,2000-02-28,1019
210,Nicholas GODBEHERE,USA,2004-04-14,1019
211,Aaron CASTLE,USA,1993-10-07,1018
212,Andri MATROV,EST,2004-01-21,1018
213,Mauricio MACHRY,BRA,2001-06-04,1017
214,Logan MONTGOMERY,USA,,1017
215,Corban PAYNE,USA,,1017
216,Yiwen ZHU,CHN,2000-10-05,1016
217,Carson LIENAU,USA,,1015
218,Akito YAMADA,JPN,2004-07-23,1014
219,Zack RAMOS,USA,,1014
220,Viktor SAMOLYUK,UKR,1986-09-05,1013
221,Jaylon WELLS,USA,,1013
222,Moses PARKINSON,JAM,1998-10-15,1013
223,David TUPÝ,CZE,2000-10-22,1013
224,Nikita ZHIDKOV,RUS,1988-02-29,1012
225,Brayden HODGEST,USA,,1012
226,Ethan ELLIOTT,USA,,1011
227,Aatu KANGASNIEMI,FIN,2006-02-25,1011
228,Jaiden GARY,USA,,1011
229,Max KLEIN,USA,,1011
230,Kael MIEDEMA,USA,,1010
231,Roury MCCLOYEN,USA,2005-01-09,1009
232,Noah KOCH,USA,,1008
233,Alexander ANTHONISSEN,BEL,2004-04-09,1007
234,Eric BOTTERN,USA,,1007
235,Shamar REID,JAM,2002-09-11,1006
236,Dino TUMBUL,SRB,2001-08-13,1005
237,Kyle BIGLEY,USA,,1005
238,Bjorn VAN KINS,NED,,1005
239,Donroy BROWN,JAM,2000-10-21,1004
240,Mason HICKEL,USA,,1003
241,Michael CALHOUN,USA,,1003
242,Phillips MOORE,USA,,1003
243,Owen WENDL,USA,,1001
244,Robert MANSE,USA,,1001
245,Hayate INAFUKU,JPN,2000-11-24,1000
246,Korbin SPENCER,USA,,1000
247,Sebastian SWISTAK,USA,,1000
248,Adrián BARAN,SVK,1999-12-14,1000
249,Myung-Woo JIN,KOR,1997-09-09,999
250,Yevgeniy DAVYDCHENKOV,RUS,2000-08-10,999
251,Ethan RICHTER,USA,,999
252,Cole SAMPLE,USA,,999
253,Jesús David GUZMÁN,MEX,2004-03-14,999
254,Leonardo RAMOS,USA,,998
255,Maohung HSUEH,TPE,2001-08-06,998
256,Patrick SWAN,GBR,1997-09-14,998
257,Peter NORTHRUP,USA,,997
258,Yi-Chu CHEN,TPE,2002-10-31,996
259,Kaden EDWARDS,USA,,996
260,Karel ŠULA,SVK,2003-10-01,995
261,Brendon SEE,USA,2004-11-04,995
262,David RUSSELL,USA,,995
263,Junior PAYTON-KIMBLE,USA,,995
264,Prabhkirpal SINGH,IND,1997-07-12,994
265,Balázs TÓTH,HUN,2000-05-09,994
266,Yanheng TIAN,CHN,1999-03-19,993
267,Hawkin MILLER,USA,2004-01-21,992
268,Jay WADLEY,USA,,992
269,Zijie TANG,CHN,2002-12-31,992
270,Arthur STANAT,CAN,2003-05-01,992
271,Lott DESMOND,USA,,990
272,Jason NWOSU,USA,,990
273,Zane FORIST,USA,,990
274,Will NEMECEK,USA,,990
275,Calvin BOSTIC,USA,,990
276,Jacob HAWKINS,USA,,990
277,Wojciech MAROK,POL,2001-09-12,989
278,Theofanis MAVRODONTIS,GRE,2003-12-20,989
279,Alex SOHN,USA,,989
280,Sungbin LEE,KOR,2001-04-19,988
281,Gary MOORE,USA,2004-12-17,988
282,Yingxu ZHU,CHN,2000-10-20,987
283,Aiden FELTY,USA,2001-04-26,987
284,Keegan DIGBY,USA,,987
285,Arvid Mägi THEORIN,SWE,2001-03-21,987
286,Hayden WILSON,USA,,986
287,Jamale WILLIAMS,USA,,986
288,Menachem Mendel CHEN,ISR,2000-11-01,986
289,Colton MCMASTER,USA,2004-04-22,986
290,Desmond FRAZIER,USA,,986
291,Brayden BITTER,USA,,985
292,Kyle ATKINSON,USA,,985
293,Cesar SALAZAR,USA,,985
294,Seth BROUSSEAU,USA,,984
295,Easton HATLEBERG,USA,2005-07-15,984
296,Caiqi ZHI,CHN,2004-07-05,984
297,Hayden DIXON,USA,,984
298,Chris BOYD,USA,2005-07-05,983
299,Cooper CERESE,USA,,983
300,Yang XU,CHN,2006-04-03,983
301,Ismail ALIYEV,AZE,1993-02-15,982
302,Kalathan LAIWA-MCKAY,USA,,982
303,Geon-Joo KIM,KOR,2000-03-06,982
304,Vinicius DAROLT,BRA,2003-03-17,982
305,Spencer WILLIAMS,USA,,982
306,Zhihong SUN,CHN,2003-08-26,981
307,José Joaquin BALLIVIÁN,CHI,1993-04-22,981
308,Arthur Leandro DE SOUSA,BRA,2002-12-11,981
309,Yakob EKOUE,USA,,981
310,Simonas BAKANAS,LTU,2002-03-25,980
311,Ben HAAS,USA,,979
312,Shinichi YUKINAGA,JPN,1997-04-10,979
313,Dmitriy MUZHIKOV,RUS,2004-01-15,979
314,Thiago NOGUEIRA,BRA,1999-10-17,979
315,Nikita SHAPRAN,RUS,2004-01-24,978
316,Tomáš VILÍMEK,CZE,1998-03-10,978
317,Dimitrios ANTONATOS,GRE,2006-12-10,977
318,Alessandro BORGES,BRA,2007-02-04,975
319,Panu TIRKKONEN,FIN,1997-02-25,975
320,Aliaksei ALEKSANDROVICH,BLR,2001-01-02,975
321,Andrew HEINIG,USA,,975
322,Luke HOLCOMBE,USA,,974
323,Samuel DIRKES,USA,,974
324,Stefan JOVANOV,SRB,2004-10-15,974
325,Alex MANSFIELD,USA,,974
326,Bryce RULAND,USA,2006-09-26,973
327,Karter RASHKE,USA,,972
328,Evan JOURDAIN,FRA,2002-04-05,971
329,Marek HRUBÝ,CZE,2005-01-13,971
330,Ahmed Desouqi IBRAHIM,EGY,2000-06-10,969
331,Wade SHOMPER,USA,,969
332,Grayson BRASHEAR,USA,,969
333,Zach LEWIS,USA,,969
334,Sang-Myung LEE,KOR,2000-08-08,968
335,Rece ROWAN,USA,,968
336,Tianze WANG,CHN,2001-01-24,967
337,Jan FERINA,CRO,2007-01-14,967
338,Kyle CLABOUGH,USA,,967
339,Lucas TROTTER,USA,,967
340,Hamza MUHAREMOVIĆ,BIH,2004-04-14,966
341,Jahnaul RITZIE,USA,,965
342,Damian RODZIAK,POL,2003-01-27,964
343,Evan MARTINEZ,USA,2005-09-07,964
344,Ștefan Alexandru CIOBANU,ROU,2007-01-31,964
345,Javier Cruz RUIZ,ESP,2004-03-15,964
346,Brandon DENNIS,USA,,964
347,Dane SEBERT,USA,,963
348,Yekini BOWEN,JAM,2003-09-04,963
349,Elias LIND,SWE,2003-01-18,963
350,Eugene YOOSANG,USA,,963
351,Alex SHIELDS,USA,,962
352,László KOVÁCS,HUN,2000-05-12,961
353,Carlos ALEXANDER,USA,,961
354,Charles PAWLOSKY,USA,,960
355,Kevin GRUBBS,USA,2003-04-29,960
356,Zachary PETKO,USA,,960
