rank,name,nationality,dob,points
1,Chase JACKSON,USA,1994-07-20,1432
2,Sarah MITTON,CAN,1996-06-20,1410
3,Jessica SCHILDER,NED,1999-03-19,1402
4,Yemisi OGUNLEYE,GER,1998-10-03,1384
5,Maddison-Lee WESCHE,NZL,1999-06-13,1362
6,Fanny ROOS,SWE,1995-01-02,1313
7,Jaida ROSS,USA,2001-10-29,1304
8,Lijiao GONG,CHN,1989-01-24,1300
9,Maggie EWEN,USA,1994-09-23,1287
10,Jiayuan SONG,CHN,1997-09-15,1283
11,Danniel THOMAS-DODD,JAM,1992-11-11,1249
12,Jessica INCHUDE,POR,1996-03-25,1249
13,Alina KENZEL,GER,1997-08-10,1216
14,Auriol DONGMO,POR,1990-08-03,1214
15,Axelina JOHANSSON,SWE,2000-04-20,1201
16,Katharina MAISCH,GER,1997-06-12,1194
17,Jorinde VAN KLINKEN,NED,2000-02-02,1192
18,Yue MA,CHN,1999-05-02,1190
19,Mya LESNAR,USA,2002-04-10,1181
20,Jessica RAMSEY,USA,1991-07-26,1176
21,Eliana BANDEIRA,POR,1996-07-01,1171
22,Abby MOORE,USA,,1164
23,Abria SMITH,USA,2002-01-25,1161
24,Sara LENNMAN,SWE,1996-04-08,1147
25,Linru ZHANG,CHN,1999-09-23,1146
26,Keayla DOVE,USA,2001-12-17,1143
27,Nina Chioma NDUBUISI,GER,2004-04-29,1141
28,Aliona DUBITSKAYA,BLR,1990-01-25,1139
29,Akaoma ODELUGA,USA,2005-05-14,1138
30,Ivana Xennia GALLARDO,CHI,1993-07-20,1137
31,Jessica WOODARD,USA,1995-02-04,1136
32,María Belén TOIMIL,ESP,1994-05-05,1133
33,Ashley ERASMUS,RSA,2005-06-07,1131
34,Lloydricia CAMERON,JAM,1996-04-08,1127
35,Miné DE KLERK,RSA,2003-03-30,1126
36,Jayden ULRICH,USA,2002-09-15,1124
37,Julia RITTER,GER,1998-05-13,1120
38,Colette UYS,RSA,2000-04-20,1112
39,Ching-Yuan CHIANG,TPE,2006-12-31,1112
40,Mye'Joi WILLIAMS,USA,2002-05-02,1102
41,Yue SUN,CHN,2001-06-19,1102
42,Senja MÄKITÖRMÄ,FIN,1994-05-31,1097
43,Emilia KANGAS,FIN,2001-08-10,1094
44,Erna Sóley GUNNARSDÓTTIR,ISL,2000-03-22,1092
45,Klaudia KARDASZ,POL,1996-05-02,1089
46,Kelsie MURREL-ROSS,GRN,2002-06-09,1087
47,Alyona GORDEYEVA,RUS,1997-04-24,1082
48,Dianelis DELÍS,CUB,1999-04-21,1080
49,Eveliina ROUVALI,FIN,1997-04-16,1080
50,Yue JIANG,CHN,1998-10-06,1078
51,Alena TRUS,BLR,1995-04-17,1075
52,Elizabeth TAPPER,USA,2005-04-12,1074
53,Kalynn MEYER,USA,,1073
54,Divine OLADIPO,GBR,1998-10-05,1071
55,Emel DERELI,TUR,1996-02-25,1067
56,Ana Caroline SILVA,BRA,1999-02-12,1065
57,Emma BERG,AUS,2001-02-28,1062
58,Miryam MAZENAUER,SUI,2000-02-19,1062
59,Gracelyn LEISETH,USA,2005-05-25,1061
60,Megan HAGUE,USA,,1060
61,Chrystal HERPIN,USA,2003-04-21,1060
62,Serena VINCENT,GBR,2001-12-05,1060
63,Cierra JACKSON,USA,2002-08-28,1058
64,Liv SANDS,CAN,2003-09-17,1058
65,Jalani DAVIS,USA,2001-05-23,1054
