rank,name,nationality,dob,points
1,Pedro PICHARDO,POR,1993-06-30,1431
2,Andy Díaz HERNÁNDEZ,ITA,1995-12-25,1419
3,Jordan SCOTT,JAM,1997-06-29,1376
4,Hugues Fabrice ZANGO,BUR,1993-06-25,1373
5,Max HESS,GER,1996-07-13,1359
6,Yaming ZHU,CHN,1994-05-04,1313
7,Lázaro MARTÍNEZ,CUB,1997-11-03,1308
8,Yasser Mohammed TRIKI,ALG,1997-03-24,1296
9,Almir Dos SANTOS,BRA,1993-09-04,1281
10,Thomas GOGOIS,FRA,2000-06-24,1271
11,Salif MANE,USA,2001-12-12,1267
12,Donald SCOTT,USA,1992-02-23,1238
13,Wen SU,CHN,1999-02-10,1237
14,Jonathan SEREMES,FRA,2000-09-03,1231
15,Ethan OLIVIER,NZL,2005-08-07,1230
16,Russell ROBINSON,USA,2001-06-27,1227
17,Tiago PEREIRA,POR,1993-09-19,1225
18,Chengetayi MAPAYA,ZIM,1999-07-09,1223
19,Andrea DALLAVALLE,ITA,1999-10-31,1222
20,Jean-Marc PONTVIANNE,FRA,1994-08-06,1217
21,Connor MURPHY,AUS,2001-10-22,1216
22,Melvin RAFFIN,FRA,1998-08-09,1196
23,Praveen CHITHRAVEL,IND,2001-06-05,1194
24,Gyumin YU,KOR,2001-04-22,1193
25,Endiorass KINGLEY,AUT,2002-06-12,1183
26,Simone BIASUTTI,ITA,1999-10-01,1183
27,Dmitriy CHIZHIKOV,RUS,1993-12-06,1183
28,Jah-Nhai PERINCHIEF,BER,1997-12-13,1182
29,Brandon GREEN,USA,2003-12-19,1177
30,Abdulla NARANGOLINTEVIDA,IND,1996-01-17,1175
31,Elton PETRONILHO,BRA,2001-12-27,1168
32,Kaiwan CULMER,BAH,1996-10-25,1167
33,Amath FAYE,SEN,1996-02-03,1163
34,Emmanuel IHEMEJE,ITA,1998-10-09,1161
35,Can ÖZÜPEK,TUR,1996-02-02,1161
36,Jangwoo KIM,KOR,1999-08-20,1159
37,Pangshuai LI,CHN,1992-04-09,1157
