rank,name,nationality,dob,points
1,Shanieka RICKETTS,JAM,1992-02-02,1403
2,Leyanis Pérez HERNÁNDEZ,CUB,2002-01-10,1393
3,Thea LAFOND,DMA,1994-04-05,1354
4,Liadagmis POVEA,CUB,1996-02-06,1328
5,Ana PELETEIRO-COMPAORÉ,ESP,1995-12-02,1327
6,Jasmine MOORE,USA,2001-05-01,1316
7,Ackelia SMITH,JAM,2002-02-05,1286
8,Neja FILIPIČ,SLO,1995-04-22,1258
9,Dariya DERKACH,ITA,1993-03-27,1255
10,Ilionis GUILLAUME,FRA,1998-01-13,1240
11,Saly SARR,SEN,2002-10-14,1236
12,Diana Ana Maria ION,ROU,2000-11-27,1229
13,Tuğba DANIŞMAZ,TUR,1999-09-01,1225
14,Maja ÅSKAG,SWE,2002-12-18,1217
15,Gabriela PETROVA,BUL,1992-06-29,1211
16,Elena Andreea TALOȘ,ROU,1995-02-24,1209
17,Senni SALMINEN,FIN,1996-01-29,1209
18,Caroline JOYEUX,GER,2001-03-26,1193
19,Maoko TAKASHIMA,JPN,1999-07-07,1193
20,Gabriele SANTOS,BRA,1995-02-23,1185
21,Yi LI,CHN,2005-11-26,1181
22,Regiclecia CANDIDO,BRA,2002-01-31,1179
23,Ilona MASSON,BEL,2001-08-31,1177
24,Jessie MADUKA,GER,1996-04-23,1177
25,Sharifa DAVRONOVA,UZB,2006-09-27,1173
26,Anne-Suzanna FOSTHER-KATTA,CMR,1998-11-13,1171
27,Olha KORSUN,UKR,1996-11-11,1168
28,Desleigh OWUSU,AUS,2001-09-20,1167
29,Yekaterina KONEVA,RUS,1988-09-25,1167
30,Dovilė KILTY,LTU,1993-07-14,1161
31,Mariko MORIMOTO,JPN,1995-03-17,1160
32,Winny Chepngetich BII,KEN,2003-12-27,1158
33,Janne NIELSEN,DEN,1993-04-24,1156
34,Mariya YEFREMOVA,KAZ,1998-10-19,1156
35,Mariia SINEY,UKR,1997-03-29,1155
36,Oxana KORENEVA,GRE,1992-09-29,1153
37,Natricia HOOPER,GUY,1998-11-24,1150
38,Linda SUCHÁ,CZE,2001-09-28,1143
39,Aina GRIKŠAITĖ,LTU,1994-11-23,1143
40,Erika Giorgia Anoeta SARACENI,ITA,2006-05-21,1142
41,Adrianna LASKOWSKA,POL,1996-03-02,1140
42,Zenghuan CHENG,CHN,2004-10-12,1138
43,Kira WITTMANN,GER,2000-07-13,1138
44,Agur DWOL,USA,2004-07-16,1137
45,Akari FUNADA,JPN,2000-08-27,1134
46,Qiujiao TAN,CHN,2000-05-28,1133
47,Emilia SJÖSTRAND,SWE,2002-03-16,1127
48,Shantae FOREMAN,JAM,2002-10-22,1127
49,Viktoria GORLOVA,RUS,2001-05-22,1127
50,Imani OLIVER,JAM,1993-03-07,1126
51,Darya NIDBAYKINA,RUS,1994-12-26,1125
52,Kimberly WILLIAMS,JAM,1988-11-03,1124
53,Aleksandrija MITROVIĆ,SRB,2004-04-14,1122
54,Zinzi XULU,RSA,1996-09-28,1120
55,Mylana HEARN,USA,1995-03-05,1119
56,Ottavia CESTONARO,ITA,1995-01-12,1119
57,Anna KRASUTSKA,UKR,1995-07-20,1117
58,Sarah-Michelle KUDLA,GER,2002-03-24,1117
59,Alexia Ioana DOSPIN,ROU,2003-07-04,1115
60,Clémence ROUGIER,FRA,2005-03-27,1115
61,Yekaterina SARIYEVA,AZE,1995-12-18,1114
62,Taisiya DMITRIYEVA,RUS,2003-05-13,1114
63,Rui ZENG,CHN,1998-02-06,1114
64,Anastasiya KOBYLYANSKIKH,RUS,2006-08-17,1110
65,Jie CHEN,CHN,1998-03-02,1109
66,Hui ZHOU,CHN,2006-01-08,1108
67,Viktoriia BARANIVSKA,UKR,2002-12-19,1106
68,Diana ZAGAINOVA,LTU,1997-06-20,1105
69,Ting CHEN,CHN,1997-08-28,1102
70,Georgina FORDE-WELLS,GBR,2002-11-14,1098
71,Irma GUNNARSDÓTTIR,ISL,1998-02-04,1089
72,Nastassia DROZD,BLR,2004-12-19,1088
73,Simone JOHNSON,USA,2002-07-24,1088
74,Kadriye Dilek DURMUŞ,TUR,2004-01-20,1087
75,Véronique Kossenda REY,CMR,1996-09-23,1086
76,Agnieszka BEDNAREK,POL,1998-06-14,1086
77,Huiling QIN,CHN,2003-11-29,1085
78,Tamiah WASHINGTON,USA,,1085
79,Alyona CHASS,UKR,2005-08-25,1082
80,Jingjing LIN,CHN,2002-05-18,1079
81,Paola BOROVIĆ,CRO,1995-06-26,1079
82,Rachela PACE,MLT,2003-06-15,1076
83,Euphenie ANDRE,USA,2001-03-16,1075
84,Skylynn TOWNSEND,USA,2005-07-21,1074
85,Saliyya GUISSE,BEL,1996-07-08,1072
86,Sotiria RAPTI,GRE,2003-10-15,1071
87,Valentina KOSOLAPOVA,RUS,1997-07-11,1070
88,Niharika VASHISHT,IND,1995-10-17,1070
89,Ryann PORTER,USA,2002-05-21,1070
90,Valeria QUISPE,BOL,1997-09-02,1069
91,Ruth HILDEBRAND,GER,2004-10-16,1069
92,Adelaide OMITOWOJU,GBR,1999-10-22,1068
93,Daria VRÎNCEANU,ROU,2008-03-27,1066
94,Mengyuan PENG,CHN,1996-09-05,1065
95,Machaeda LINTON,JAM,2003-02-08,1065
96,Emma MAŠTALÍŘOVÁ,CZE,2000-11-27,1063
97,Adéla SOCHOROVÁ,CZE,2005-11-01,1063
98,Josie KRONE,GER,2005-03-12,1062
99,Jade-Ann DAWKINS,JAM,2005-09-07,1060
100,Ariday GIRÓN,CUB,2006-11-02,1059
101,Asia PHILLIPS,CAN,2006-03-19,1059
102,Svitlana BOICHUK,UKR,2004-10-22,1058
103,Natalija DRAGOJEVIĆ,SRB,2005-03-02,1058
104,Ana Estrella DE LEON,ESP,2008-04-07,1058
105,Ying LI,CHN,1994-03-29,1058
106,Tiana BORAS,AUS,2005-03-04,1057
107,Ashley MOORE,USA,,1057
108,Lucinda GOMES,POR,1995-04-16,1057
109,Elda ROMEVA,ESP,2006-03-23,1056
110,Mei XU,CHN,2004-03-07,1056
111,Adriana KRŪZMANE,LAT,2006-05-20,1056
112,Maria GONZALEZ,ESP,2001-09-26,1056
113,Daniela-Martine WAMOKPEGO,FRA,2001-11-27,1055
114,Busola AKINDURO,CAN,,1055
115,Brenda Džiliana APSĪTE,LAT,2008-09-23,1054
116,Olga SZLACHTA,POL,2006-08-08,1053
117,Yelizaveta DYOMINA,RUS,2002-07-01,1052
118,Aniella DELAFOSSE,CIV,2001-01-03,1052
119,Greta BRUGNOLO,ITA,2003-10-23,1052
120,Maeva DORSILE,FRA,2002-05-14,1052
121,Jasmine AKINS,USA,,1050
122,Asha FLETCHER,USA,,1050
123,Lisay C. DE LA GONZÁLEZ,CUB,2006-01-10,1049
124,Sedef ÇEVIK,TUR,2003-05-05,1049
125,Mame Diarra SOW,ITA,2002-01-20,1049
126,Eunice Ilunga MBUYI,FRA,2002-07-01,1049
127,Shihui HUA,CHN,2003-08-01,1049
128,Yanqi GAO,CHN,2000-01-27,1048
129,Arianna FISHER,USA,2000-11-12,1048
130,Suzan OGUNLEYE,USA,2004-07-09,1047
131,Magdalena PERIĆ,CRO,2001-10-29,1047
132,Georgina SCOOT,GBR,2004-01-15,1047
133,Katharina GRÅMAN,SWE,2003-12-09,1047
134,Rocio Fernanda Muñoz VAN RISSELBERGHE,CHI,2001-07-09,1046
135,Alina ABRAMENKO,RUS,2004-10-10,1046
136,Fatima KONÉ,SWE,1999-01-27,1045
137,Victoria JOSSE,FRA,2000-10-29,1044
138,Yuliya YAKUNINA,RUS,2002-02-08,1044
139,Shalom OLOTU,USA,,1044
140,Cerane BEAL,FRA,2002-05-31,1043
141,Erna VIRÓK,HUN,2000-02-18,1043
142,Tereza VLKOVÁ,CZE,2004-05-13,1043
143,Sawant POORVA,IND,2003-01-23,1042
144,Genesis PIRE,VEN,2000-12-15,1041
145,Taryn BURKETT,USA,,1041
146,Mercy HONESTY,USA,,1040
147,Leane ALFRED,FRA,2007-04-28,1040
148,Anna Gräfin KEYSERLINGK,GER,2003-09-03,1040
149,Sara ZOCCHEDDU,ITA,1999-06-14,1039
150,Nellickal Verkay SHEENA,IND,1992-11-22,1039
151,Nia ROBINSON,JAM,2001-11-08,1038
152,Rhianna PHIPPS,JAM,2001-02-11,1038
153,Karolina MŁODAWSKA,POL,1996-10-04,1037
154,Naiara ESTANGA,ESP,1998-04-28,1037
155,Meekness DONGONYARO,NGR,2005-06-16,1037
156,Jialing WU,CHN,2006-03-22,1036
157,Kellynsia LEERDAM,NED,2001-08-08,1036
158,Galina NIKOLOVA,BUL,1994-01-22,1036
159,Xiao YANG,CHN,2002-02-16,1036
160,Aleyna KARABULUT,TUR,2006-12-07,1034
161,Anja MARAŽ,SLO,2006-11-07,1034
162,Teodora BOBERIĆ,SRB,2005-09-02,1034
163,Chiara SMERALDO,ITA,2002-02-13,1032
164,Yang YANG,CHN,2001-08-23,1031
165,Danylle KURYWCHAK-TREINISH,USA,1994-07-15,1031
166,Ana Rita SILVA,POR,2000-12-20,1031
167,Yixuan HAN,CHN,2008-12-24,1031
168,Brooke MOORE,USA,,1031
169,Aminata N’DIAYE,FRA,2002-01-10,1030
170,Amy WARRE,GBR,2004-10-25,1030
171,Velecia WILLIAMS,JAM,2002-07-09,1030
172,Ririya YAMASAKI,JPN,2006-05-24,1030
173,Iyanna WEBB,USA,,1029
174,Aurėja BENIUŠYTĖ,LTU,2006-09-05,1028
175,Christina WARREN,USA,2001-08-30,1028
176,Tia Louise ROZARIO,SGP,2000-10-14,1027
177,Linshan ZHANG,CHN,2003-10-05,1027
178,Hazuki OTSUKA,JPN,2003-08-22,1027
179,Zuzanna SZTACHAŃSKA,POL,2001-12-28,1027
180,Anastasiya BELOVA,RUS,2001-02-20,1026
181,Anastasia VOKOTOPOULOU,GRE,2004-02-05,1026
182,Naida CALONGE,ESP,2007-06-05,1026
183,Moeno SAITO,JPN,1996-07-05,1025
184,Beatrix SZABÓ,HUN,1995-11-11,1025
185,Masha-Sol GELITZ,GER,2006-05-24,1024
186,Sophie ULLRICH,GER,1999-04-20,1024
187,Emy NTEKPERE,USA,,1024
188,Jeanne LE GOFF,FRA,2006-03-15,1024
189,Viktoriya AVERKINA,RUS,2001-10-11,1023
190,Caitlin SIMMONS,USA,,1022
191,Veronika PIENZARIEVA,UKR,2006-10-17,1022
192,Elena COMOLLO,ITA,2004-07-29,1022
193,Eleni Nektaria MAMA,GRE,2007-05-21,1021
194,Ornelis ORTIZ,VEN,2004-07-28,1020
195,Asherah COLLINS,USA,2001-11-14,1020
196,Francesca VENTURA,ITA,2002-06-24,1020
197,Madushani HERATH,SRI,2005-05-04,1019
198,Sharvari PARULEKAR,IND,2002-03-21,1019
199,Isabela Beatriz TEIXEIRA,BRA,2005-09-01,1019
200,Rachel OMBENI,NOR,2001-06-20,1019
201,Amayelle Sy DE VAUCHER,FRA,2008-03-26,1018
202,Jada JOSEPH,USA,,1016
203,Lotta EDZARDS,GER,2007-01-05,1016
204,Kori RANDLE,USA,,1016
205,Annabelle PARMEGIANI,AUS,1997-11-13,1015
206,Paola DEL REAL,MEX,,1015
207,Emma PULLOLA,FIN,1996-12-18,1015
208,Cassandra ATKINS,USA,,1012
