Meet Name,Date,Event,Gender,Place,Name,Birthdate,Nationality,Mark
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,1.,Ernest John OBIENA,17 NOV 1995,PHI,5.80
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,2.,Thibaut COLLET,17 JUN 1999,FRA,5.80
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,3.,Piotr LISEK,16 AUG 1992,POL,5.60
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,4.,Ersu ŞAŞMA,30 SEP 1999,TUR,5.45
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,5.,Matt LUDWIG,05 JUL 1996,USA,5.45
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,6.,Oleg ZERNIKEL,16 APR 1995,GER,5.30
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,7.,Austin MILLER,01 JUN 1994,USA,5.30
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,,Menno VLOON,11 MAY 1994,NED,NM
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,,Hocket DE LOS SANTOS,28 OCT 2002,PHI,NM
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,1.,Ali AL BALUSHI,09 FEB 2002,OMA,10.09
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,2.,Brandon HICKLIN,02 APR 1999,USA,10.12
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,3.,Andre DE GRASSE,10 NOV 1994,CAN,10.16
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,4.,Zhenye XIE,17 AUG 1993,CHN,10.21
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,5.,Keli ZENG,28 SEP 2006,CHN,10.23
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,6.,Jinxian HE,13 NOV 2006,CHN,10.25
